night,n,matched_both_products_n,fit_ok_baseline_n,fit_ok_alternate_n,fit_ok_flip_n,is_good_baseline_n,is_good_alternate_n,is_good_flip_n,missing_in_alternate_n,new_in_alternate_n,formal_unknown_n,formal_fit_ok_flip_n,formal_is_good_flip_n,high_confidence_n,high_confidence_fit_ok_flip_n,high_confidence_is_good_flip_n
20260222,1295,1295,1295,1295,0,1295,1295,0,0,0,49,0,0,0,0,0
20260223,284,284,284,284,0,284,284,0,0,0,2,0,0,0,0,0
20260303,261,261,261,261,0,261,261,0,0,0,9,0,0,0,0,0
20260306,235,235,232,232,0,232,232,0,0,0,9,0,0,0,0,0
20260308,242,242,240,240,0,240,240,0,0,0,15,0,0,0,0,0
20260309,216,216,216,216,0,216,216,0,0,0,8,0,0,1,0,0
20260310,1360,1360,1360,1360,0,1360,1360,0,0,0,87,0,0,2,0,0
20260311,1367,1367,1367,1367,0,1367,1367,0,0,0,69,0,0,1,0,0
20260315,311,311,311,311,0,311,311,0,0,0,5,0,0,0,0,0
20260316,380,380,380,380,0,380,380,0,0,0,16,0,0,0,0,0
20260318,647,647,647,647,0,647,647,0,0,0,18,0,0,0,0,0
20260330,173,173,173,173,0,173,173,0,0,0,9,0,0,0,0,0
20260331,250,250,250,250,0,250,250,0,0,0,28,0,0,0,0,0
20260401,188,188,188,188,0,188,188,0,0,0,19,0,0,0,0,0
20260403,302,302,302,302,0,302,302,0,0,0,15,0,0,0,0,0
20260404,117,117,117,117,0,117,117,0,0,0,2,0,0,0,0,0
20260405,303,303,303,303,0,303,303,0,0,0,7,0,0,0,0,0
20260406,1491,1491,1491,1491,0,1491,1491,0,0,0,61,0,0,0,0,0
20260407,1470,1470,1470,1470,0,1470,1470,0,0,0,98,0,0,2,0,0
20260410,1151,1151,1151,1151,0,1151,1151,0,0,0,27,0,0,3,0,0
20260411,168,168,168,168,0,168,168,0,0,0,7,0,0,0,0,0
20260420,1750,1750,1750,1750,0,1750,1750,0,0,0,106,0,0,1,0,0
20260422,220,220,220,220,0,220,220,0,0,0,7,0,0,1,0,0
20260423,118,118,118,118,0,118,118,0,0,0,1,0,0,0,0,0
20260425,53,53,53,53,0,53,53,0,0,0,2,0,0,0,0,0
20260426,103,103,94,94,0,94,94,0,0,0,1,0,0,0,0,0
20260427,459,459,459,459,0,459,459,0,0,0,22,0,0,0,0,0
20260428,623,623,614,614,0,614,614,0,0,0,31,0,0,0,0,0
20260429,457,457,457,457,0,457,457,0,0,0,58,0,0,0,0,0
20260430,7,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0
20260503,508,508,507,507,0,507,507,0,0,0,32,0,0,1,0,0
20260504,641,641,638,638,0,638,638,0,0,0,39,0,0,0,0,0
20260506,340,340,340,340,0,340,340,0,0,0,24,0,0,0,0,0
20260507,216,216,216,216,0,216,216,0,0,0,16,0,0,0,0,0
20260508,497,497,497,497,0,497,497,0,0,0,33,0,0,1,0,0
20260509,598,598,598,598,0,598,598,0,0,0,44,0,0,2,0,0
20260512,382,382,382,382,0,382,382,0,0,0,28,0,0,1,0,0
20260528,1170,1170,1170,1170,0,1170,1170,0,0,0,0,0,0,0,0,0
20260529,183,183,183,183,0,183,183,0,0,0,29,0,0,0,0,0
20260530,115,115,115,115,0,115,115,0,0,0,21,0,0,2,0,0
20260601,236,236,236,236,0,236,236,0,0,0,19,0,0,2,0,0
20260611,1319,1319,1319,1319,0,1319,1319,0,0,0,0,0,0,0,0,0
20260620,405,405,405,405,0,405,405,0,0,0,19,0,0,0,0,0
20260715,17,17,17,17,0,17,17,0,0,0,0,0,0,0,0,0
