elapsed_s,error,link_rows,night,residual_rows,status
0.0,,383,20251116,1150,skipped_complete
24.234289024956524,,967,20251118,2910,ok
32.37929244386032,,1493,20251119,4456,ok
26.00206531677395,,1120,20251120,3299,ok
44.12949556298554,,2042,20251121,6164,ok
10.57436719816178,,181,20251122,482,ok
13.7840830180794,,365,20251123,1096,ok
9.692075490020216,,133,20251124,396,ok
11.274134518112987,,241,20251125,714,ok
12.352528617251664,,256,20251127,769,ok
8.35139977792278,,33,20251128,99,ok
13.371069858316332,,304,20251129,955,ok
10.198298836126924,,56,20251130,187,ok
0.06682327529415488,,0,20251201,0,ok
9.869120058137923,,151,20251202,453,ok
17.926588092930615,,631,20251203,1894,ok
13.800460444297642,,352,20251204,1052,ok
10.891403276938945,,195,20251205,571,ok
20.524842373095453,,759,20251206,2285,ok
33.503800028935075,,1367,20251207,4205,ok
28.946723020169884,,1185,20251208,3598,ok
30.18155910912901,,1257,20251209,3801,ok
34.34888220205903,,1426,20251210,4362,ok
21.3563279369846,,730,20251213,2250,ok
32.15766793303192,,1317,20251214,4029,ok
43.46755802910775,,1893,20251215,5805,ok
37.653654089197516,,1706,20251216,5183,ok
29.575999030843377,,1193,20251217,3627,ok
28.917612695135176,,1252,20251220,3765,ok
12.568399277050048,,316,20251221,948,ok
33.0892965416424,,1470,20251223,4414,ok
21.923769060056657,,841,20251225,2523,ok
31.56027224380523,,1807,20251226,5806,ok
28.094164268113673,,1184,20251227,3568,ok
78.25888355122879,,1977,20251228,7013,ok
41.12165266415104,,1929,20251229,5759,ok
17.942300774157047,,634,20251230,1903,ok
17.18298636889085,,517,20251231,1581,ok
15.070155250374228,,431,20260101,1288,ok
15.185233405791223,,448,20260102,1335,ok
10.133126410190016,,79,20260103,228,ok
20.684473514091223,,800,20260104,2400,ok
16.020984961651266,,499,20260105,1447,ok
17.29943217197433,,496,20260106,1517,ok
30.13576712924987,,1287,20260107,3892,ok
16.2959425910376,,468,20260108,1418,ok
15.675708408933133,,353,20260109,1150,ok
17.423871228005737,,547,20260110,1663,ok
13.988280339166522,,378,20260111,1143,ok
15.175595732871443,,441,20260112,1335,ok
28.132207062095404,,1160,20260114,3505,ok
18.00128196319565,,591,20260115,1782,ok
18.797019591089338,,666,20260116,1935,ok
12.293445555027574,,286,20260117,836,ok
9.388682304881513,,76,20260119,225,ok
12.273791652638465,,290,20260120,840,ok
29.15673213964328,,1327,20260121,3870,ok
28.018712737131864,,1234,20260122,3600,ok
28.14980736002326,,1200,20260123,3498,ok
24.06403529085219,,926,20260124,2797,ok
56.37375621590763,,1279,20260126,4680,ok
11.355209344998002,,186,20260127,567,ok
0.08226909814402461,,0,20260128,0,ok
11.217377248220146,,209,20260129,631,ok
11.301217412110418,,222,20260131,642,ok
9.862793359905481,,134,20260201,403,ok
16.335901700425893,,520,20260202,1557,ok
11.22419183794409,,178,20260205,535,ok
12.56102499878034,,299,20260206,899,ok
24.737411335110664,,977,20260207,2966,ok
33.938544885255396,,1504,20260208,4551,ok
17.65843293024227,,567,20260210,1711,ok
35.988258365076035,,1559,20260211,4737,ok
11.805714331101626,,169,20260212,520,ok
35.56220129178837,,1596,20260213,4818,ok
26.94219830678776,,1129,20260215,3387,ok
51.97619627881795,,2183,20260216,6776,ok
39.628500745631754,,1832,20260217,5527,ok
33.129618304315954,,1520,20260218,4506,ok
23.466406018007547,,942,20260219,2826,ok
17.345901876688004,,571,20260220,1676,ok
30.265376241877675,,1295,20260222,3904,ok
12.76869574515149,,284,20260223,882,ok
0.06214687693864107,,0,20260224,0,ok
12.535831113811582,,261,20260303,787,ok
11.583703223150223,,235,20260306,701,ok
12.3349015340209,,242,20260308,730,ok
14.902573861181736,,216,20260309,751,ok
32.92295702872798,,1360,20260310,4138,ok
30.91740533988923,,1367,20260311,4118,ok
12.653682119678706,,311,20260315,933,ok
14.557776567991823,,380,20260316,1151,ok
18.912529236171395,,647,20260318,1945,ok
12.640942458063364,,173,20260330,616,ok
42.44128707610071,,250,20260331,1355,ok
22.429528125096112,,188,20260401,757,ok
20.765472717117518,,302,20260403,1097,ok
10.122357184998691,,117,20260404,357,ok
16.242155357263982,,303,20260405,972,ok
62.32931040180847,,1491,20260406,5274,ok
71.62217400409281,,1470,20260407,5498,ok
42.961649529635906,,1151,20260410,3940,ok
13.131079309154302,,168,20260411,574,ok
0.04433726519346237,,0,20260412,0,ok
64.21657431917265,,1750,20260420,6007,ok
14.337892236188054,,220,20260422,790,ok
9.986601449083537,,118,20260423,358,ok
11.557146825361997,,53,20260425,200,ok
10.087752326857299,,103,20260426,291,ok
51.543886869214475,,459,20260427,2082,ok
64.57951284432784,,623,20260428,2859,ok
49.292832511942834,,457,20260429,2117,ok
7.827239932026714,,7,20260430,21,ok
34.38099764613435,,508,20260503,1875,ok
30.9779882337898,,641,20260504,2183,ok
21.857812718953937,,340,20260506,1293,ok
11.266457696910948,,216,20260507,657,ok
30.195760496892035,,497,20260508,1875,ok
51.95577724883333,,598,20260509,2612,ok
24.601716537959874,,382,20260512,1457,ok
40.03921818686649,,1170,20260528,3843,ok
21.226143791805953,,183,20260529,787,ok
9.942560396622866,,115,20260530,352,ok
19.865385299082845,,236,20260601,860,ok
59.651061390992254,,1319,20260611,4711,ok
0.0762107060290873,,0,20260617,0,ok
14.45179074909538,,405,20260620,1234,ok
7.92633292125538,,17,20260715,51,ok
