category,mtime_utc,path,size_bytes
small_production_product,2026-06-20T01:52:17.170914+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260106/analysis/20260106_single_night_summary.json,72138
small_production_product,2026-06-20T01:53:53.768021+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260107/analysis/20260107_single_night_summary.json,93904
small_production_product,2026-06-20T01:56:37.635829+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260108/analysis/20260108_single_night_summary.json,34157
small_production_product,2026-06-20T01:58:20.794911+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260109/analysis/20260109_single_night_summary.json,22809
small_production_product,2026-06-20T01:59:04.789596+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260110/analysis/20260110_single_night_summary.json,36589
small_production_product,2026-06-20T02:00:24.815374+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260111/analysis/20260111_single_night_summary.json,438414
small_production_product,2026-06-20T02:00:43.399147+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260112/analysis/20260112_single_night_summary.json,23293
small_production_product,2026-06-20T02:02:33.117417+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260114/analysis/20260114_single_night_summary.json,74509
small_production_product,2026-06-20T02:06:04.429666+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260115/analysis/20260115_single_night_summary.json,57319
small_production_product,2026-06-20T02:08:12.801375+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260116/analysis/20260116_single_night_summary.json,59310
small_production_product,2026-06-20T02:09:31.045223+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260117/analysis/20260117_single_night_summary.json,31955
small_production_product,2026-06-20T02:10:26.394553+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260119/analysis/20260119_single_night_summary.json,8329
small_production_product,2026-06-20T02:11:06.587888+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260120/analysis/20260120_single_night_summary.json,20282
small_production_product,2026-06-20T02:11:56.957232+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260121/analysis/20260121_single_night_summary.json,94369
small_production_product,2026-06-20T02:14:04.421837+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260122/analysis/20260122_single_night_summary.json,74642
small_production_product,2026-06-20T02:15:31.989560+00:00,/pipeline/xiaoyunao/data/heliolincrr/20260123/analysis/20260123_single_night_summary.json,60969
