fit_ok_link_class_counts_all_asteroid_mixed_objects,fit_ok_link_class_counts_all_non_asteroid,fit_ok_link_class_counts_all_same_asteroid,fit_ok_link_class_counts_mixed_with_non_asteroid,is_good_link_class_counts_all_asteroid_mixed_objects,is_good_link_class_counts_all_non_asteroid,is_good_link_class_counts_all_same_asteroid,is_good_link_class_counts_mixed_with_non_asteroid,known_ades_exists,known_ades_mtime_utc,known_ades_rows,known_all_exists,known_all_mtime_utc,known_all_rows,known_mask15_exists,known_mask15_mtime_utc,known_mask15_rows,known_match1_exists,known_match1_mtime_utc,known_match1_rows,known_reply_exists,known_reply_mtime_utc,known_reply_text,known_status_complete,known_status_exists,known_submission_id,link_class_counts_all_asteroid_mixed_objects,link_class_counts_all_non_asteroid,link_class_counts_all_same_asteroid,link_class_counts_mixed_with_non_asteroid,night,requested_known_objects_with_ge_3_detections_linked_fraction,requested_known_objects_with_ge_3_detections_linked_objects,requested_known_objects_with_ge_3_detections_total_objects,requested_links_all_different_known,requested_links_all_non_known,requested_links_all_same_known,requested_links_known_plus_non_known,requested_mask_gaia_known_detection_delete_fraction,requested_mask_gaia_known_detection_fraction_in_masked_catalog,requested_mask_gaia_known_detections_after_mask,requested_mask_gaia_known_detections_deleted,requested_mask_gaia_known_detections_total,requested_mask_gaia_masked_catalog_total_detections,requested_orbit_fit_all_same_known_links,requested_orbit_fit_fit_ok_all_non_known_links,requested_orbit_fit_fit_ok_fraction,requested_orbit_fit_fit_ok_links,requested_orbit_fit_is_good_fraction,requested_orbit_fit_is_good_links,requested_tracklets_all_non_asteroid,requested_tracklets_one_endpoint_known,requested_tracklets_two_endpoints_different_known,requested_tracklets_two_endpoints_same_known,review_blank,review_csv_exists,review_false,review_manifest_exists,review_manifest_mtime_utc,review_manifest_n_catalog_rows,review_manifest_n_gifs_copied,review_manifest_n_gifs_missing,review_manifest_review_ades_rows,review_manifest_review_full_rows,review_mtime_utc,review_real,review_rows,submit_blank,submit_csv_exists,submit_false,submit_mtime_utc,submit_real,submit_rows,summary_exists,summary_links_total,summary_mask_gaia_known_detections,summary_mask_gaia_total_detections,summary_matched_detections_total,summary_member_rows_total,summary_mtime_utc,summary_orbit_fit_ok,summary_orbit_is_good,summary_tracklets_total,unknown_ades_exists,unknown_ades_mtime_utc,unknown_ades_rows,unknown_links_exists,unknown_links_mtime_utc,unknown_links_rows,unknown_reply_exists,unknown_reply_mtime_utc,unknown_reply_text,unknown_submission_id,unknown_validate_reply_exists,unknown_validate_reply_mtime_utc,unknown_validate_reply_text,unknown_validate_submission_id
,111,1250,6,,111,1250,6,True,2026-03-30T11:11:13.892169+00:00,4974,True,2026-06-19T06:37:24.566704+00:00,182408,True,2026-06-19T06:37:29.773605+00:00,6561,True,2026-06-19T06:37:26.961659+00:00,6328,True,2026-03-30T11:11:18.239075+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:11:16.882_0000BrRi,,False,2026-03-30T11:11:16.882_0000BrRi,,111,1250,6,20251207,0.8302816901408451,1179,1420,0,111,1250,6,0.06858710562414266,0.024986915704425763,6111,450,6561,244568,1250,111,1.0,1367,1.0,1367,13811,81,3,3276,0,True,109,True,2026-06-19T22:49:06.695640+00:00,111,111,0,333,333,2026-06-20T05:27:43.797260+00:00,2,111,0,True,109,2026-06-20T05:27:43.797260+00:00,2,111,True,1367,6111,244568,6561,2838,2026-06-19T22:22:38.426159+00:00,1367,1367,17171,True,2026-06-20T05:32:48.547533+00:00,6,True,2026-06-19T22:22:38.942697+00:00,111,True,2026-06-20T05:32:57.144367+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:32:55.092_0000C0ek,2026-06-20T05:32:55.092_0000C0ek,False,,,
,46,1133,6,,46,1133,6,True,2026-03-30T11:11:18.814063+00:00,4301,True,2026-06-19T06:41:20.282203+00:00,133243,True,2026-06-19T06:41:24.199129+00:00,6183,True,2026-06-19T06:41:22.242166+00:00,6022,True,2026-03-30T11:11:30.578809+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:11:29.332_0000BrRj,,False,2026-03-30T11:11:29.332_0000BrRj,,46,1133,6,20251208,0.8339889850511408,1060,1271,0,46,1133,6,0.06922206048843603,0.024416216950072973,5755,428,6183,235704,1133,46,1.0,1185,1.0,1185,4697,47,5,2864,0,True,43,True,2026-06-19T23:00:56.237244+00:00,46,46,0,138,138,2026-06-20T05:30:07.447016+00:00,3,46,0,True,43,2026-06-20T05:30:07.447016+00:00,3,46,True,1185,5755,235704,6183,2413,2026-06-19T22:49:38.613581+00:00,1185,1185,7613,True,2026-06-20T05:32:59.484322+00:00,9,True,2026-06-19T22:49:39.118710+00:00,46,True,2026-06-20T05:33:16.421995+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:33:12.576_0000C0el,2026-06-20T05:33:12.576_0000C0el,False,,,
,82,1155,20,,82,1155,20,True,2026-03-30T11:11:31.162796+00:00,4543,True,2026-06-19T07:03:03.411316+00:00,176099,True,2026-06-19T07:03:05.483277+00:00,6914,True,2026-06-19T07:03:04.461296+00:00,6585,True,2026-03-30T11:11:40.055605+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:11:36.285_0000BrRk,,False,2026-03-30T11:11:36.285_0000BrRk,,82,1155,20,20251209,0.7861818181818182,1081,1375,0,82,1155,20,0.09719409892970785,0.026582515671845188,6242,672,6914,234816,1155,82,1.0,1257,1.0,1257,4826,80,0,3209,0,True,81,True,2026-06-19T23:21:30.639058+00:00,82,82,0,246,246,2026-06-20T05:35:50.527421+00:00,1,82,0,True,81,2026-06-20T05:35:50.527421+00:00,1,82,True,1257,6242,234816,6914,2544,2026-06-19T23:01:31.255420+00:00,1257,1257,8115,True,2026-06-20T05:38:17.707176+00:00,3,True,2026-06-19T23:01:31.771083+00:00,82,True,2026-06-20T05:38:24.580044+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:38:22.632_0000C0em,2026-06-20T05:38:22.632_0000C0em,False,,,
,69,1346,11,,69,1346,11,True,2026-03-30T11:11:40.652592+00:00,5324,True,2026-06-19T07:06:08.589779+00:00,133427,True,2026-06-19T07:06:10.441744+00:00,7701,True,2026-06-19T07:06:09.524761+00:00,7375,True,2026-03-30T11:11:45.495488+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:11:43.939_0000BrRl,,False,2026-03-30T11:11:43.939_0000BrRl,,69,1346,11,20251210,0.8115849777211966,1275,1571,0,69,1346,11,0.11284248798857291,0.023479680384912792,6832,869,7701,290975,1346,69,1.0,1426,1.0,1426,4722,78,1,3636,0,True,69,True,2026-06-19T23:38:56.430696+00:00,69,69,0,207,207,2026-06-20T05:39:17.640052+00:00,0,69,0,True,69,2026-06-20T05:39:17.640052+00:00,0,69,True,1426,6832,290975,7701,2936,2026-06-19T23:22:05.892582+00:00,1426,1426,8437,True,2026-06-20T05:43:25.156239+00:00,0,True,2026-06-19T23:22:06.409462+00:00,69,False,,,,False,,,
,43,675,12,,43,675,12,True,2026-03-30T11:11:46.104475+00:00,4706,True,2026-06-19T07:08:49.184711+00:00,157148,True,2026-06-19T07:08:50.878679+00:00,7816,True,2026-06-19T07:08:50.043695+00:00,7344,True,2026-03-30T11:11:52.312341+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:11:49.621_0000BrRm,,False,2026-03-30T11:11:49.621_0000BrRm,,43,675,12,20251213,0.5015360983102919,653,1302,0,43,675,12,0.12743091095189354,0.034186834559781845,6820,996,7816,199492,675,43,1.0,730,1.0,730,2379,86,3,2243,0,True,43,True,2026-06-19T23:50:05.947753+00:00,43,43,0,129,129,2026-06-20T05:40:27.835888+00:00,0,43,0,True,43,2026-06-20T05:40:27.835888+00:00,0,43,True,730,6820,199492,7816,1520,2026-06-19T23:39:24.807176+00:00,730,730,4711,True,2026-06-20T05:43:25.637229+00:00,0,True,2026-06-19T23:39:25.333577+00:00,43,False,,,,False,,,
,51,1258,8,,51,1258,8,True,2026-03-30T11:11:52.913328+00:00,5079,True,2026-06-19T07:26:04.245949+00:00,108319,True,2026-06-19T07:26:05.513924+00:00,7279,True,2026-06-19T07:26:04.889936+00:00,7087,True,2026-03-30T11:12:04.419080+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:02.724_0000BrRn,,False,2026-03-30T11:12:02.724_0000BrRn,,51,1258,8,20251214,0.7987967914438503,1195,1496,0,51,1258,8,0.08874845445802995,0.03868901798838104,6633,646,7279,171444,1258,51,1.0,1317,1.0,1317,3047,56,5,3409,0,True,50,True,2026-06-20T00:03:05.350257+00:00,51,51,0,153,153,2026-06-20T05:42:59.337184+00:00,1,51,0,True,50,2026-06-20T05:42:59.337184+00:00,1,51,True,1317,6633,171444,7279,2712,2026-06-19T23:50:27.360070+00:00,1317,1317,6517,True,2026-06-20T05:43:26.859206+00:00,3,True,2026-06-19T23:50:27.884906+00:00,51,True,2026-06-20T05:43:30.040144+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:43:29.195_0000C0en,2026-06-20T05:43:29.195_0000C0en,False,,,
,128,1754,11,,128,1754,11,True,2026-03-30T11:12:05.076066+00:00,7290,True,2026-06-19T08:39:26.999803+00:00,165680,True,2026-06-19T08:39:29.046764+00:00,10149,True,2026-06-19T08:39:28.033783+00:00,9771,True,2026-03-30T11:12:09.556969+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:07.582_0000BrRo,,False,2026-03-30T11:12:07.582_0000BrRo,,128,1754,11,20251215,0.7819025522041764,1685,2155,0,128,1754,11,0.09606857818504286,0.031349633502486034,9174,975,10149,292635,1754,128,1.0,1893,1.0,1893,5529,142,10,4724,0,True,127,True,2026-06-20T00:33:46.316832+00:00,128,128,0,384,384,2026-06-20T05:47:23.863670+00:00,1,128,0,True,127,2026-06-20T05:47:23.863670+00:00,1,128,True,1893,9174,292635,10149,3912,2026-06-20T00:03:39.967660+00:00,1893,1893,10405,True,2026-06-20T05:48:31.374325+00:00,3,True,2026-06-20T00:03:40.532759+00:00,128,True,2026-06-20T05:48:56.572838+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:48:34.039_0000C0eq,2026-06-20T05:48:34.039_0000C0eq,False,,,
,106,1590,10,,106,1590,10,True,2026-03-30T11:12:10.179956+00:00,6655,True,2026-06-19T08:47:36.019461+00:00,154876,True,2026-06-19T08:47:38.037422+00:00,10082,True,2026-06-19T08:47:37.040441+00:00,9635,True,2026-03-30T11:12:17.554797+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:14.974_0000BrRp,,False,2026-03-30T11:12:14.974_0000BrRp,,106,1590,10,20251216,0.7740286298568507,1514,1956,0,106,1590,10,0.11148581630628844,0.029423454020515615,8958,1124,10082,304451,1590,106,1.0,1706,1.0,1706,5131,118,4,4347,0,True,105,True,2026-06-20T00:59:37.231812+00:00,106,106,0,318,318,2026-06-20T05:51:59.658332+00:00,1,106,0,True,105,2026-06-20T05:51:59.658332+00:00,1,106,True,1706,8958,304451,10082,3477,2026-06-20T00:34:23.342885+00:00,1706,1706,9600,True,2026-06-20T05:53:57.939007+00:00,3,True,2026-06-20T00:34:23.893528+00:00,106,True,2026-06-20T05:54:04.397880+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:54:03.247_0000C0er,2026-06-20T05:54:03.247_0000C0er,False,,,
,47,1128,18,,47,1128,18,True,2026-03-30T11:12:18.154784+00:00,5259,True,2026-06-19T08:56:07.367693+00:00,155643,True,2026-06-19T08:56:09.779647+00:00,8151,True,2026-06-19T08:56:08.782666+00:00,7683,True,2026-03-30T11:12:26.868596+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:25.198_0000BrRq,,False,2026-03-30T11:12:25.198_0000BrRq,,47,1128,18,20251217,0.6790352504638218,1098,1617,0,47,1128,18,0.14660777818672555,0.022746595858785367,6956,1195,8151,305804,1128,47,1.0,1193,1.0,1193,6649,104,5,3227,0,True,44,True,2026-06-20T01:12:11.974149+00:00,47,47,0,141,141,2026-06-20T05:54:16.480788+00:00,3,47,0,True,44,2026-06-20T05:54:16.480788+00:00,3,47,True,1193,6956,305804,8151,2434,2026-06-20T01:00:13.071843+00:00,1193,1193,9985,True,2026-06-20T05:59:07.537876+00:00,9,True,2026-06-20T01:00:13.596855+00:00,47,True,2026-06-20T05:59:11.548797+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T05:59:10.666_0000C0es,2026-06-20T05:59:10.666_0000C0es,False,,,
1,20,1224,7,1,20,1224,7,True,2026-03-30T11:12:27.548582+00:00,7810,True,2026-06-19T09:08:01.121068+00:00,198759,True,2026-06-19T09:08:03.463024+00:00,13038,True,2026-06-19T09:08:02.281046+00:00,12405,True,2026-03-30T11:12:34.228438+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:30.247_0000BrRr,,False,2026-03-30T11:12:30.247_0000BrRr,1,20,1224,7,20251220,0.4767915309446254,1171,2456,1,20,1224,7,0.13468323362478907,0.02514245982488083,11282,1756,13038,448723,1224,20,1.0,1252,1.0,1252,4105,104,13,3908,0,True,20,True,2026-06-20T01:22:34.139245+00:00,20,20,0,60,60,2026-06-20T05:55:16.791488+00:00,0,20,0,True,20,2026-06-20T05:55:16.791488+00:00,0,20,True,1252,11282,448723,13038,2513,2026-06-20T01:22:02.808086+00:00,1252,1252,8130,True,2026-06-20T05:59:12.040787+00:00,0,True,2026-06-20T01:22:03.328729+00:00,20,False,,,,False,,,
,38,276,2,,38,276,2,True,2026-03-30T11:12:34.715427+00:00,1044,True,2026-06-19T09:13:41.772563+00:00,70546,True,2026-06-19T09:13:42.969540+00:00,2136,True,2026-06-19T09:13:42.382551+00:00,2049,True,2026-03-30T11:12:39.708320+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:37.348_0000BrRs,,False,2026-03-30T11:12:37.348_0000BrRs,,38,276,2,20251221,0.8098159509202454,264,326,0,38,276,2,0.062265917602996254,0.010711000834206756,2003,133,2136,187004,276,38,1.0,316,1.0,316,2785,15,0,767,0,True,38,True,2026-06-20T01:31:03.119520+00:00,38,38,0,114,114,2026-06-20T05:56:42.773600+00:00,0,38,0,True,38,2026-06-20T05:56:42.773600+00:00,0,38,True,316,2003,187004,2136,632,2026-06-20T01:23:16.422812+00:00,316,316,3567,True,2026-06-20T05:59:12.538777+00:00,0,True,2026-06-20T01:23:16.924322+00:00,38,False,,,,False,,,
,53,1403,14,,53,1403,14,True,2026-03-30T11:12:40.334306+00:00,6581,True,2026-06-19T09:20:38.433598+00:00,139713,True,2026-06-19T09:20:40.033567+00:00,10573,True,2026-06-19T09:20:39.249582+00:00,10134,True,2026-03-30T11:12:45.840188+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:44.356_0000BrRt,,False,2026-03-30T11:12:44.356_0000BrRt,,53,1403,14,20251223,0.6511739338763776,1359,2087,0,53,1403,14,0.12333301806488224,0.030373632711376757,9269,1304,10573,305166,1403,53,1.0,1470,1.0,1470,3169,128,5,3937,0,True,53,True,2026-06-20T01:33:04.534599+00:00,53,53,0,159,159,2026-06-20T05:58:44.120930+00:00,0,53,0,True,53,2026-06-20T05:58:44.120930+00:00,0,53,True,1470,9269,305166,10573,2944,2026-06-20T01:31:34.703099+00:00,1470,1470,7239,True,2026-06-20T05:59:13.025768+00:00,0,True,2026-06-20T01:31:35.302793+00:00,53,False,,,,False,,,
,67,768,6,,67,768,6,True,2026-03-30T11:21:39.934569+00:00,3656,True,2026-06-19T09:27:50.525337+00:00,81282,True,2026-06-19T09:27:52.018309+00:00,5673,True,2026-06-19T09:27:51.272323+00:00,5444,True,2026-03-30T11:21:48.579381+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:21:43.971_0000BrS2,,False,2026-03-30T11:21:43.971_0000BrS2,,67,768,6,20251225,0.6329004329004329,731,1155,0,67,768,6,0.1041776837652036,0.01471427041018707,5082,591,5673,345379,768,67,1.0,841,1.0,841,4958,60,4,2292,0,True,67,True,2026-06-20T01:35:12.530109+00:00,67,67,0,201,201,2026-06-20T06:00:49.216350+00:00,0,67,0,True,67,2026-06-20T06:00:49.216350+00:00,0,67,True,841,5082,345379,5673,1682,2026-06-20T01:33:30.097684+00:00,841,841,7314,True,2026-06-20T06:04:13.661814+00:00,0,True,2026-06-20T01:33:30.627588+00:00,67,False,,,,False,,,
3,366,1348,57,1,276,1348,38,True,2026-03-30T11:12:51.700061+00:00,6223,True,2026-06-19T19:40:53.742953+00:00,157974,True,2026-06-19T19:40:56.512900+00:00,9540,True,2026-06-19T19:40:55.141926+00:00,9133,True,2026-03-30T11:12:55.999969+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:12:54.164_0000BrRv,,False,2026-03-30T11:12:54.164_0000BrRv,3,398,1348,58,20251226,0.7676470588235295,1305,1700,3,398,1348,58,0.11331236897274632,0.015209651898734177,8459,1081,9540,556160,1348,366,0.981737686773658,1774,0.9203099059214167,1663,99979,7378,232,4344,0,False,0,False,,,,,,,,0,0,0,False,0,,0,0,True,1807,8459,556160,9540,4102,2026-06-20T01:36:03.397224+00:00,1774,1663,111933,False,,0,False,,0,False,,,,False,,,
,38,1141,4,,38,1141,4,True,2026-03-30T11:12:56.579956+00:00,4464,True,2026-06-19T09:48:17.885874+00:00,125182,True,2026-06-19T09:48:20.104831+00:00,7006,True,2026-06-19T09:48:18.929853+00:00,6732,True,2026-03-30T11:13:01.782844+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:13:00.117_0000BrRw,,False,2026-03-30T11:13:00.117_0000BrRw,,39,1141,4,20251227,0.7877492877492878,1106,1404,0,39,1141,4,0.09292035398230089,0.016394626793283233,6355,651,7006,387627,1141,38,0.9991554054054054,1183,0.9991554054054054,1183,5254,75,0,3080,0,True,38,True,2026-06-20T01:37:25.491680+00:00,38,38,0,114,114,2026-06-20T06:02:09.488121+00:00,0,38,0,True,38,2026-06-20T06:02:09.488121+00:00,0,38,True,1184,6355,387627,7006,2387,2026-06-20T01:36:36.602267+00:00,1183,1183,8409,True,2026-06-20T06:04:14.141805+00:00,0,True,2026-06-20T01:36:37.144017+00:00,38,False,,,,False,,,
,181,1775,21,,181,1775,21,True,2026-03-30T11:13:02.438830+00:00,8066,True,2026-06-19T09:58:21.984328+00:00,182851,True,2026-06-19T09:58:24.248285+00:00,10545,True,2026-06-19T09:58:23.128306+00:00,10122,True,2026-03-30T11:13:08.547698+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:13:05.359_0000BrRx,,False,2026-03-30T11:13:05.359_0000BrRx,,181,1775,21,20251228,0.8297974927675988,1721,2074,0,181,1775,21,0.08297771455666192,0.0193761170822413,9670,875,10545,499068,1775,181,1.0,1977,1.0,1977,8684,173,5,5529,0,True,181,True,2026-06-20T01:41:51.153522+00:00,181,181,0,544,544,2026-06-20T06:07:48.771365+00:00,0,181,0,True,181,2026-06-20T06:07:48.771365+00:00,0,181,True,1977,9670,499068,10545,5036,2026-06-20T01:37:59.101682+00:00,1977,1977,14391,True,2026-06-20T06:09:14.780851+00:00,0,True,2026-06-20T01:37:59.677436+00:00,181,False,,,,False,,,
,75,1823,7,,75,1823,7,True,2026-03-30T11:13:09.198684+00:00,7261,True,2026-06-19T10:08:13.411033+00:00,181142,True,2026-06-19T10:08:15.566992+00:00,9710,True,2026-06-19T10:08:14.497012+00:00,9371,True,2026-03-30T11:13:14.566569+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:13:12.305_0000BrRy,,False,2026-03-30T11:13:12.305_0000BrRy,,99,1823,7,20251229,0.7855215827338129,1747,2224,0,99,1823,7,0.09073120494335736,0.019336103038280185,8829,881,9710,456607,1823,75,0.9875583203732504,1905,0.9875583203732504,1905,7485,128,2,4664,0,True,75,True,2026-06-20T01:43:52.492970+00:00,75,75,0,225,225,2026-06-20T06:09:35.523474+00:00,0,75,0,True,75,2026-06-20T06:09:35.523474+00:00,0,75,True,1929,8829,456607,9710,3902,2026-06-20T01:42:26.867296+00:00,1905,1905,12279,True,2026-06-20T06:14:15.416005+00:00,0,True,2026-06-20T01:42:27.426308+00:00,75,False,,,,False,,,
,84,546,4,,84,546,4,True,2026-03-30T11:13:15.086557+00:00,2092,True,2026-06-19T10:16:23.299684+00:00,131670,True,2026-06-19T10:16:25.090650+00:00,3461,True,2026-06-19T10:16:24.210667+00:00,3245,True,2026-03-30T11:13:19.345466+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:13:17.926_0000BrRz,,False,2026-03-30T11:13:17.926_0000BrRz,,84,546,4,20251230,0.7764350453172205,514,662,0,84,546,4,0.08350187806992199,0.015149850746268657,3172,289,3461,209375,546,84,1.0,634,1.0,634,6442,46,0,1457,0,True,84,True,2026-06-20T01:45:37.824200+00:00,84,84,0,252,252,2026-06-20T06:13:47.829521+00:00,0,84,0,True,84,2026-06-20T06:13:47.829521+00:00,0,84,True,634,3172,209375,3461,1269,2026-06-20T01:44:20.219080+00:00,634,634,7945,True,2026-06-20T06:14:15.891996+00:00,0,True,2026-06-20T01:44:20.762137+00:00,84,False,,,,False,,,
,41,467,8,,41,467,8,True,2026-03-30T11:13:19.847455+00:00,1763,True,2026-06-19T10:24:57.421881+00:00,113685,True,2026-06-19T10:24:59.221847+00:00,2961,True,2026-06-19T10:24:58.349864+00:00,2777,True,2026-03-30T11:13:23.822369+00:00,[Known-object ADES submission].  Submission ID is 2026-03-30T11:13:21.620_0000BrS0,,False,2026-03-30T11:13:21.620_0000BrS0,,42,467,8,20251231,0.8206521739130435,453,552,0,42,467,8,0.06551840594393786,0.014080135153013974,2767,194,2961,196518,467,41,0.9980657640232108,516,0.9980657640232108,516,4705,37,0,1388,0,True,41,True,2026-06-20T01:46:43.098148+00:00,41,41,0,123,123,2026-06-20T06:15:01.891657+00:00,0,41,0,True,41,2026-06-20T06:15:01.891657+00:00,0,41,True,517,2767,196518,2961,1067,2026-06-20T01:46:10.284875+00:00,516,516,6130,True,2026-06-20T06:19:16.535197+00:00,0,True,2026-06-20T01:46:10.829029+00:00,41,False,,,,False,,,
,30,399,,,30,399,,True,2026-04-01T03:21:58.989571+00:00,1404,True,2026-06-19T10:33:10.573486+00:00,108836,True,2026-06-19T10:33:12.208455+00:00,2355,True,2026-06-19T10:33:11.395471+00:00,2269,True,2026-04-01T03:22:06.936398+00:00,[Known-object ADES submission].  Submission ID is 2026-04-01T03:22:03.340_0000BrXc,,False,2026-04-01T03:22:03.340_0000BrXc,,32,399,,20260101,0.859375,385,448,0,32,399,0,0.05222929936305733,0.016081618537091474,2232,123,2355,138792,399,30,0.9953596287703016,429,0.9953596287703016,429,2694,8,0,1066,0,True,30,True,2026-06-20T01:47:36.360464+00:00,30,30,0,90,90,2026-06-20T06:33:05.673492+00:00,0,30,0,True,30,2026-06-20T06:33:05.673492+00:00,0,30,True,431,2232,138792,2355,863,2026-06-20T01:47:13.851196+00:00,429,429,3768,True,2026-06-20T06:34:17.426821+00:00,0,True,2026-06-20T01:47:14.381811+00:00,30,False,,,,False,,,
1,43,393,4,1,43,393,4,True,2026-04-01T03:22:59.947244+00:00,1493,True,2026-06-19T10:43:11.605030+00:00,188399,True,2026-06-19T10:43:13.655991+00:00,2659,True,2026-06-19T10:43:12.635010+00:00,2451,True,2026-04-01T03:23:02.965178+00:00,[Known-object ADES submission].  Submission ID is 2026-04-01T03:23:01.941_0000BrXd,,False,2026-04-01T03:23:01.941_0000BrXd,1,50,393,4,20260102,0.7876288659793814,382,485,1,50,393,4,0.07822489657766077,0.016633977834936104,2451,208,2659,147349,393,43,0.984375,441,0.984375,441,4786,23,1,1157,0,True,43,True,2026-06-20T01:48:46.562845+00:00,43,43,0,129,129,2026-06-20T06:34:36.480610+00:00,0,43,0,True,43,2026-06-20T06:34:36.480610+00:00,0,43,True,448,2451,147349,2659,908,2026-06-20T01:48:11.050704+00:00,441,441,5967,True,2026-06-20T06:39:17.970024+00:00,0,True,2026-06-20T01:48:11.592716+00:00,43,False,,,,False,,,
,1,73,,,1,73,,True,2026-04-01T03:23:59.867939+00:00,336,True,2026-06-19T10:45:56.632882+00:00,40207,True,2026-06-19T10:45:57.142873+00:00,672,True,2026-06-19T10:45:56.887877+00:00,624,True,2026-04-01T03:24:02.337885+00:00,[Known-object ADES submission].  Submission ID is 2026-04-01T03:24:01.329_0000BrXe,,False,2026-04-01T03:24:01.329_0000BrXe,,6,73,,20260103,0.5964912280701754,68,114,0,6,73,0,0.07142857142857142,0.0195317390759985,624,48,672,31948,73,1,0.9367088607594937,74,0.9367088607594937,74,503,4,0,211,0,True,0,True,2026-06-20T01:48:57.741400+00:00,1,1,0,3,3,2026-06-20T06:34:46.130509+00:00,1,1,0,True,0,2026-06-20T06:34:46.130509+00:00,1,1,True,79,624,31948,672,164,2026-06-20T01:48:55.932017+00:00,74,74,718,True,2026-06-20T06:39:18.770009+00:00,3,True,2026-06-20T01:48:56.459856+00:00,1,True,2026-06-20T06:39:25.443880+00:00,[Unknown-object ADES submission].  Submission ID is 2026-06-20T06:39:24.422_0000C0f6,2026-06-20T06:39:24.422_0000C0f6,False,,,
,64,733,3,,64,733,3,True,2026-04-01T03:25:01.960587+00:00,2852,True,2026-06-19T10:55:34.064869+00:00,131978,True,2026-06-19T10:55:36.091830+00:00,4059,True,2026-06-19T10:55:35.088850+00:00,3863,True,2026-04-01T03:25:05.187516+00:00,[Known-object ADES submission].  Submission ID is 2026-04-01T03:25:04.020_0000BrXf,,False,2026-04-01T03:25:04.020_0000BrXf,,64,733,3,20260104,0.7952218430034129,699,879,0,64,733,3,0.10199556541019955,0.01745104610523292,3645,414,4059,208870,733,64,1.0,800,1.0,800,7404,21,0,1900,0,True,64,True,2026-06-20T01:50:33.811344+00:00,64,64,0,192,192,2026-06-20T06:42:19.820373+00:00,0,64,0,True,64,2026-06-20T06:42:19.820373+00:00,0,64,True,800,3645,208870,4059,1600,2026-06-20T01:49:31.524258+00:00,800,800,9325,True,2026-06-20T06:44:26.058082+00:00,0,True,2026-06-20T01:49:32.072174+00:00,64,False,,,,False,,,
,42,437,1,,42,437,1,True,2026-04-01T03:26:31.948627+00:00,1696,True,2026-06-19T11:04:58.021098+00:00,133598,True,2026-06-19T11:04:59.879063+00:00,3175,True,2026-06-19T11:04:58.952080+00:00,3025,True,2026-04-01T03:26:34.962561+00:00,[Known-object ADES submission].  Submission ID is 2026-04-01T03:26:33.594_0000BrXh,,False,2026-04-01T03:26:33.594_0000BrXh,,61,437,1,20260105,0.7847619047619048,412,525,0,61,437,1,0.08818897637795275,0.013817560472708528,2895,280,3175,209516,437,42,0.9619238476953907,480,0.9619238476953907,480,9466,20,0,1291,0,True,42,True,2026-06-20T01:51:46.828546+00:00,42,42,0,126,126,2026-06-20T06:43:59.826593+00:00,0,42,0,True,42,2026-06-20T06:43:59.826593+00:00,0,42,True,499,2895,209516,3175,1005,2026-06-20T01:51:08.798298+00:00,480,480,10777,True,2026-06-20T06:44:26.542073+00:00,0,True,2026-06-20T01:51:09.344311+00:00,42,False,,,,False,,,
