night,trk_sub,linkage_id,detection_index,image_name,catalog_name,catalog_path,manifest_file_name,manifest_path,detection_key,final_paper_status,production_ades_start_mjd_utc,l2_manifest_start_mjd_utc,start_mjd_disagreement_s,manifest_exposure_s,exposure_s,exposure_source,midpoint_correction_s,corrected_midpoint_mjd_utc,corrected_midpoint_isot_utc,lin_speed_arcsec_per_day,link_linear_speed_arcsec_per_hour,link_speed_within_production_3_to_63_arcsec_per_hour,equivalent_shift_at_min_speed_arcsec,equivalent_shift_at_max_speed_arcsec,equivalent_shift_at_link_speed_arcsec
20251125,000006S,132,1,OBJ_MP_0786_0080.fits.gz,OBJ_MP_0786_0080_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0080_cat.fits.gz,OBJ_MP_0786_0080_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0080_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0080_cat.fits.gz::5954,retained_after_posthoc_audit,61004.45999814815,61004.45999814815,0.0,30.003,30.003,l2_manifest,15.0015,61004.46017177663,2025-11-25T11:02:38.841501,448.39374143331526,18.68307255972147,True,0.01250125,0.26252625,0.07785392027907267
20251125,000006S,132,2,OBJ_MP_0786_0108.fits.gz,OBJ_MP_0786_0108_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0108_cat.fits.gz,OBJ_MP_0786_0108_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0108_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0108_cat.fits.gz::5551,retained_after_posthoc_audit,61004.48880881944,61004.48880881944,0.0,30.002,30.002,l2_manifest,15.001,61004.488982442126,2025-11-25T11:44:08.083000,448.39374143331526,18.68307255972147,True,0.012500833333333333,0.2625175,0.07785132540788382
20251203,000008u,343,0,OBJ_MP_0969_0322.fits.gz,OBJ_MP_0969_0322_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0322_cat.fits.gz,OBJ_MP_0969_0322_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0322_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0322_cat.fits.gz::6663,retained_after_posthoc_audit,61012.724925347226,61012.724925347226,0.0,30.003,30.003,l2_manifest,15.0015,61012.7250989757,2025-12-03T17:24:08.551501,221.49257893614688,9.228857455672786,True,0.01250125,0.26252625,0.03845741808924314
20251203,000008u,343,1,OBJ_MP_0969_0348.fits.gz,OBJ_MP_0969_0348_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0348_cat.fits.gz,OBJ_MP_0969_0348_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0348_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0348_cat.fits.gz::7122,retained_after_posthoc_audit,61012.75381357639,61012.75381357639,0.0,30.003,30.003,l2_manifest,15.0015,61012.753987204866,2025-12-03T18:05:44.494500,221.49257893614688,9.228857455672786,True,0.01250125,0.26252625,0.03845741808924314
20251203,000008u,343,2,OBJ_MP_0969_0374.fits.gz,OBJ_MP_0969_0374_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0374_cat.fits.gz,OBJ_MP_0969_0374_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0374_cat.fits.gz,/processed1/20251203/L2/OBJ_MP_0969_0374_cat.fits.gz::7354,retained_after_posthoc_audit,61012.78201756944,61012.78201756944,0.0,30.003,30.003,l2_manifest,15.0015,61012.78219119792,2025-12-03T18:46:21.319500,221.49257893614688,9.228857455672786,True,0.01250125,0.26252625,0.03845741808924314
20251204,0000098,274,0,OBJ_MP_0968_0423.fits.gz,OBJ_MP_0968_0423_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0423_cat.fits.gz,OBJ_MP_0968_0423_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0423_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0423_cat.fits.gz::9934,retained_after_posthoc_audit,61013.84428979167,61013.84428979167,0.0,30.003,30.003,l2_manifest,15.0015,61013.844463420144,2025-12-04T20:16:01.639500,252.4466137811889,10.518608907549536,True,0.01250125,0.26252625,0.04383191986850121
20251204,0000098,274,1,OBJ_MP_0968_0449.fits.gz,OBJ_MP_0968_0449_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0449_cat.fits.gz,OBJ_MP_0968_0449_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0449_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0449_cat.fits.gz::9026,retained_after_posthoc_audit,61013.87085726852,61013.87085726852,0.0,30.003,30.003,l2_manifest,15.0015,61013.871030897,2025-12-04T20:54:17.069501,252.4466137811889,10.518608907549536,True,0.01250125,0.26252625,0.04383191986850121
20251204,0000098,274,2,OBJ_MP_0968_0475.fits.gz,OBJ_MP_0968_0475_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0475_cat.fits.gz,OBJ_MP_0968_0475_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0475_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0968_0475_cat.fits.gz::8460,retained_after_posthoc_audit,61013.89730413195,61013.89730413195,0.0,30.003,30.003,l2_manifest,15.0015,61013.89747776042,2025-12-04T21:32:22.078501,252.4466137811889,10.518608907549536,True,0.01250125,0.26252625,0.04383191986850121
20251204,000009h,306,0,OBJ_MP_0969_0427.fits.gz,OBJ_MP_0969_0427_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0427_cat.fits.gz,OBJ_MP_0969_0427_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0427_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0427_cat.fits.gz::6498,retained_after_posthoc_audit,61013.84825501157,61013.84825501157,0.0,30.002,30.002,l2_manifest,15.001,61013.84842863426,2025-12-04T20:21:44.234000,226.82736871619005,9.451140363174586,True,0.012500833333333333,0.2625175,0.03938237682999499
20251204,000009h,306,1,OBJ_MP_0969_0453.fits.gz,OBJ_MP_0969_0453_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0453_cat.fits.gz,OBJ_MP_0969_0453_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0453_cat.fits.gz,/processed1/20251204/L2/OBJ_MP_0969_0453_cat.fits.gz::6223,retained_after_posthoc_audit,61013.87480642361,61013.87480642361,0.0,30.002,30.002,l2_manifest,15.001,61013.8749800463,2025-12-04T20:59:58.276000,226.82736871619005,9.451140363174586,True,0.012500833333333333,0.2625175,0.03938237682999499
