night,product,provenance_path,provenance_basename,provenance_size_bytes,provenance_mtime_utc,source_row,source_file,trk_sub,linkage_id,n_tracklets,n_obs,fit_ok,is_good,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,tracklet_ids,image_names,objids,mjds,ras_deg,decs_deg,groups,exp_pairs,review_member_rows,unique_detection_n,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,median_mag_psf,median_x_px,median_y_px,time_span_hours,speed_arcsec_per_hour,final_paper_status,initial_human_selected,posthoc_retained,ecliptic_lon_j2000_deg,ecliptic_lat_j2000_deg,solar_elongation_deg,astronomical_dusk_mjd,astronomical_dawn_mjd,hours_after_astronomical_dusk,hours_before_astronomical_dawn,nearest_astronomical_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,0,OBJ_MP_1469_0036.fits.gz;OBJ_MP_1469_0052.fits.gz;OBJ_MP_1469_0068.fits.gz,0000001,30,2,3,True,True,0.19752418190794305,0.0,0.34212191878803455,1.6610314783657067,0.21735378698022367,26.79625482106186,357.1907373437656,46.36344376192531,0.010299871503672226,28.82238024627415,0.1781503657563597,557.4449000578869,19.763641841734433,20251116001200010023;20251116001201020044,OBJ_MP_1469_0036.fits.gz;OBJ_MP_1469_0052.fits.gz;OBJ_MP_1469_0068.fits.gz,6502;6929;6676,60995.44342306;60995.45723244;60995.47150094,9.72175082;9.72394886;9.72601643,16.36975620;16.37052184;16.37122681,11;11;11,0->1;0->1;1->2,3,3,60995.44324944444,60995.457058831016,60995.47132732639,9.723948864887673,16.370521841840688,17.20751953125,17.022977828979492,6125.767609483883,5572.440999578192,0.6738691668142565,23.226870835745288,,False,False,15.418087339637882,11.19496261207284,140.0967406566205,60995.434908962154,60995.89109018212,0.5315968526992947,10.416752426535822,dusk,0.5315968526992947,0.5315968526992947
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,1,OBJ_MP_1734_0039.fits.gz;OBJ_MP_1734_0055.fits.gz;OBJ_MP_1734_0071.fits.gz,0000002,37,2,3,True,True,0.36782994364109367,0.0,0.6371001509315709,-1.8495433073314245,2.3516850235964717,30.056577579216402,338.3644362334678,52.46861526549515,0.006412830460776069,34.48694384510992,0.2961886132073005,675.9651392916858,0.5780404410093853,20251116001500010010;20251116001501020051,OBJ_MP_1734_0039.fits.gz;OBJ_MP_1734_0055.fits.gz;OBJ_MP_1734_0071.fits.gz,1573;1636;1566,60995.44603808;60995.45983562;60995.47413470,11.54134036;11.54406261;11.54712543,24.26230592;24.26219428;24.26235752,14;14;14,0->1;0->1;1->2,3,3,60995.44586446759,60995.45966201389,60995.47396108796,11.544062611948615,24.262305924824172,18.57600212097168,18.522296905517578,8296.284098655271,1335.6595889071655,0.6743188889231533,28.165214137153573,,False,False,20.325106270994684,17.725860140307972,142.45782646731868,60995.434908962154,60995.89109018212,0.5940732416929677,10.35427603754215,dusk,0.5940732416929677,0.5940732416929677
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,2,OBJ_MP_1604_0045.fits.gz;OBJ_MP_1604_0061.fits.gz;OBJ_MP_1604_0077.fits.gz,0000003,65,2,3,True,True,0.17071545114510414,0.0,0.29568783502036283,-12.550092080111906,1.1354571725517193,28.841243342583237,351.8705247146741,46.73561923669829,0.009165015126698182,33.382133281899996,0.131673287261177,956.979986244511,19.8998852832621,20251116002100010002;20251116002101020030,OBJ_MP_1604_0045.fits.gz;OBJ_MP_1604_0061.fits.gz;OBJ_MP_1604_0077.fits.gz,371;430;434,60995.45143215;60995.46524028;60995.47964111,13.54249117;13.54613393;13.55001834,20.50036490;20.50154680;20.50291636,20;20;20,0->1;0->1;1->2,3,3,60995.45125854167,60995.465066666664,60995.4794675,13.54613392938698,20.50154680276139,17.35329246520996,17.40476417541504,2884.0238741336657,560.8757791221003,0.6770150000229478,39.87416609352129,,False,False,20.50887035889556,13.537711916200461,144.19094509477895,60995.434908962154,60995.89109018212,0.723784908244852,10.224564370990265,dusk,0.723784908244852,0.723784908244852
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,3,OBJ_MP_1605_0091.fits.gz;OBJ_MP_1605_0112.fits.gz;OBJ_MP_1605_0133.fits.gz,0000004,176,2,3,True,True,0.2947331491747114,0.0,0.5104927890453772,1.8434352063881232,0.29479485606472955,27.578943328149503,358.19875012005434,48.69681325597422,0.014851861678439333,29.725003884953416,0.270112118406103,369.70041522449446,44.45785492425247,20251116003400010052;20251116003401020091,OBJ_MP_1605_0091.fits.gz;OBJ_MP_1605_0112.fits.gz;OBJ_MP_1605_0133.fits.gz,13610;14069;14321,60995.49417764;60995.51488896;60995.53343502,18.84621897;18.84801101;18.84933034,22.59846391;22.60002980;22.60128467,33;33;33,0->1;0->1;1->2,3,3,60995.49400402778,60995.51471534722,60995.533261412034,18.848011014999503,22.600029800110367,17.76154899597168,17.7938232421875,6081.141296618012,8292.416683363374,0.9421772221103311,15.404183967687269,,False,False,26.02114764135812,13.530864261948379,149.1321346699997,60995.434908962154,60995.89109018212,1.9153532416094095,9.032996037625708,dusk,1.9153532416094095,1.9153532416094095
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,4,OBJ_MP_1340_0092.fits.gz;OBJ_MP_1340_0113.fits.gz;OBJ_MP_1340_0134.fits.gz,0000005,180,2,3,True,True,0.23704495997959685,0.0,0.41057391436279295,8.901410705559385,0.5393988510596504,45.45398616300628,8.091207946112728,28.044114602841923,0.002891497946756846,18.25058396137729,0.19139377346703337,418.16212071107776,176.82759394768726,20251116003500010024;20251116003501020075,OBJ_MP_1340_0092.fits.gz;OBJ_MP_1340_0113.fits.gz;OBJ_MP_1340_0134.fits.gz,4687;5019;4561,60995.49507935;60995.51578698;60995.53433924,21.61036030;21.60782929;21.60553720,19.23910841;19.23913151;19.23936488,34;34;34,0->1;0->1;1->2,3,3,60995.49490574074,60995.51561336806,60995.534165625,21.60782928708634,19.239131509256243,18.00635528564453,17.98834991455078,8421.499829602959,3685.004005062559,0.9422372222179547,17.423421696294906,,False,False,27.14682908539211,9.441197985348193,151.6213972374198,60995.434908962154,60995.89109018212,1.9369057416915894,9.011443537543528,dusk,1.9369057416915894,1.9369057416915894
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,5,OBJ_MP_1474_0098.fits.gz;OBJ_MP_1474_0119.fits.gz;OBJ_MP_1474_0140.fits.gz,0000006,232,2,3,True,True,0.6851682401301283,0.0,1.1867462036379353,-3.1279825425584917,1.6713592386873757,32.21083014837122,358.7545095608113,42.39255919349147,0.010389422828318949,33.593063825268615,0.5499298260216375,580.1129507487658,48.358063840528885,20251116004100010016;20251116004101020038,OBJ_MP_1474_0098.fits.gz;OBJ_MP_1474_0119.fits.gz;OBJ_MP_1474_0140.fits.gz,11880;9477;11414,60995.50069508;60995.52141512;60995.53994874,23.32293824;23.32503947;23.32747960,21.91022429;21.91255039;21.91495775,40;40;40,0->1;0->1;1->2,3,3,60995.500521469905,60995.521241504626,60995.53977512731,23.325039468674373,21.912550394512092,17.881385803222656,17.88404083251953,7180.612819466042,7317.3554459566885,0.9420877777738497,24.17137294786524,,False,False,29.678723058630315,11.320346516159512,153.28421232640335,60995.434908962154,60995.89109018212,2.0719810193404555,8.876368259894662,dusk,2.0719810193404555,2.0719810193404555
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,6,OBJ_MP_1752_0196.fits.gz;OBJ_MP_1752_0216.fits.gz;OBJ_MP_1752_0236.fits.gz,0000007,294,2,3,True,True,0.4452350899459476,0.0,0.7711697970988802,-1.5797604556521898,2.8357213416214715,36.5725822727093,0.36950805459675484,64.89401150093308,0.007196100693899232,34.25450062050744,0.35584674975143155,404.11488478532675,56.98573008768425,20251116006400010003;20251116006401020023,OBJ_MP_1752_0196.fits.gz;OBJ_MP_1752_0216.fits.gz;OBJ_MP_1752_0236.fits.gz,4127;4263;4099,60995.70425645;60995.72202052;60995.74107753,65.15788197;65.15933846;65.16079373,39.30654960;39.30801351;39.31001071,63;63;63,0->1;0->1;1->2,3,3,60995.70408283565,60995.72184690972,60995.74090392361,65.15933845587858,39.30801351447718,17.81028938293457,17.78376007080078,8362.803135059414,1313.0482114985207,0.8837061110534705,16.838120199388616,,False,False,70.06982990864566,17.573258825549235,156.51751679578112,60995.434908962154,60995.89109018212,6.886510741605889,4.061838537629228,dawn,4.061838537629228,-4.061838537629228
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,7,OBJ_MP_1222_0197.fits.gz;OBJ_MP_1222_0217.fits.gz;OBJ_MP_1222_0237.fits.gz,0000008,303,2,3,True,True,0.5503977742890055,0.0,0.9533169094413846,2.1696425607178145,0.4008229688862583,25.332176600270532,0.7245866255047848,57.64923740958031,0.01448745184207204,30.918119006500568,0.46921916125566954,448.2533426033278,54.12518838722232,20251116006500010010;20251116006501020052,OBJ_MP_1222_0197.fits.gz;OBJ_MP_1222_0217.fits.gz;OBJ_MP_1222_0237.fits.gz,11466;11965;9264,60995.70526214;60995.72302164;60995.74207854,68.32963972;68.33132048;68.33268320,27.85381473;27.85581168;27.85753406,64;64;64,0->1;0->1;1->2,3,3,60995.70508853009,60995.722848032405,60995.74190493055,68.33132047791536,27.85581167854348,18.779455184936523,18.667652130126953,5488.033147446308,3570.9882393240837,0.8835936110699549,18.67722260847199,,False,False,70.8478973001618,5.846499977549141,162.4232814806827,60995.434908962154,60995.89109018212,6.910537686024327,4.03781159321079,dawn,4.03781159321079,-4.03781159321079
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,8,OBJ_MP_1223_0200.fits.gz;OBJ_MP_1223_0220.fits.gz;OBJ_MP_1223_0240.fits.gz,0000009,316,2,3,True,True,0.3469477267569015,0.0,0.6009310903134775,2.1412535307664182,0.39287899836563034,25.836321973221093,1.6979706259314662,57.2406283243915,0.014441696213015442,30.830327103087832,0.29202141187769554,553.8545358768023,62.831681074064115,20251116006800010003;20251116006801020041,OBJ_MP_1223_0200.fits.gz;OBJ_MP_1223_0220.fits.gz;OBJ_MP_1223_0240.fits.gz,1507;1601;1255,60995.70807113;60995.72582123;60995.74487576,70.23667229;70.23827908;70.23962989,28.90109045;28.90358917;28.90612967,67;67;67,0->1;0->1;1->2,3,3,60995.70789752315,60995.72564761574,60995.74470215278,70.23827908333591,28.903589168745476,18.141666412353516,18.01339340209961,7681.590817140681,635.1520978346738,0.883311111072544,23.077272328200095,,False,False,72.66794821005736,6.64626562007507,160.4549669155772,60995.434908962154,60995.89109018212,6.977727686113212,3.970621593121905,dawn,3.970621593121905,-3.970621593121905
20251116,unknown_catalog,/processed1/20251116/L4/20251116_unknown_links.fits,20251116_unknown_links.fits,14400,2026-06-19T19:46:46.688212+00:00,9,OBJ_MP_1754_0204.fits.gz;OBJ_MP_1754_0224.fits.gz;OBJ_MP_1754_0244.fits.gz,000000a,343,2,3,True,True,0.5762678406585326,0.0,0.9981251787885845,-2.8858539607164513,1.7276875437757193,33.689651906361746,2.9529925385434734,63.19451245837973,0.009843778687380487,33.94538805843656,0.45856819027779844,679.4933231972743,51.91475527371513,20251116007200010002;20251116007201020020,OBJ_MP_1754_0204.fits.gz;OBJ_MP_1754_0224.fits.gz;OBJ_MP_1754_0244.fits.gz,2551;2593;2223,60995.71185115;60995.72959082;60995.74865721,71.69142546;71.69397559;71.69687497,38.17681366;38.17918255;38.18227533,71;71;71,0->1;0->1;1->2,3,3,60995.711677534724,60995.72941721065,60995.748483599535,71.69397559256613,38.17918254796073,18.196247100830078,18.194015502929688,2492.460127957673,632.7877976418044,0.8833455554558896,28.31222179988643,,False,False,75.14622207249413,15.680150906180915,154.08689653512258,60995.434908962154,60995.89109018212,7.068197963875718,3.8801513153593987,dawn,3.8801513153593987,-3.8801513153593987
