pair_id,pair_class,same_night,earlier_link_key,earlier_night,earlier_trk_sub,earlier_linkage_id,earlier_median_mjd,earlier_median_ra_deg,earlier_median_dec_deg,earlier_speed_arcsec_per_hour,earlier_direction_deg,later_link_key,later_night,later_trk_sub,later_linkage_id,later_median_mjd,later_median_ra_deg,later_median_dec_deg,later_speed_arcsec_per_hour,later_direction_deg,delta_t_days,delta_t_hours,forward_predicted_ra_deg,forward_predicted_dec_deg,forward_observed_east_offset_deg,forward_observed_north_offset_deg,forward_predicted_east_offset_deg,forward_predicted_north_offset_deg,forward_residual_east_deg,forward_residual_north_deg,forward_residual_deg,backward_predicted_ra_deg,backward_predicted_dec_deg,backward_observed_east_offset_deg,backward_observed_north_offset_deg,backward_predicted_east_offset_deg,backward_predicted_north_offset_deg,backward_residual_east_deg,backward_residual_north_deg,backward_residual_deg,max_two_way_residual_deg,speed_difference_arcsec_per_hour,direction_difference_deg,is_edge_strict,is_edge_conservative_primary,is_edge_relaxed,is_primary_conservative_edge,primary_edge_failure_reasons
PAIR000001,cross_night,False,20251121|000004r|598,20251121,000004r,598,61000.54039288194,8.99924117706019,20.121674204238477,8.987173122270768,68.17264328163373,20251124|000006v|0,20251124,000006v,0,61003.484596828705,347.9831381132704,-17.27888021957058,25.897569638482693,171.0991429892712,2.944203946761263,70.66089472227031,9.069092249511606,20.28542824383381,-19.7333680468395,-37.400554423809055,0.06558765518832947,0.16375403959533397,-19.798955702027833,-37.56430846340439,42.46264143014015,348.50907001896803,-17.35752983299144,20.067653686097394,37.400554423809055,0.5021967828181055,-0.07864961342085651,19.565456903279287,37.47920403722991,42.27881075785351,42.46264143014015,16.910396516211925,102.92649970763748,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000002,cross_night,False,20251121|000004r|598,20251121,000004r,598,61000.54039288194,8.99924117706019,20.121674204238477,8.987173122270768,68.17264328163373,20251125|000006K|21,20251125,000006K,21,61004.44406861111,340.537327962366,-13.256097316853907,55.68892763068451,41.8689897028552,3.9036757291687536,93.68821750005009,9.09185566339187,20.338793222309505,-26.724717093268872,-33.377771521092384,0.08696168550871512,0.21711901807102585,-26.811678778777587,-33.59489053916341,42.982354394271184,339.4285472282691,-14.223387548571617,27.703541604883085,33.377771521092384,-1.0792371182513465,-0.9672902317177093,28.78277872313443,34.345061752810096,44.81106579662281,44.81106579662281,46.70175450841374,26.303653578778523,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000003,cross_night,False,20251121|000004r|598,20251121,000004r,598,61000.54039288194,8.99924117706019,20.121674204238477,8.987173122270768,68.17264328163373,20251125|000006S|132,20251125,000006S,132,61004.45999814815,350.4287540182994,-8.854001174370154,18.68307255972147,142.2006615619101,3.9196052662082366,94.07052638899768,9.09223359075899,20.33967920917939,-17.437022306211023,-28.97567537860863,0.08731654577028249,0.21800500494091246,-17.524338851981305,-29.193680383549545,34.04957307420912,350.81916480147464,-9.153219045421904,18.34919665903578,28.97567537860863,0.38575855210730753,-0.29921787105174985,17.96343810692847,29.27489324966038,34.346826394886335,34.346826394886335,9.695899437450702,74.02801828027637,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000004,cross_night,False,20251124|000006v|0,20251124,000006v,0,61003.484596828705,347.9831381132704,-17.27888021957058,25.897569638482693,171.0991429892712,20251125|000006K|21,20251125,000006K,21,61004.44406861111,340.537327962366,-13.256097316853907,55.68892763068451,41.8689897028552,0.9594717824074905,23.027322777779773,347.81174481575795,-17.25324949352744,-7.109783344097909,4.022782902716674,-0.16365837796659488,0.025630726043139932,-6.946124966131314,3.9971521766735343,8.014104913750426,340.2648043458951,-13.493844442158593,7.247415510744567,-4.022782902716674,-0.26526218705912885,-0.23774712530468597,7.512677697803696,-3.7850357774119883,8.412301826929761,8.412301826929761,29.791357992201817,129.230153286416,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000005,cross_night,False,20251124|000006v|0,20251124,000006v,0,61003.484596828705,347.9831381132704,-17.27888021957058,25.897569638482693,171.0991429892712,20251125|000006S|132,20251125,000006S,132,61004.45999814815,350.4287540182994,-8.854001174370154,18.68307255972147,142.2006615619101,0.9754013194469735,23.409631666727364,347.80889927518956,-17.252823961888744,2.3352461149609325,8.424879045200427,-0.16637550028477202,0.02605625768183865,2.5016216152457047,8.398822787518588,8.763465919486766,350.52590849360297,-8.928462117859072,-2.4164733434401433,-8.424879045200427,0.09599675864233616,-0.07446094348891655,-2.5124701020824793,-8.35041810171151,8.720205759456,8.763465919486766,7.214497078761223,28.898481427361105,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000006,same_night,True,20251125|000006K|21,20251125,000006K,21,61004.44406861111,340.537327962366,-13.256097316853907,55.68892763068451,41.8689897028552,20251125|000006S|132,20251125,000006S,132,61004.45999814815,350.4287540182994,-8.854001174370154,18.68307255972147,142.2006615619101,0.015929537039482966,0.3823088889475912,340.5418525092285,-13.252150143306949,9.627867642105715,4.402096142483753,0.004403989686210561,0.003947173546958109,9.623463652419504,4.398148968936795,10.580867971125958,350.4303406737427,-8.855217215740668,-9.77355738635043,-4.402096142483753,0.0015677484661702188,-0.0012160413705140846,-9.7751251348166,-4.400880101113239,10.720112735680429,10.720112735680429,37.00585507096304,100.3316718590549,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000007,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,1.1170436921311193,26.809048611146864,117.55838793963713,20.91014067355942,-2.5285298431031746,0.5369271892261693,-0.06573723755207209,0.020050042923847627,-2.4627926055511025,0.5168771463023217,2.5164477746074563,115.00231718636819,21.402731473869174,2.5193753191546144,-0.5369271892261693,0.07447159822110025,-0.02428634599256939,2.4449037209335143,-0.5126408432335999,2.498070222949267,2.5164477746074563,1.28975145187675,1.1000988134871363,False,False,False,False,two_way_residual
PAIR000008,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251204|000009h|306,20251204,000009h,306,61013.87480642361,117.55827661534876,20.908959766245587,9.451140363174586,165.5232165683426,1.1209928472235333,26.9038283333648,117.55813918289444,20.910211557742084,-0.06584124406734082,0.018869135610014354,-0.06596964255849105,0.02012092710651086,0.00012839849115023338,-0.0012517914964965057,0.0012583592981460494,117.63148601691658,20.89130286817939,0.06583296470805768,-0.018869135610014354,0.06838846562808869,-0.017656898066196875,-0.002555500920031012,-0.0012122375438174786,0.0028284456535206722,0.0028284456535206722,0.2222829075017998,2.485070350561955,True,True,True,True,
PAIR000009,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251204|000009l|317,20251204,000009l,317,61013.87695957176,106.43396364049946,23.99977697907328,39.00318379644715,183.58822137494087,1.123145995370578,26.955503888893872,117.5580035563852,20.910250205033208,-10.458910393988553,3.1096863484377053,-0.06609635381627278,0.020159574397636316,-10.392814040172281,3.089526774040069,10.842313376817353,106.75301593960297,24.01805451664759,10.226964289569823,-3.1096863484377053,0.29146928371841924,0.018277537574313125,9.935495005851404,-3.1279638860120182,10.416247840921105,10.842313376817353,29.774326340774365,20.550075157160222,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000010,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251207|00000aG|298,20251207,00000aG,298,61016.46225980325,35.00076238193964,19.825908614221383,21.750876216274005,230.4676683684961,3.7084462268612697,89.00270944467047,117.39515584607202,20.956654281236826,-77.19653292932622,-1.0641820164141897,-0.218239458565108,0.0665636506012528,-76.97829347076112,-1.1307456670154425,76.98659786894143,35.36461147123654,20.24065384760695,77.73042045888147,1.0641820164141897,0.3422828436619551,0.41474523338556685,77.38813761521952,0.649436783028623,77.39086258523874,77.39086258523874,12.522018760601219,67.42952215071546,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000011,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251207|00000bh|896,20251207,00000bh,896,61016.5485206713,48.84417910724284,3.176017626942899,25.43636126095055,162.797778902172,3.7947070949085173,91.07297027780442,117.38972228571411,20.958202594986037,-64.26309716367156,-17.714073003692675,-0.22331585012813765,0.06811196435046347,-64.03978131354343,-17.78218496804314,66.46276922401117,49.45982967515572,2.9857085444194884,68.67892105033759,17.714073003692675,0.6147049544984048,-0.19030908252341033,68.06421609583919,17.904382086216085,70.37971590330775,70.37971590330775,16.207503805277767,0.240367315608637,False,False,False,False,two_way_residual;speed_difference
PAIR000012,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251208|00000cs|449,20251208,00000cs,449,61017.48187351852,34.91309581737564,19.71184720022901,20.737420357794964,232.22603889423468,4.728059942128311,113.47343861107947,117.33093051668371,20.97495553382064,-77.27843683383786,-1.1782434304065639,-0.27824301033664667,0.08486490318506695,-77.0001938235012,-1.2631083335916309,77.01055311786263,35.338412015254775,20.228515445631093,77.8685852382636,1.1782434304065639,0.4003930185510761,0.5166682454020826,77.46819221971253,0.6615751850044813,77.47101708068472,77.47101708068472,11.508562902122177,69.18789267645403,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000013,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251208|00000cR|1115,20251208,00000cR,1115,61017.78582819444,113.95355964433988,23.090786064143124,12.563633559493391,168.5434341136023,5.032014618052926,120.76835083327023,117.31178445294597,20.98041127771152,-3.4336063213616916,2.2006954335075513,-0.29613052975694715,0.09032064707594903,-3.1374757916047447,2.1103747864316023,3.7811950600454414,114.40260697191268,23.007071722530426,3.38075127175424,-2.2006954335075513,0.41307171166864015,-0.08371434161269925,2.9676795600856,-2.116981091894852,3.6453711628296754,3.7811950600454414,3.334776103820605,5.5052878958216525,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000014,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251208|00000cT|1141,20251208,00000cT,1141,61017.78884447917,113.9532276620022,23.090767670420227,12.96125601820795,167.34953358586463,5.0350309027780895,120.84074166667415,117.31159445758095,20.98046541761548,-3.433916481225012,2.2006770397846545,-0.29630803599676525,0.09037478697990811,-3.1376084452282464,2.1103022528047464,3.78126465005564,114.41470636991566,22.99548640046367,3.381057119953137,-2.2006770397846545,0.4245072048363746,-0.095281269956557,2.9565499151167622,-2.1053957698280974,3.6295838257556445,3.78126465005564,3.7323985625351632,4.3113873680839845,False,False,False,False,two_way_residual;speed_difference
PAIR000015,cross_night,False,20251203|000008u|343,20251203,000008u,343,61012.75381357639,117.62875037003016,20.890090630635573,9.228857455672786,163.03814621778065,20251209|00000e2|1083,20251209,00000e2,1083,61018.87456671296,117.19716804920762,21.002572058584548,11.62742498712702,167.87802706157777,6.120753136572603,146.89807527774246,117.24320496159287,20.99995326535528,-0.40321275698852166,0.11248142794897475,-0.3602020277011994,0.1098626347197085,-0.04301072928732225,0.002618793229266253,0.04309038073404516,117.69405746509541,20.902939092379246,0.40290986367437004,-0.11248142794897475,0.46387823865219835,-0.09963296620530078,-0.06096837497782831,-0.012848461743673975,0.062307509311604926,0.062307509311604926,2.3985675314542334,4.839880843797118,False,False,False,False,two_way_residual;speed_difference
PAIR000016,same_night,True,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251204|000009h|306,20251204,000009h,306,61013.87480642361,117.55827661534876,20.908959766245587,9.451140363174586,165.5232165683426,0.003949155092414003,0.09477972221793607,114.92203338077783,21.427103680914115,2.4537724528336655,-0.518058053616155,-0.00026328414316003853,8.586105237271754e-05,2.4540357369768255,-0.5181439146685277,2.5081396521460717,117.55853452536284,20.90889756261147,-2.462378922570861,0.518058053616155,0.0002409262984741341,-6.220363411511739e-05,-2.4626198488693354,0.5181202572502701,2.5165343472756962,2.5165343472756962,1.0674685443749503,3.5851691640490913,False,False,False,False,two_way_residual
PAIR000017,same_night,True,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251204|000009l|317,20251204,000009l,317,61013.87695957176,106.43396364049946,23.99977697907328,39.00318379644715,183.58822137494087,0.006102303239458706,0.14645527774700895,114.9218791755769,21.42715049385549,-7.901668665648074,2.572759159211536,-0.0004068312441792508,0.00013267399374712645,-7.901261834403895,2.5726264852177887,8.309533417000718,106.43569712295535,23.99987628502033,7.754509374439201,-2.572759159211536,0.0015836177679205137,9.930594705299963e-05,7.752925756671281,-2.572858465158589,8.168687683477387,8.309533417000718,28.48457488889762,21.65017397064736,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000018,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251207|00000aG|298,20251207,00000aG,298,61016.46225980325,35.00076238193964,19.825908614221383,21.750876216274005,230.4676683684961,2.5914025347301504,62.19366083352361,114.73672389854568,21.483359124152543,-74.39766812288123,-1.601109205640359,-0.1727648522211177,0.05634130429079968,-74.2249032706601,-1.6574505099311587,74.24340649331576,35.255014269275556,20.115725907857122,75.18440342431882,1.601109205640359,0.23918174200167955,0.28981729363574027,74.94522168231714,1.3112919120046187,74.95669242629472,74.95669242629472,11.232267308724468,68.52962096420259,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000019,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251207|00000bh|896,20251207,00000bh,896,61016.5485206713,48.84417910724284,3.176017626942899,25.43636126095055,162.797778902172,2.677663402777398,64.26392166665755,114.73054602615558,21.48523457566959,-61.51105776756403,-18.251000192918845,-0.17851573265012058,0.058216755807846444,-61.332542034913914,-18.309216948726693,64.00709443288316,49.278601304627,3.0417296166316934,65.97664386276881,18.251000192918845,0.43375494313507884,-0.13428801031120546,65.54288891963373,18.38528820323005,68.07267521000827,68.07267521000827,14.917752353401015,0.8597314978784993,False,False,False,False,two_way_residual;speed_difference
PAIR000020,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251208|00000cs|449,20251208,00000cs,449,61017.48187351852,34.91309581737564,19.71184720022901,20.737420357794964,232.22603889423468,3.611016249997192,86.66438999993261,114.66370071245086,21.505527184043288,-74.47927549490092,-1.7151706196327332,-0.24074094257370302,0.0785093641815473,-74.23853455232721,-1.7936799838142805,74.2601999752318,35.2379275074826,20.10644825284693,75.32074589675972,1.7151706196327332,0.3057968202751956,0.3946010526179207,75.01494907648453,1.3205695670148125,75.02657188575853,75.02657188575853,10.218811450245427,70.28799148994116,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000021,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251208|00000cR|1115,20251208,00000cR,1115,61017.78582819444,113.95355964433988,23.090786064143124,12.563633559493391,168.5434341136023,3.914970925921807,93.95930222212337,114.64193194008924,21.5121356528772,-0.9017996554366855,1.663768244281382,-0.2610051369488552,0.08511783301545753,-0.6407945184878303,1.5786504112659243,1.7037472629219752,114.30292413654611,23.025655249077403,0.8911442281169197,-1.663768244281382,0.32137500866983226,-0.06513081506571977,0.5697692194470875,-1.5986374292156622,1.6971383542653806,1.7037472629219752,2.045024651943855,6.605386709308789,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000022,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251208|00000cT|1141,20251208,00000cT,1141,61017.78884447917,113.9532276620022,23.090767670420227,12.96125601820795,167.34953358586463,3.91798721064697,94.03169305552728,114.64171591835718,21.512201231811098,-0.9021086923684974,1.6637498505584851,-0.26120622804829485,0.0851834119493555,-0.6409024643202026,1.5785664386091296,1.703710060390212,114.31232529427159,23.016624968158357,0.8914497355626528,-1.6637498505584851,0.3303284193268262,-0.07414270226187025,0.5611213162358266,-1.589607148296615,1.6857366394101787,1.703710060390212,2.442647110658413,5.411486181571121,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000023,cross_night,False,20251204|0000098|274,20251204,0000098,274,61013.87085726852,114.92231621326911,21.427017819861742,10.518608907549536,161.9380474042935,20251209|00000e2|1083,20251209,00000e2,1083,61018.87456671296,117.19716804920762,21.002572058584548,11.62742498712702,167.87802706157777,5.003709444441483,120.0890266665956,114.56395814054532,21.53580659837599,2.1176223910268375,-0.4244457612771946,-0.33358967244213295,0.10878877851425056,2.4512120634689705,-0.5332345397914451,2.5085413400066585,117.60337463974379,20.92112221036238,-2.123720548493561,0.4244457612771946,0.37921998682577535,-0.08144984822216562,-2.502940535319336,0.5058956094993602,2.5535547166754373,2.5535547166754373,1.1088160795774833,5.939979657284255,False,False,False,False,two_way_residual;direction_difference
PAIR000024,same_night,True,20251204|000009h|306,20251204,000009h,306,61013.87480642361,117.55827661534876,20.908959766245587,9.451140363174586,165.5232165683426,20251204|000009l|317,20251204,000009l,317,61013.87695957176,106.43396364049946,23.99977697907328,39.00318379644715,183.58822137494087,0.0021531481470447034,0.05167555552907288,117.55813599831653,20.908993680750438,-10.391762249440156,3.090817212827691,-0.00013135721464330345,3.391450484983156e-05,-10.391630892225512,3.090783298322841,10.841537436980376,106.43457528570805,23.999812018370328,10.162583199523933,-3.090817212827691,0.0005587666703576633,3.5039297048543946e-05,10.162024432853576,-3.0908522521247397,10.621681044843024,10.841537436980376,29.552043433272566,18.065004806598267,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000025,cross_night,False,20251204|000009h|306,20251204,000009h,306,61013.87480642361,117.55827661534876,20.908959766245587,9.451140363174586,165.5232165683426,20251207|00000aG|298,20251207,00000aG,298,61016.46225980325,35.00076238193964,19.825908614221383,21.750876216274005,230.4676683684961,2.5874533796377364,62.09888111130567,117.38929613168459,20.949715066949295,-77.12099270831419,-1.083051152024204,-0.15785289527574647,0.040755300703707295,-76.96313981303844,-1.1238064527279115,76.97134421864084,35.25462680336774,20.115284242224057,77.66412385991924,1.083051152024204,0.23881724216740863,0.28937562800267397,77.42530661775183,0.7936755240215301,77.42937443690421,77.42937443690421,12.299735853099419,64.9444518001535,False,False,False,False,two_way_residual;speed_difference;direction_difference
PAIR000026,cross_night,False,20251204|000009h|306,20251204,000009h,306,61013.87480642361,117.55827661534876,20.908959766245587,9.451140363174586,165.5232165683426,20251207|00000bh|896,20251207,00000bh,896,61016.5485206713,48.84417910724284,3.176017626942899,25.43636126095055,162.797778902172,2.673714247684984,64.16914194443962,117.38366263764036,20.951073772634157,-64.1891832874072,-17.73294213930269,-0.1631154162847872,0.04211400638856899,-64.02606787112242,-17.77505614569126,66.44764847622564,49.27796059652632,3.0419276714653294,68.6085555403834,17.73294213930269,0.4331152191351299,-0.13408995547756933,68.17544032124827,17.86703209478026,70.47780855611214,70.47780855611214,15.985220897775966,2.725437666170592,False,False,False,False,two_way_residual;speed_difference
