night,trk_sub,linkage_id,n_measurements,n_tracklets,arc_length_min,angular_speed_arcsec_hr,direction_deg,median_instrumental_mag,best_distance_au,rms_arcsec,median_residual_arcsec,max_residual_arcsec,linear_rms_arcsec,is_c2025_y1,source_table
20251121,000004r,598,3,2,74.56234999350272,8.987173122270768,68.17264328163373,18.928586959838867,-2.3534336924446655,0.16723052515500275,0.0,0.28965176614488997,0.13169416207792686,False,frozen unknown_review_detections + posthoc review status
20251124,000006v,0,3,2,130.04703332553618,25.897569638482693,171.0991429892712,17.478530883789062,0.8552354476523216,1.5136650034413317,0.0,2.621744691599306,1.163673369159325,False,frozen unknown_review_detections + posthoc review status
20251125,000006K,21,3,2,83.37163333198987,55.68892763068451,41.8689897028552,17.534048080444336,0.7962863041148304,0.3115509763174687,0.003073585126505738,0.5396133667799324,0.2626815124055096,False,frozen unknown_review_detections + posthoc review status
20251125,000006S,132,3,2,83.02749999566004,18.68307255972147,142.2006615619101,18.173261642456055,1.5646742283662995,0.8722503903425757,0.0,1.5107819929951267,0.7099873402043746,False,frozen unknown_review_detections + posthoc review status
20251203,000008u,343,3,2,82.21279999357648,9.228857455672786,163.03814621778065,17.774917602539062,1.2204301524939027,0.2655821812194292,0.0,0.4600018314570163,0.28026956253229307,False,frozen unknown_review_detections + posthoc review status
20251204,0000098,274,3,2,76.34065000223927,10.518608907549536,161.9380474042935,17.224042892456055,5.831336748206895,0.03319851369894478,0.0,0.05750151246234375,0.025767316068528043,False,frozen unknown_review_detections + posthoc review status
20251204,000009h,306,3,2,76.33315000100993,9.451140363174586,165.5232165683426,17.648366928100586,5.499622340117905,0.3016814222899489,0.0,0.5225275511058335,0.24545353293920444,False,frozen unknown_review_detections + posthoc review status
20251204,000009l,317,3,2,76.30643333424814,39.00318379644715,183.58822137494087,17.83401107788086,1.2271145937058452,0.44241479411718676,0.0,0.766284901431092,0.43879910832333785,False,frozen unknown_review_detections + posthoc review status
20251207,00000aG,298,3,2,81.81360000511631,21.750876216274005,230.46766836849613,16.027873992919922,3.6654178984606878,0.028558441322069326,0.0,0.049464671354798574,0.022714315462501355,False,frozen unknown_review_detections + posthoc review status
20251207,00000bh,896,3,2,81.9975500064902,25.43636126095055,162.797778902172,17.84528350830078,1.4157145024535016,0.675748503023798,0.003073585126505738,1.1704267047069552,0.5846614120191747,False,frozen unknown_review_detections + posthoc review status
20251208,00000cs,449,3,2,83.73258333303966,20.737420357794964,232.22603889423468,16.15353775024414,3.3040368381776677,0.01636040616895529,0.003073585126505738,0.02816987299420595,0.014996751283622099,False,frozen unknown_review_detections + posthoc review status
20251208,00000cR,1115,3,2,75.51801666500978,12.563633559493391,168.5434341136023,17.121566772460938,1.38605058504359,0.08456549311697657,0.0,0.1464717306457196,0.11094758760847878,False,frozen unknown_review_detections + posthoc review status
20251208,00000cT,1141,3,2,75.5283500009682,12.96125601820795,167.34953358586463,17.247882843017578,5.884239135801841,0.10940408880090073,0.0,0.18949344035893728,0.08748966105879653,False,frozen unknown_review_detections + posthoc review status
20251209,00000e2,1083,3,2,77.90635000448674,11.62742498712702,167.87802706157777,17.909584045410156,1.3373163364400535,0.3318143578503113,0.0,0.5747193264775802,0.2820621332583253,False,frozen unknown_review_detections + posthoc review status
20251214,00000gA,260,3,2,87.26761667174287,30.10412711645883,177.69218566311613,18.644132614135742,1.9173619243435316,0.1247234435562645,0.0,0.2160273411343992,0.1156659688405822,False,frozen unknown_review_detections + posthoc review status
20251215,00000hz,246,3,2,89.88254999625497,29.387494016757117,176.8142409825661,18.682588577270508,3.0224889059532156,0.1011951939292949,0.0,0.17527521736732438,0.073846704600314,False,frozen unknown_review_detections + posthoc review status
20251216,00000jr,232,3,2,91.66278333286755,28.95554219637295,176.96202806814262,18.529150009155273,1.3821784746844106,0.3743722574675839,0.0,0.6484317708781123,0.3805318535732704,False,frozen unknown_review_detections + posthoc review status
20251217,00000lw,1025,3,2,79.83088333625346,16.14427555673465,169.93013290790705,17.090545654296875,6.841635294163771,0.0400353389507636,0.0,0.06934324116096383,0.028132424167248482,False,frozen unknown_review_detections + posthoc review status
20251217,00000lA,1134,3,2,79.82885000179522,15.729471522186012,162.59738688765185,15.135032653808594,7.345237949725065,0.020232814262018773,0.0,0.035044262281920716,0.012689866571752475,False,frozen unknown_review_detections + posthoc review status
20251217,00000lG,1187,3,2,79.82011666637845,18.965265288683277,170.04837323268444,18.061111450195312,4.257390951852552,0.2664640543911831,0.003073585126505738,0.4615190461099436,0.20860765802963516,False,frozen unknown_review_detections + posthoc review status
20260103,00000wD,40,3,2,77.55073332460597,9.20615915882076,26.845772003274213,16.820270538330078,2.0533893048444805,0.09772840790019287,0.0,0.1692705678259497,0.07876944840706174,False,frozen unknown_review_detections + posthoc review status
20260112,00000C3,119,3,2,78.40261666453443,10.790305575283803,30.105441088632485,16.206707000732422,1.8856468858593944,0.40570935589109175,0.0,0.7027092175094145,0.41237313402218145,False,frozen unknown_review_detections + posthoc review status
20260205,00000LG,51,3,2,113.54806666611694,15.50809691798768,168.22910548796708,17.668039321899414,6.619960619464066,0.15606832795671188,0.003073585126505738,0.27030079919985706,0.12531344083026655,False,frozen unknown_review_detections + posthoc review status
20260205,00000LJ,67,3,2,113.57098333421163,14.035205609287358,175.39274876715606,17.293243408203125,6.667924511466893,0.06090560530907834,0.0,0.10549160286106044,0.034599536137308914,False,frozen unknown_review_detections + posthoc review status
20260206,00000LX,102,3,2,73.46200000145473,12.619112436431044,166.3064920225102,17.341073989868164,9.733894994068523,0.053970381121304686,0.0,0.09347944220595587,0.04076552683002232,False,frozen unknown_review_detections + posthoc review status
20260207,00000Ma,120,3,2,75.82294999854639,14.757486470948407,169.1849835193691,17.854162216186523,1.4729235476793987,0.05532453227710378,0.0,0.09582490080892803,0.07579041174204548,False,frozen unknown_review_detections + posthoc review status
20260207,00000Md,159,3,2,75.71823334204964,13.281043558800684,176.46237653982163,17.225772857666016,6.446222146185185,0.07318747690309178,0.0,0.1267644284739287,0.05567565788708754,False,frozen unknown_review_detections + posthoc review status
20260207,00000Mf,168,3,2,75.71823334204964,17.77030768132361,167.92245989572692,18.520288467407227,2.5880525364381706,0.054752391437705994,0.0,0.09483392380600596,0.05032287205858653,False,frozen unknown_review_detections + posthoc review status
