row_order,link_key,origin_night,trk_sub,linkage_id,n_obs,n_tracklets,unique_detection_n,fit_ok,is_good,rms_arcsec,median_residual_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,linear_rms_arcsec,speed_arcsec_per_hour,direction_deg,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,time_span_hours,ecliptic_lon_j2000_deg,ecliptic_lat_j2000_deg,solar_elongation_deg,nearest_astronomical_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours,final_paper_status,review_notes,source_gif,linear_motion_candidate_group_id,candidate_group_link_count,candidate_group_distinct_night_count,candidate_group_cross_night_primary_edge_count,candidate_group_has_cross_night_primary_edge,candidate_group_is_singleton,candidate_group_interpretation,jpl_first_pass_status,jpl_first_pass_object_name,jpl_first_pass_separation_arcsec,jpl_first_pass_strict_candidate,jpl_first_pass_plausible_candidate,jpl_second_pass_status,jpl_second_pass_object_name,jpl_second_pass_separation_arcsec,jpl_second_pass_numerically_confirmed_candidate,jpl_evidence_scope,mpc_evidence_status,mpc_evidence_source,mpc_submission_id,mpc_ingest_state,mpc_identification,provisional_designation,known_object_id,identity_guardrail,retained_link_source_path,input_manifest_hash
11,20251208|00000cR|1115,20251208,00000cR,1115,3,2,3,True,True,0.08456549311697657,0.0,0.1464717306457196,1.38605058504359,0.06208329602776001,23.840010849782153,359.7314758951508,86.1759719069974,0.017969104193834982,26.921591304900588,0.11094758760847878,12.563633559493391,168.5434341136023,61017.759598414355,61017.78582819444,61017.812041481484,113.95355964433988,23.090786064143124,17.121566772460938,1.2586336110834964,111.94288881586355,1.4572541295618626,144.60479384174988,dawn,2.856435426394455,-2.856435426394455,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cR_link1115_20251208.gif,LMG010,2,1,0,False,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251208/L4/20251208_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
12,20251208|00000cT|1141,20251208,00000cT,1141,3,2,3,True,True,0.10940408880090073,0.0,0.18949344035893728,5.884239135801841,0.3032234238716475,24.42393093813755,2.1717557030349375,101.96573037202492,0.003554309474669592,16.792317020496743,0.08748966105879653,12.96125601820795,167.34953358586463,61017.7626025,61017.78884447917,61017.815052743055,113.95322766200219,23.090767670420227,17.247882843017578,1.25880583334947,111.94259032241597,1.457186645394729,144.60815404835537,dawn,2.78404459299054,-2.78404459299054,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cT_link1141_20251208.gif,LMG010,2,1,0,False,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251208/L4/20251208_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
13,20251208|00000cs|449,20251208,00000cs,449,3,2,3,True,True,0.01636040616895529,0.003073585126505738,0.02816987299420595,3.3040368381776677,0.0012217897043561392,21.55593699135638,318.4510265900238,87.6467469754704,0.004783033305961183,16.405946493323977,0.014996751283622099,20.737420357794964,232.22603889423468,61017.452854953706,61017.48187351852,61017.51100258102,34.91309581737564,19.71184720022901,16.15353775024414,1.395543055550661,39.15368130285607,5.459694646528244,142.54836126356847,dusk,1.2202343014650978,1.2202343014650978,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251208/gifs/00000cs_link0449_20251208.gif,LMG008,2,2,1,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,5599 (1991 SG1),34.77,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251208/L4/20251208_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
14,20251209|00000e2|1083,20251209,00000e2,1083,3,2,3,True,True,0.3318143578503113,0.0,0.5747193264775802,1.3373163364400535,0.02790389768736063,23.429182014787433,0.8532958350575427,86.96105806502538,0.018236675744027403,26.484860782554488,0.2820621332583253,11.62742498712702,167.87802706157777,61018.846585810184,61018.87456671296,61018.90068744213,117.19716804920762,21.002572058584548,17.909584045410156,1.2984391667414457,115.26326216876171,-0.08358383823508944,142.41635206001243,dawn,0.7393271377659403,-0.7393271377659403,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251209/gifs/00000e2_link1083_20251209.gif,LMG011,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251209/L4/20251209_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
15,20251214|00000gA|260,20251214,00000gA,260,3,2,3,True,True,0.1247234435562645,0.0,0.2160273411343992,1.9173619243435316,0.11336510176440989,28.428627949454466,7.489145100730212,65.17253520284697,0.014217070983270462,24.10390768306589,0.1156659688405822,30.10412711645883,177.69218566311613,61023.453093854165,61023.48359408565,61023.51369636574,53.61876334636927,27.183099803231713,18.644132614135742,1.4544602778623812,57.832275261280564,7.716567417230397,154.35528936063642,dusk,1.2413936003576964,1.2413936003576964,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251214/gifs/00000gA_link0260_20251214.gif,LMG012,3,3,3,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251214/L4/20251214_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
16,20251215|00000hz|246,20251215,00000hz,246,3,2,3,True,True,0.1011951939292949,0.0,0.17527521736732438,3.0224889059532156,0.3564979494153702,53.403376664125624,38.31819742875276,214.19416085758778,-179.99702774439868,11.799840963391453,0.073846704600314,29.387494016757117,176.8142409825661,61024.44911127315,61024.47964878472,61024.511529710646,53.40413560584203,27.190217469251714,18.682588577270508,1.4980424999375828,57.64687550353936,7.769060030999155,153.19920254977347,dusk,1.1415498065762222,1.1415498065762222,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251215/gifs/00000hz_link0246_20251215.gif,LMG012,3,3,3,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251215/L4/20251215_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
17,20251216|00000jr|232,20251216,00000jr,232,3,2,3,True,True,0.3743722574675839,0.0,0.6484317708781123,1.3821784746844106,0.059455765997205055,26.006710239021807,4.008068769870906,73.92820046203937,0.021783668362931843,26.88826947206082,0.3805318535732704,28.95554219637295,176.96202806814262,61025.441909444446,61025.473747986114,61025.50556415509,53.19472327722889,27.19698029259082,18.529150009155273,1.5277130555477925,57.46599106275195,7.820323347929113,152.04625841866243,dusk,0.9942777967080474,0.9942777967080474,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251216/gifs/00000jr_link0232_20251216.gif,LMG012,3,3,3,True,False,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,570002 (2006 BL119),118.8,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251216/L4/20251216_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
18,20251217|00000lA|1134,20251217,00000lA,1134,3,2,3,True,True,0.020232814262018773,0.0,0.035044262281920716,7.345237949725065,0.4418152243569265,22.695446320278247,12.716283449626207,94.07228376153233,0.0039513950654238095,17.66265513988924,0.012689866571752475,15.729471522186012,162.59738688765185,61026.84266865741,61026.86847631945,61026.8981053588,113.59644256066417,21.83614609699659,15.135032653808594,1.3304808333632536,111.81835404192722,0.16595419994341454,153.9898126231723,dawn,0.975092266628053,-0.975092266628053,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lA_link1134_20251217.gif,LMG014,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251217/L4/20251217_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
19,20251217|00000lG|1187,20251217,00000lG,1187,3,2,3,True,True,0.2664640543911831,0.003073585126505738,0.4615190461099436,4.257390951852552,0.03696887457188064,22.941818070625235,2.031681712787879,105.22350216607633,0.003350665251142199,14.979042275753443,0.20860765802963516,18.965265288683277,170.04837323268444,61026.849127361114,61026.87490996528,61026.90455799769,115.2899352072843,21.074449463385697,18.061111450195312,1.3303352777729742,113.49831657865627,-0.3259156448879329,152.31522640850528,dawn,0.8206847666879185,-0.8206847666879185,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lG_link1187_20251217.gif,LMG015,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",candidate_within_search_radius_not_associated,(2016 CB302),122.5,False,False,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251217/L4/20251217_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
20,20251217|00000lw|1025,20251217,00000lw,1025,3,2,3,True,True,0.0400353389507636,0.0,0.06934324116096383,6.841635294163771,0.40072806850907794,24.516459372553655,1.0902647368962923,104.1997840002834,0.003894786204011826,17.409171423035946,0.028132424167248482,16.14427555673465,169.93013290790705,61026.833427488426,61026.8592416088,61026.88886560185,113.03411359713503,23.254539705342445,17.090545654296875,1.330514722270891,111.08208220947827,1.4848551192422923,154.6762827655288,dawn,1.1967253221664578,-1.1967253221664578,retained_after_posthoc_audit,identity/designation/ingestion not yet reconciled with MPC/JPL,/pipeline/xiaoyunao/heliolincrr/review_packages/20251217/gifs/00000lw_link1025_20251217.gif,LMG013,1,1,0,False,True,"Linear-motion repeat candidate only; not a confirmed independent object, orbital identity, or MPC/JPL identification.",not_in_first_pass_table,,,,,not_selected_or_no_second_pass_row,,,,"JPL positional/rate association only; not evidence of MPC ingest, MPC identification, provisional designation, or discovery confirmation.",pending_no_authoritative_mpc_evidence,,,pending,,,,One retained single-night linkage row; not necessarily one independent object.,/processed1/20251217/L4/20251217_unknown_links.fits,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
