panel,bin_lo,bin_hi,count
0,1.371940305473623,1.5041460618350302,96
0,1.5041460618350302,1.6490917034125494,115
0,1.6490917034125494,1.808004897440851,116
0,1.808004897440851,1.9822316141701755,199
0,1.9822316141701755,2.173247527026815,239
0,2.173247527026815,2.3826705113394966,288
0,2.3826705113394966,2.6122743474939516,278
0,2.6122743474939516,2.8640037445792816,386
0,2.8640037445792816,3.1399908117740836,422
0,3.1399908117740836,3.4425731169824365,468
0,3.4425731169824365,3.7743134856736176,679
0,3.7743134856736176,4.138021707618653,742
0,4.138021707618653,4.536778335376436,875
0,4.536778335376436,4.973960776098904,1072
0,4.973960776098904,5.453271897648842,1256
0,5.453271897648842,5.97877139131973,1431
0,5.97877139131973,6.55491015679502,1541
0,6.55491015679502,7.186568000582172,1875
0,7.186568000582172,7.879094967221333,2377
0,7.879094967221333,8.63835665333766,2742
0,8.63835665333766,9.470783888340309,3235
0,9.470783888340309,10.383427202555948,3821
0,10.383427202555948,11.384016544133468,4176
0,11.384016544133468,12.481026750512944,4769
0,12.481026750512944,13.683749328991958,5871
0,13.683749328991958,15.00237115435975,7209
0,15.00237115435975,16.448060750155953,8667
0,16.448060750155953,18.033062884342872,10876
0,18.033062884342872,19.770802280602044,13133
0,19.770802280602044,21.6759973236739,15905
0,21.6759973236739,23.76478472180697,20962
0,23.76478472180697,26.05485618218868,26882
0,26.05485618218868,28.565608256977235,35692
0,28.565608256977235,31.31830662910763,40270
0,31.31830662910763,34.336266229347146,35932
0,34.336266229347146,37.64504871016387,27170
0,37.64504871016387,41.27267894898181,12497
0,41.27267894898181,45.24988241457134,3522
0,45.24988241457134,49.610345407032185,2046
0,49.610345407032185,54.391000375560935,1855
0,54.391000375560935,59.632338730601255,1414
0,59.632338730601255,65.37875379984663,1263
0,65.37875379984663,71.67891683288113,943
0,71.67891683288113,78.5861892391583,556
1,7.64919935435383,11.532250676701855,2007
1,11.532250676701855,15.415301999049879,3125
1,15.415301999049879,19.298353321397904,2634
1,19.298353321397904,23.18140464374593,2378
1,23.18140464374593,27.064455966093952,4075
1,27.064455966093952,30.947507288441976,6727
1,30.947507288441976,34.83055861079,8628
1,34.83055861079,38.713609933138024,7195
1,38.713609933138024,42.596661255486055,4614
1,42.596661255486055,46.47971257783408,3670
1,46.47971257783408,50.3627639001821,4098
1,50.3627639001821,54.245815222530126,3141
1,54.245815222530126,58.12886654487815,3224
1,58.12886654487815,62.011917867226174,5575
1,62.011917867226174,65.8949691895742,9606
1,65.8949691895742,69.77802051192222,13363
1,69.77802051192222,73.66107183427025,12223
1,73.66107183427025,77.54412315661827,10576
1,77.54412315661827,81.4271744789663,10696
1,81.4271744789663,85.31022580131432,8744
1,85.31022580131432,89.19327712366234,8055
1,89.19327712366234,93.07632844601036,9041
1,93.07632844601036,96.95937976835839,10725
1,96.95937976835839,100.84243109070641,13016
1,100.84243109070641,104.72548241305444,16442
1,104.72548241305444,108.60853373540246,18837
1,108.60853373540246,112.49158505775048,20022
1,112.49158505775048,116.37463638009851,18214
1,116.37463638009851,120.25768770244653,16501
1,120.25768770244653,124.14073902479456,16953
1,124.14073902479456,128.02379034714258,16433
1,128.02379034714258,131.9068416694906,15734
1,131.9068416694906,135.78989299183866,14395
1,135.78989299183866,139.67294431418668,15687
1,139.67294431418668,143.5559956365347,15460
1,143.5559956365347,147.43904695888273,14234
1,147.43904695888273,151.32209828123075,14252
1,151.32209828123075,155.20514960357877,15181
1,155.20514960357877,159.0882009259268,18526
1,159.0882009259268,162.97125224827482,25914
1,162.97125224827482,166.85430357062285,28983
1,166.85430357062285,170.73735489297087,26438
1,170.73735489297087,174.6204062153189,22870
1,174.6204062153189,178.50345753766692,14428
