bin_lo,bin_hi,bin_center,n,median,p16,p84
2.2858887020625946,2.7917436011935832,2.538816151628089,690,0.23271246858475597,0.09244629345564655,0.47569965574986434
2.7917436011935832,3.4095414740765,3.100642537635042,951,0.2476941758758915,0.10719562039906459,0.4854304263918365
3.4095414740765,4.164054699893503,3.7867980869850015,1506,0.23389153633990556,0.09974593888035453,0.4809241285637704
4.164054699893503,5.0855376523617934,4.624796176127648,2169,0.23802743383199834,0.09919080604281735,0.4702550826127201
5.0855376523617934,6.2109398356969105,5.648238744029352,3031,0.22434553004519867,0.09707380459875041,0.477280967653419
6.2109398356969105,7.585387481052594,6.898163658374752,4173,0.23456144061828244,0.09985996671539425,0.4870040758083099
7.585387481052594,9.263993012299606,8.4246902466761,6179,0.24194586967285017,0.1031918985230926,0.4807388683568622
9.263993012299606,11.31406493686817,10.28902897458389,8501,0.23743185588402557,0.10308990506881738,0.4856670131533876
11.31406493686817,13.8178067735712,12.565935855219685,11666,0.24069673059985386,0.10347058345237058,0.4858415752268123
13.8178067735712,16.875613238666958,15.346710006119078,18016,0.24059124016003916,0.10549940824700146,0.47751008665524186
16.875613238666958,20.610095860203486,18.742854549435222,27794,0.2424859322070025,0.10510854833667967,0.48060147454812574
20.610095860203486,25.170999439207975,22.89054764970573,46157,0.24485956351737218,0.10847122789973163,0.4863011834265288
25.170999439207975,30.741206497345864,27.95610296827692,78960,0.2447608861849116,0.10879218861154832,0.47930103706008037
30.741206497345864,37.54407047661495,34.1426384869804,70469,0.25186608845194036,0.11065254314126897,0.4908923402773274
37.54407047661495,45.85237173676735,41.69822110669115,16889,0.2622978557418694,0.11514948851611506,0.5084721240454905
45.85237173676735,55.99925546688516,50.925813601826256,4102,0.30610377846283576,0.13249222602048186,0.5612109552300567
55.99925546688516,68.39159009807314,62.19542278247915,2768,0.31518074912347593,0.1361697108370601,0.5991782455791433
