bin_lo,bin_hi,bin_center,n,median,p16,p84
12.865782346725464,13.260482059366563,13.063132203046013,1175,0.2121001375837632,0.09038985981110209,0.408992757200652
13.260482059366563,13.655181772007662,13.457831915687112,1523,0.18244767243057194,0.07618918074107252,0.38498551014612864
13.655181772007662,14.049881484648761,13.852531628328212,1776,0.16969462754599496,0.07270032175034757,0.3656718317032658
14.049881484648761,14.44458119728986,14.24723134096931,2131,0.15795575321605695,0.06292547926807666,0.3862364958600519
14.44458119728986,14.839280909930958,14.64193105361041,3175,0.15169226034065614,0.06467273463602373,0.36114693368007894
14.839280909930958,15.233980622572057,15.036630766251507,4191,0.15409370298007963,0.06579473054506656,0.38221166504230036
15.233980622572057,15.628680335213156,15.431330478892606,5899,0.16006116407042326,0.06898940734362088,0.4021364778160011
15.628680335213156,16.023380047854253,15.826030191533704,8209,0.16447911736188103,0.07039952980047841,0.4130058227728679
16.023380047854253,16.418079760495353,16.220729904174803,12472,0.16846502955691106,0.07269226026220282,0.3912482841646072
16.418079760495353,16.81277947313645,16.615429616815902,19766,0.17371506760504993,0.07762133906982514,0.3782088764995057
16.81277947313645,17.20747918577755,17.010129329457,30883,0.18492969779804863,0.0827455964233003,0.4047008180919946
17.20747918577755,17.60217889841865,17.4048290420981,47450,0.20286151533273095,0.0908417113080768,0.4252885416795421
17.60217889841865,17.99687861105975,17.7995287547392,71213,0.23130873963361265,0.10491709255579322,0.46854755993880626
17.99687861105975,18.39157832370085,18.1942284673803,95974,0.2692575502052216,0.12405439157374164,0.5201458643031893
18.39157832370085,18.786278036341947,18.588928180021398,110360,0.3123314251616208,0.14741819579337248,0.5701004685129518
18.786278036341947,19.180977748983047,18.983627892662497,85989,0.34255654706465044,0.1644734156554344,0.6024888274289257
19.180977748983047,19.575677461624146,19.378327605303596,27246,0.34964158684601326,0.17063282264624963,0.6044937371215066
