case,night,trk_sub,linkage_id,mjd,observed_x_arcsec,observed_y_arcsec,model_x_arcsec,model_y_arcsec,residual_dx_arcsec,residual_dy_arcsec,best_distance_au,rms_arcsec
Ordinary retained linkage,20251121,000004r,598,61000.51447277778,-2.104761716041329,-5.097095961112075,-2.1047618433201096,-5.097096081924235,1.2727878084817235e-07,1.2081216027581831e-07,4.1,0.16724935424081988
Ordinary retained linkage,20251121,000004r,598,61000.54039288194,0.05704864645060856,-0.17374802586118676,-0.0319509549055571,0.10190358115096387,0.08899960135616566,-0.27565160701215063,4.1,0.16724935424081988
Ordinary retained linkage,20251121,000004r,598,61000.5662521875,2.0477130696027297,5.270843987011631,2.0477131703893656,5.2708440826918945,-1.0078663592594239e-07,-9.568026371198357e-08,4.1,0.16724935424081988
C/2025 Y1 (ATLAS),20260310,000012H,1026,61109.762196145835,7.061436930926596,-5.503797601367033,7.061436842836349,-5.503797568640012,8.80902470967726e-08,-3.272702109313741e-08,3.7,0.03964011368722687
C/2025 Y1 (ATLAS),20260310,000012H,1026,61109.78664079861,0.014214726264125267,-0.0509567575902814,0.0012014374095582247,0.016565775174415265,0.013013288854567043,-0.06752253276469666,3.7,0.03964011368722687
C/2025 Y1 (ATLAS),20260310,000012H,1026,61109.811160289355,-7.075651657190722,5.5547543589573145,-7.075651552832937,5.554754320153554,-1.0435778463602219e-07,3.8803760205041726e-08,3.7,0.03964011368722687
