healpix_nside,pixel,ecliptic_lon_deg,ecliptic_lat_deg,detection_count
64,12740,96.328125,28.630989836924343,1
64,13251,94.921875,27.27961273597809,1
64,13253,97.734375,27.27961273597809,3
64,13507,94.21875,26.61009781073391,3
64,13517,108.28125,26.61009781073391,1
64,13522,115.3125,26.61009781073391,1
64,13524,118.125,26.61009781073391,3
64,13530,126.5625,26.61009781073391,3
64,13534,132.1875,26.61009781073391,4
64,13776,113.203125,25.944479772370002,1
64,13777,114.609375,25.944479772370002,2
64,13778,116.015625,25.944479772370002,3
64,13785,125.859375,25.944479772370002,3
64,13793,137.109375,25.944479772370002,1
64,13795,139.921875,25.944479772370002,2
64,13796,141.328125,25.944479772370002,1
64,13797,142.734375,25.944479772370002,3
64,14022,98.4375,25.282603043311994,3
64,14030,109.6875,25.282603043311994,6
64,14034,115.3125,25.282603043311994,6
64,14040,123.75,25.282603043311994,3
64,14042,126.5625,25.282603043311994,1
64,14046,132.1875,25.282603043311994,5
64,14053,142.03125,25.282603043311994,2
64,14055,144.84375,25.282603043311994,3
64,14058,149.0625,25.282603043311994,2
64,14244,51.328125,24.62431835216408,1
64,14275,94.921875,24.62431835216408,2
64,14283,106.171875,24.62431835216408,1
64,14296,124.453125,24.62431835216408,2
64,14297,125.859375,24.62431835216408,2
64,14298,127.265625,24.62431835216408,5
64,14306,138.515625,24.62431835216408,2
64,14309,142.734375,24.62431835216408,1
64,14313,148.359375,24.62431835216408,2
64,14496,45.0,23.96948231775967,1
64,14497,46.40625,23.96948231775967,2
64,14499,49.21875,23.96948231775967,1
64,14529,91.40625,23.96948231775967,2
64,14533,97.03125,23.96948231775967,1
64,14541,108.28125,23.96948231775967,3
64,14543,111.09375,23.96948231775967,3
64,14563,139.21875,23.96948231775967,3
64,14569,147.65625,23.96948231775967,1
64,14752,45.703125,23.31795706533424,1
64,14755,49.921875,23.31795706533424,1
64,14787,94.921875,23.31795706533424,1
64,14797,108.984375,23.31795706533424,4
64,14798,110.390625,23.31795706533424,3
64,14811,128.671875,23.31795706533424,6
64,14812,130.078125,23.31795706533424,3
64,14813,131.484375,23.31795706533424,4
64,14815,134.296875,23.31795706533424,4
64,14817,137.109375,23.31795706533424,1
64,14822,144.140625,23.31795706533424,6
64,14825,148.359375,23.31795706533424,3
64,15010,47.8125,22.669609871750396,4
64,15041,91.40625,22.669609871750396,2
64,15042,92.8125,22.669609871750396,1
64,15044,95.625,22.669609871750396,4
64,15045,97.03125,22.669609871750396,5
64,15046,98.4375,22.669609871750396,2
64,15048,101.25,22.669609871750396,3
64,15049,102.65625,22.669609871750396,1
64,15053,108.28125,22.669609871750396,1
64,15054,109.6875,22.669609871750396,10
64,15055,111.09375,22.669609871750396,3
64,15066,126.5625,22.669609871750396,3
64,15068,129.375,22.669609871750396,3
64,15069,130.78125,22.669609871750396,5
64,15071,133.59375,22.669609871750396,4
64,15073,136.40625,22.669609871750396,2
64,15075,139.21875,22.669609871750396,2
64,15077,142.03125,22.669609871750396,3
64,15078,143.4375,22.669609871750396,5
64,15079,144.84375,22.669609871750396,2
64,15081,147.65625,22.669609871750396,1
64,15082,149.0625,22.669609871750396,1
64,15083,150.46875,22.669609871750396,1
64,15263,44.296875,22.02431283704216,1
64,15264,45.703125,22.02431283704216,2
64,15299,94.921875,22.02431283704216,1
64,15300,96.328125,22.02431283704216,3
64,15301,97.734375,22.02431283704216,5
64,15303,100.546875,22.02431283704216,2
64,15321,125.859375,22.02431283704216,7
64,15322,127.265625,22.02431283704216,1
