object_key,detection_count,night_count,time_baseline_days
N:59028,12,5,59.939912407404336
N:62192,6,4,19.991124629632395
N:75393,4,2,2.031772557871591
N:92096,14,6,59.962425636571425
N:93328,5,3,11.051550196760218
N:130540,3,2,2.025956979166949
N:153870,3,3,19.991124629632395
N:229847,6,3,31.061386388886604
N:323634,6,3,11.051550196760218
N:849935,4,2,2.031772557871591
N:16544,4,2,2.0110584722206113
N:47836,7,4,20.029525578698667
N:186575,4,3,11.019696134258993
S:2015rz321,1,1,0.0
N:1753,32,14,71.86538951388502
N:1949,52,18,77.80330917823449
N:5876,34,13,70.79840953703388
N:8611,44,16,76.84317013888358
N:11971,52,18,70.78747471064707
N:14479,43,13,67.92862431712274
N:14679,4,3,33.93386098379415
N:20227,37,13,67.92862431712274
N:24055,30,11,133.8147931712956
N:31549,32,10,67.93043119212962
N:31610,31,11,70.78931591434957
N:45082,18,9,67.93043119212962
N:67943,24,8,67.93232476851699
N:86446,40,10,42.86791652777174
N:130135,40,11,49.981042766201426
N:193925,14,4,33.99285371527367
N:29488,22,10,77.71899437499815
N:33092,12,6,42.7911079398109
N:36418,29,10,49.91830263888551
N:44860,13,7,49.910538680553145
N:46713,12,6,36.94664141203248
N:62744,14,6,36.99543032407382
N:70757,11,4,33.94530640046287
N:76111,15,8,52.89051841435139
N:76305,20,10,67.91458761574177
N:480335,2,2,1.887923506939842
N:48159,18,9,67.89181803240353
N:94064,15,7,42.831110243052535
N:692,39,15,98.81831428240548
N:3952,44,18,77.90422099536954
N:9324,34,14,67.92941900462756
N:9381,40,14,77.93111428240809
N:12674,30,12,67.92485546295939
N:13195,29,13,70.78554706018622
N:29655,33,13,67.92941900462756
N:32204,21,8,67.92759877314529
N:51570,23,10,64.90470597222156
N:51583,22,10,67.92855591435364
N:62269,37,14,67.93357618055597
N:63411,23,10,67.92759877314529
N:73894,25,9,67.92941900462756
N:98402,19,9,52.90363204861205
N:108660,24,10,77.75180612268741
N:125596,13,7,52.90448671296326
N:137581,16,6,41.95271531250182
N:200785,18,6,41.95865104166296
N:325112,1,1,0.0
N:216325,1,1,0.0
N:41855,17,7,41.898004085654975
N:55051,43,14,67.90078581019043
N:3397,32,12,71.00501789351983
N:6633,39,15,72.03441530092823
N:9954,44,14,70.97458398148592
N:14183,35,11,68.0721552199102
N:15346,12,6,68.03149409722391
N:27757,23,10,68.04746103009529
N:34023,11,5,31.052194166666595
N:39701,22,10,68.04828913194797
N:48391,10,4,34.04485135417053
N:59599,13,5,33.987559988425346
N:66700,31,7,34.06335341435624
N:98477,22,8,48.97224153935531
N:113715,15,6,34.04485135417053
N:123242,14,6,34.01733181712916
N:17025,13,8,49.968955416668905
N:26113,7,4,11.055879861109133
N:68945,10,7,48.94841773148073
N:122472,7,3,5.0523743171288515
N:171828,9,4,11.03772312500223
N:6842,25,10,68.05920908565167
N:32433,21,9,68.0482771412062
N:42560,25,10,59.978181712962396
N:56205,18,8,50.047425138887775
N:60902,17,7,68.0482771412062
N:71655,7,3,5.077426006944734
N:86466,14,6,34.04263222222653
N:116375,3,2,5.051588599540992
N:329509,4,2,5.051588599540992
N:15506,14,4,34.04426192129904
N:39201,10,4,11.055859641208372
N:49342,8,3,5.056763888889691
N:114086,15,5,34.02899085648096
N:196039,2,2,5.030926481485949
N:68320,10,5,34.00125311342708
N:74284,11,4,11.035983136571303
N:75635,7,3,5.036046898145287
N:1145,34,12,72.03731402778067
N:3319,43,12,72.0335479629648
N:7031,31,12,68.07539997684944
N:9761,30,10,68.09888098379452
N:17098,16,7,34.04489825231576
N:18775,14,6,18.130952199077
N:18851,10,3,5.086165231485211
N:20150,12,6,34.04489825231576
N:20281,25,8,68.07539997684944
N:36545,18,7,34.04296932870784
N:38110,13,6,31.049393368055462
N:41735,17,8,48.97517678240547
N:49412,17,6,18.182823020833894
N:62120,12,7,48.98272392361105
N:94362,10,4,30.994247951392026
N:96751,12,5,44.03651224537316
N:100038,5,2,2.033886967590661
N:12137,6,4,34.02423385416478
N:30696,12,4,34.015025648150186
N:44100,6,3,5.065500833334227
N:53589,10,5,34.02423385416478
N:171010,6,4,11.02814065972052
N:7115,17,8,68.07106071758608
N:14607,15,3,49.026023425925814
N:16437,23,7,62.010008009259764
N:18077,28,11,68.07106071758608
N:24325,19,7,68.09037616898422
N:29038,20,9,68.07106071758608
N:29988,8,4,34.0405589930524
N:30829,11,3,34.049199201392184
N:33412,16,6,34.046577326385886
N:52834,10,4,12.08153295138618
N:53684,16,8,68.07106071758608
N:76912,12,4,34.046577326385886
N:91326,7,4,48.99333684027806
N:94779,8,6,34.01814973379078
N:103387,8,3,20.08814378472016
N:275968,8,4,20.031678217586887
N:3634,26,10,59.94715258101496
N:4249,27,11,72.02542774305039
N:6637,19,8,76.02525406250061
N:9121,43,14,70.99325461804983
N:13364,26,11,62.00529041666596
N:26796,17,7,68.0628493287004
N:36324,13,8,59.93908395832841
N:61914,20,7,49.015054085648444
N:67016,20,8,37.058122916663706
N:73644,22,7,34.039869780091976
N:114476,10,5,11.057211006940634
N:78876,4,3,33.995896493055625
N:142640,6,4,4.101766851854336
N:169873,16,7,33.995896493055625
N:2095,30,14,76.81102541666769
N:2554,54,18,76.87457824074227
N:2982,45,15,70.79301616898738
N:4879,25,11,70.80095261574752
N:8704,39,14,67.93872931713122
N:9513,46,16,70.79301616898738
N:9537,37,12,70.80395099537418
N:12897,46,15,70.79485737268988
N:13865,30,8,49.97036421296798
N:14867,24,7,42.99572989583976
N:16580,46,15,67.93597265046992
N:28185,39,14,67.9322062962965
N:28985,32,10,42.883170914356015
N:31869,24,9,42.82042811343126
N:37725,15,6,67.93416577546304
N:58945,24,8,42.883170914356015
N:59184,17,6,36.95438912037207
N:74602,27,8,36.95438912037207
N:84692,16,7,49.941581250001036
N:92566,43,13,67.9322062962965
N:94662,27,9,42.981793182872934
N:114745,2,2,1.8878569560183678
N:123295,32,9,42.87715247685264
N:123397,1,1,0.0
N:162616,9,6,43.85648925926216
N:198448,15,5,33.99532152777829
