panel,bin_lo,bin_hi,count
0,1.5581484468845088,1.60315312349589,196
0,1.60315312349589,1.6494576896787332,248
0,1.6494576896787332,1.6970996907066682,378
0,1.6970996907066682,1.7461177562897288,922
0,1.7461177562897288,1.796551631896598,1787
0,1.796551631896598,1.8484422109815497,3351
0,1.8484422109815497,1.9018315681422138,5890
0,1.9018315681422138,1.9567629932350505,9063
0,1.9567629932350505,2.013281026476198,15300
0,2.013281026476198,2.0714314945561543,22179
0,2.0714314945561543,2.1312615477975703,23470
0,2.1312615477975703,2.1928196983862933,26681
0,2.1928196983862933,2.2561558597066504,29437
0,2.2561558597066504,2.321321386812873,30064
0,2.321321386812873,2.3883691180694693,30662
0,2.3883691180694693,2.4573534179943235,30593
0,2.4573534179943235,2.528330221339238,32050
0,2.528330221339238,2.6013570784436877,31695
0,2.6013570784436877,2.6764932018985297,30316
0,2.6764932018985297,2.753799514557539,29446
0,2.753799514557539,2.8333386989356666,30463
0,2.8333386989356666,2.9151752480340996,29589
0,2.9151752480340996,2.999375517633317,26028
0,2.999375517633317,3.086007780096552,22473
0,3.086007780096552,3.1751422797272832,18947
0,3.1751422797272832,3.266851289725637,15051
0,3.266851289725637,3.3612091707898877,10705
0,3.3612091707898877,3.458292431410574,7327
0,3.458292431410574,3.5581797899061134,5231
0,3.5581797899061134,3.6609522382502133,3342
0,3.6609522382502133,3.7666931077428454,2050
0,3.7666931077428454,3.8754881365780207,1163
0,3.8754881365780207,3.987425539363153,404
0,3.987425539363153,4.102596078646373,352
0,4.102596078646373,4.221093138509813,232
0,4.221093138509813,4.343012800288505,246
0,4.343012800288505,4.468453920476305,108
0,4.468453920476305,4.597518210882007,167
0,4.597518210882007,4.73031032110064,253
0,4.73031032110064,4.866937923366826,625
0,4.866937923366826,5.007511799858984,768
0,5.007511799858984,5.152145932525185,1372
0,5.152145932525185,5.300957595503485,1268
0,5.300957595503485,5.454067450211674,748
1,0.645777483006252,0.6757019037249459,100
1,0.6757019037249459,0.7070129800315379,144
1,0.7070129800315379,0.7397749675965897,134
1,0.7397749675965897,0.774055099608105,244
1,0.774055099608105,0.8099237247455027,430
1,0.8099237247455027,0.8474544515471081,799
1,0.8474544515471081,0.8867242994674328,1264
1,0.8867242994674328,0.9278138569342355,2310
1,0.9278138569342355,0.9708074467297243,3286
1,0.9708074467297243,1.0157932990352931,5362
1,1.0157932990352931,1.062863732494906,8591
1,1.062863732494906,1.1121153436687057,12508
1,1.1121153436687057,1.1636492052656342,15619
1,1.1636492052656342,1.2175710735618774,18127
1,1.2175710735618774,1.2739916054307854,20499
1,1.2739916054307854,1.333026585429656,23690
1,1.333026585429656,1.3947971634094007,25630
1,1.3947971634094007,1.459430103134708,26930
1,1.459430103134708,1.5270580424249152,27950
1,1.5270580424249152,1.5978197653494444,31508
1,1.5978197653494444,1.671860487036389,30932
1,1.671860487036389,1.7493321516787328,31277
1,1.7493321516787328,1.8303937443497573,31847
1,1.8303937443497573,1.9152116172675366,31770
1,1.9152116172675366,2.0039598311780686,31732
1,2.0039598311780686,2.096820512557625,29925
1,2.096820512557625,2.19398422736735,26925
1,2.19398422736735,2.2956503721271284,22970
1,2.2956503721271284,2.4020275831112614,18840
1,2.4020275831112614,2.513334164505696,14309
1,2.513334164505696,2.6297985364054632,10903
1,2.6297985364054632,2.751659703571678,7307
1,2.751659703571678,2.8791677459100913,5092
1,2.8791677459100913,3.0125843316777208,3356
1,3.0125843316777208,3.1521832544707538,2174
1,3.1521832544707538,3.298250995095726,1286
1,3.298250995095726,3.451087309477006,770
1,3.451087309477006,3.6110058438070967,512
1,3.6110058438070967,3.778334778202135,416
1,3.778334778202135,3.953417500183475,550
1,3.953417500183475,4.136613309367474,858
1,4.136613309367474,4.328298154809605,1451
1,4.328298154809605,4.528865406516049,1281
1,4.528865406516049,4.738726662706075,1032
