panel,bin_lo,bin_hi,count
0,12.079628189086915,12.25305572015589,290
0,12.25305572015589,12.426483251224866,327
0,12.426483251224866,12.59991078229384,345
0,12.59991078229384,12.773338313362816,390
0,12.773338313362816,12.946765844431791,490
0,12.946765844431791,13.120193375500767,528
0,13.120193375500767,13.29362090656974,524
0,13.29362090656974,13.467048437638717,605
0,13.467048437638717,13.640475968707692,738
0,13.640475968707692,13.813903499776668,812
0,13.813903499776668,13.987331030845642,759
0,13.987331030845642,14.160758561914617,781
0,14.160758561914617,14.334186092983593,926
0,14.334186092983593,14.507613624052569,1127
0,14.507613624052569,14.681041155121545,1295
0,14.681041155121545,14.854468686190518,1580
0,14.854468686190518,15.027896217259494,1724
0,15.027896217259494,15.20132374832847,1938
0,15.20132374832847,15.374751279397444,2294
0,15.374751279397444,15.54817881046642,2633
0,15.54817881046642,15.721606341535395,2970
0,15.721606341535395,15.89503387260437,3438
0,15.89503387260437,16.068461403673346,4387
0,16.068461403673346,16.24188893474232,5058
0,16.24188893474232,16.415316465811294,6088
0,16.415316465811294,16.58874399688027,7597
0,16.58874399688027,16.762171527949246,9250
0,16.762171527949246,16.935599059018223,11252
0,16.935599059018223,17.109026590087197,13592
0,17.109026590087197,17.28245412115617,16746
0,17.28245412115617,17.45588165222515,19834
0,17.45588165222515,17.629309183294122,24012
0,17.629309183294122,17.8027367143631,28866
0,17.8027367143631,17.976164245432074,33897
0,17.976164245432074,18.149591776501047,38780
0,18.149591776501047,18.323019307570025,43291
0,18.323019307570025,18.496446838639,47262
0,18.496446838639,18.669874369707976,48867
0,18.669874369707976,18.84330190077695,47997
0,18.84330190077695,19.016729431845924,41332
0,19.016729431845924,19.1901569629149,30458
0,19.1901569629149,19.363584493983875,17623
0,19.363584493983875,19.537012025052853,7541
0,19.537012025052853,19.710439556121827,2396
1,0.0023888188367709516,0.002669988806247066,495
1,0.002669988806247066,0.0029842531864496384,716
1,0.0029842531864496384,0.003335507272539003,935
1,0.003335507272539003,0.003728104845687272,1160
1,0.003728104845687272,0.004166912138032041,1210
1,0.004166912138032041,0.004657368149440517,1132
1,0.004657368149440517,0.005205552063708091,1138
1,0.005205552063708091,0.005818258599812597,1347
1,0.005818258599812597,0.006503082232200213,1478
1,0.006503082232200213,0.007268511324010288,1630
1,0.007268511324010288,0.008124033340016861,1696
1,0.008124033340016861,0.00908025244339732,1712
1,0.00908025244339732,0.010149020933935738,2023
1,0.010149020933935738,0.011343586156832447,2226
1,0.011343586156832447,0.012678754703049024,2391
1,0.012678754703049024,0.014171075936445777,2988
1,0.014171075936445777,0.01583904712252371,3183
1,0.01583904712252371,0.017703342701333953,3521
1,0.017703342701333953,0.019787070546383814,4303
1,0.019787070546383814,0.022116058385858846,4812
1,0.022116058385858846,0.024719173936341318,5558
1,0.024719173936341318,0.02762868271707028,6383
1,0.02762868271707028,0.030880647979837812,7225
1,0.030880647979837812,0.03451537771163712,8557
1,0.03451537771163712,0.03857792425064369,9620
1,0.03857792425064369,0.04311864270825076,11198
1,0.04311864270825076,0.04819381511877909,13097
1,0.04819381511877909,0.05386634805317334,14878
1,0.05386634805317334,0.06020655234358043,17040
1,0.06020655234358043,0.06729301458346676,19699
1,0.06729301458346676,0.0752135712054854,22403
1,0.0752135712054854,0.08406639721075168,25822
1,0.08406639721075168,0.0939612230442857,28976
1,0.0939612230442857,0.10502069469974688,33607
1,0.10502069469974688,0.11738189391190773,37194
1,0.11738189391190773,0.13119803727959506,41445
1,0.13119803727959506,0.1466403753796637,44080
1,0.1466403753796637,0.16390031541144906,44314
1,0.16390031541144906,0.1831917936817961,39799
1,0.1831917936817961,0.20475392733752795,29603
1,0.20475392733752795,0.22885397821347775,17829
1,0.22885397821347775,0.255790665532869,9065
1,0.255790665532869,0.28589786852083987,3647
1,0.28589786852083987,0.31954876482486877,1461
