object_key,asteroid_number,asteroid_name,detection_count,night_count,first_mjd,last_mjd,join_method,join_status,catalog_number,catalog_name,catalog_epoch,a_au,ecc,inc_deg,H_mag,mean_anomaly_epoch_deg,arg_peri_deg,node_deg,mean_motion_deg_day,time_baseline_days,orbit_class
N:682387,682387,2006 QM94,1,1,60994.04225135416,60994.04225135416,number,matched,682387,2006 QM94,2026-03-01,2.39985132,0.19876026,6.444363,18.4,124.597102,319.608513,324.031166,0.26511089099367435,0.0,Main belt
N:704821,704821,2008 TJ155,1,1,60994.009780671295,60994.009780671295,number,matched,704821,2008 TJ155,2026-03-01,3.15596708,0.04854969,10.012492,16.54,16.970789,140.939922,262.632037,0.17579453796705452,0.0,Main belt
S:2015au269,,2015 AU269,2,1,60994.07514756944,60994.07573924769,normalized_name,matched,880887,2015 AU269,2026-03-01,3.22578111,0.04371666,8.902702,17.07,81.500533,51.738274,303.867468,0.17011857345560333,0.0005916782465646975,Main belt
N:60087,60087,1999 TY152,3,3,60994.06217105324,61024.5069024537,number,matched,60087,1999 TY152,2026-03-01,2.97388867,0.09715282,10.015202,15.03,105.83302,316.418109,14.335716,0.19218390532610474,30.444731400457385,Main belt
S:2019ur96,,2019 UR96,1,1,60994.06217105324,60994.06217105324,normalized_name,matched,,2019 UR96,2026-03-01,3.20462245,0.09447931,12.49787,17.49,34.887009,13.764275,33.187449,0.17180617442382895,0.0,Main belt
N:298847,298847,2004 RD197,1,1,60994.18017716435,60994.18017716435,number,matched,298847,2004 RD197,2026-03-01,2.29058326,0.23066913,6.871527,17.34,61.083966,86.779819,291.943849,0.2843052962155115,0.0,Main belt
N:386733,386733,2010 AK44,1,1,60994.18017716435,60994.18017716435,number,matched,386733,2010 AK44,2026-03-01,2.55927302,0.12395389,7.242838,17.44,307.847503,203.262941,319.423507,0.24072940715266988,0.0,Main belt
N:21320,21320,1996 XF31,41,16,60994.19782165509,61093.60973733796,number,matched,21320,1996 XF31,2026-03-01,2.59282713,0.19992289,14.696826,13.94,50.605811,114.908425,275.888723,0.23607159286457646,99.4119156828674,Main belt
N:370286,370286,2002 QG104,1,1,60994.19782165509,60994.19782165509,number,matched,370286,2002 QG104,2026-03-01,3.08626912,0.04921727,9.8095,16.26,174.395713,335.028792,301.331241,0.1817830490544395,0.0,Main belt
N:36282,36282,2000 CT98,11,6,60994.183755405094,61047.51721375,number,matched,36282,2000 CT98,2026-03-01,2.23513582,0.25958287,6.901672,15.42,117.364785,358.40843,317.813011,0.29494986109326005,53.33345834490319,Mars-crosser
N:415485,415485,2014 OC231,1,1,60994.20138978009,60994.20138978009,number,matched,415485,2014 OC231,2026-03-01,2.30705777,0.07382286,6.723076,17.22,14.638243,91.938328,356.570098,0.2812654381196616,0.0,Main belt
S:2012qd63,,2012 QD63,1,1,60994.17249203704,60994.17249203704,normalized_name,matched,798460,2012 QD63,2026-03-01,3.21211695,0.0566215,8.439216,16.96,47.566317,68.617805,334.892993,0.1712052389448994,0.0,Main belt
N:542213,542213,2013 AZ81,1,1,60993.93698666667,60993.93698666667,number,matched,542213,2013 AZ81,2026-03-01,2.2571579,0.05549994,7.932132,18.23,320.627839,165.450498,301.68242,0.29064386612145754,0.0,Main belt
S:2015ab131,,2015 AB131,1,1,60994.005611030094,60994.005611030094,normalized_name,matched,864541,2015 AB131,2026-03-01,3.34868078,0.01249315,8.877928,16.84,108.149898,5.942001,300.327538,0.1608397722934128,0.0,Outer belt / Hilda
N:243629,243629,1999 RX201,1,1,60994.01836702546,60994.01836702546,number,matched,243629,1999 RX201,2026-03-01,2.62929349,0.17324792,11.355714,15.86,103.002178,32.317097,289.588848,0.23117745302168866,0.0,Main belt
S:2010cy120,,2010 CY120,1,1,60994.037140532404,60994.037140532404,normalized_name,matched,832380,2010 CY120,2026-03-01,3.18327748,0.02293654,10.896308,15.93,323.302763,128.780802,351.789214,0.173537097158801,0.0,Main belt
N:383257,383257,2006 CL38,1,1,60994.053723715275,60994.053723715275,number,matched,383257,2006 CL38,2026-03-01,2.57413173,0.15418547,8.306113,17.36,298.246331,204.317744,322.76538,0.23864806746956155,0.0,Main belt
S:2015oa137,,2015 OA137,1,1,60994.06298738426,60994.06298738426,normalized_name,matched,,2015 OA137,2026-03-01,2.81220902,0.13289031,8.946815,17.77,64.073155,48.260308,325.011061,0.20899345156643992,0.0,Main belt
N:304156,304156,2006 OU19,1,1,60994.11173130787,60994.11173130787,number,matched,304156,2006 OU19,2026-03-01,2.75854727,0.1877219,15.2459,15.78,64.848912,334.768092,35.926351,0.21512130721657882,0.0,Main belt
S:2007tj135,,2007 TJ135,2,1,60994.17525291667,60994.17585335648,normalized_name,matched,,2007 TJ135,2026-03-01,2.69175264,0.2710155,9.171492,18.44,48.560973,18.389469,5.277747,0.2231779850732615,0.0006004398092045449,Main belt
S:2015dz143,,2015 DZ143,1,1,60994.17525291667,60994.17525291667,normalized_name,matched,840813,2015 DZ143,2026-03-01,3.21448206,0.11067402,16.828242,16.66,314.582959,217.266418,289.143177,0.17101632294330152,0.0,Main belt
N:230989,230989,2005 CR10,1,1,60994.19429863426,60994.19429863426,number,matched,230989,2005 CR10,2026-03-01,3.09132456,0.095356,9.995904,15.63,10.524667,97.104006,346.246701,0.18133730931320224,0.0,Main belt
S:2020mv27,,2020 MV27,1,1,60994.18546180556,60994.18546180556,normalized_name,matched,,2020 MV27,2026-03-01,2.60182339,0.17416108,14.072124,18.24,84.020832,63.464064,291.856152,0.23484826355006652,0.0,Main belt
N:281895,281895,2011 AC49,1,1,60994.041366412035,60994.041366412035,number,matched,281895,2011 AC49,2026-03-01,3.08728035,0.05610286,10.532434,15.74,198.02343,261.040784,318.867864,0.18169374257839682,0.0,Main belt
S:2012ta408,,2012 TA408,1,1,60994.04313528935,60994.04313528935,normalized_name,matched,,2012 TA408,2026-03-01,2.64913103,0.28735094,12.999149,17.94,67.332108,339.667181,350.788767,0.22858562432525578,0.0,Main belt
S:2016cl427,,2016 CL427,1,1,60994.013390520835,60994.013390520835,normalized_name,matched,,2016 CL427,2026-03-01,3.1304666,0.09362645,14.8097,17.32,299.443801,224.21223,268.618033,0.17794691452457162,0.0,Main belt
S:2008qs49,,2008 QS49,1,1,60994.08442039352,60994.08442039352,normalized_name,matched,876465,2008 QS49,2026-03-01,3.09503795,0.24079531,14.767605,16.96,79.373507,40.511455,296.982777,0.18101105767543088,0.0,Main belt
N:231743,231743,1999 RL168,1,1,60994.115191770834,60994.115191770834,number,matched,231743,1999 RL168,2026-03-01,2.61294018,0.07908567,10.383621,15.93,88.843674,11.297968,347.052199,0.23335111103304618,0.0,Main belt
N:1447,1447,Utra,29,11,60995.49607587963,61067.51653035879,number,matched,1447,Utra,2026-03-01,2.53430504,0.04145016,4.784456,11.73,319.1061,67.718532,35.375834,0.24429565508344045,72.02045447916316,Main belt
N:1462,1462,Zamenhof,28,11,60995.49607587963,61066.49406321759,number,matched,1462,Zamenhof,2026-03-01,3.14624899,0.10816374,0.964054,11.38,195.494208,186.250166,24.73359,0.17660965416375057,70.99798733796342,Main belt
N:4629,4629,Walford,26,10,60995.49607587963,61063.551894351855,number,matched,4629,Walford,2026-03-01,2.66012884,0.20498482,11.895921,13.69,73.336039,291.480497,32.046564,0.22716952311355368,68.05581847222493,Main belt
N:6237,6237,Chikushi,22,9,60995.49607587963,61063.505905405094,number,matched,6237,Chikushi,2026-03-01,3.92530673,0.07138164,5.363219,11.65,166.277965,206.080509,25.467096,0.12673415556617848,68.00982952546474,Outer belt / Hilda
N:7309,7309,Shinkawakami,23,9,60995.49607587963,61063.54242748843,number,matched,7309,Shinkawakami,2026-03-01,2.18573591,0.12498153,4.893434,13.75,143.711524,228.679875,40.740807,0.30500540996878744,68.04635160879843,Main belt
N:7708,7708,Fennimore,10,5,60995.49607587963,61029.52888586806,number,matched,7708,Fennimore,2026-03-01,2.39402017,0.15630511,2.614376,14.18,189.670622,199.709774,25.38583,0.2660800822853336,34.0328099884282,Main belt
N:8095,8095,1992 WS2,18,8,60995.49607587963,61063.54327679398,number,matched,8095,1992 WS2,2026-03-01,3.14955751,0.16214398,1.10851,12.86,89.967746,277.529155,23.239443,0.17633144218049376,68.04720091434865,Main belt
N:10536,10536,1991 RZ8,22,7,60995.49607587963,61015.583755949076,number,matched,10536,1991 RZ8,2026-03-01,2.8565938,0.02737893,1.3778,13.22,140.340805,280.286319,349.48799,0.2041415180248018,20.087680069445923,Main belt
N:10596,10596,Stevensimpson,10,5,60995.49607587963,61015.55573637731,number,matched,10596,Stevensimpson,2026-03-01,2.8472915,0.01951749,1.54971,13.94,127.145912,75.579396,207.627471,0.20514275156336867,20.05966049768176,Main belt
N:11006,11006,Gilson,31,10,60995.49607587963,61063.57504078704,number,matched,11006,Gilson,2026-03-01,2.17603423,0.14614589,1.558714,14.08,74.763727,102.042063,238.618955,0.30704744629474817,68.07896490740677,Main belt
N:16552,16552,Sawamura,22,8,60995.49607587963,61063.56899868056,number,matched,16552,Sawamura,2026-03-01,2.42151944,0.13254975,2.495589,14.53,26.519341,180.44845,216.201572,0.26156048496691675,68.07292280092952,Main belt
N:17163,17163,Vasifedoseev,16,7,60995.49607587963,61029.47159450231,number,matched,17163,Vasifedoseev,2026-03-01,2.90422471,0.07611597,1.319609,14.14,59.420028,4.1671,342.889122,0.19914011312385585,33.97551862268301,Main belt
N:17366,17366,1979 OV4,13,6,60995.49607587963,61044.439391238426,number,matched,17366,1979 OV4,2026-03-01,2.92078408,0.04786992,0.830486,13.64,293.945567,166.735983,316.572157,0.19744898003179112,48.9433153587961,Main belt
N:19200,19200,1992 GU2,10,5,60995.49607587963,61029.52888586806,number,matched,19200,1992 GU2,2026-03-01,2.97388963,0.0546547,10.551286,13.64,288.914379,97.57536,30.177664,0.19218381226790968,34.0328099884282,Main belt
N:22114,22114,2000 RB50,27,9,60995.49607587963,61063.57290414352,number,matched,22114,2000 RB50,2026-03-01,2.34466049,0.07685677,8.461779,13.85,319.012126,73.471911,39.109513,0.27452640698734637,68.07682826388918,Main belt
N:25287,25287,1998 WR9,8,3,60995.49607587963,60998.58631150463,number,matched,25287,1998 WR9,2026-03-01,2.74359938,0.10507576,1.367533,14.51,77.43588,109.415329,217.141737,0.21688176042335103,3.090235625000787,Main belt
N:29329,29329,Knobelsdorff,14,7,60995.49607587963,61063.57290414352,number,matched,29329,Knobelsdorff,2026-03-01,2.28059476,0.11564141,4.403949,15.34,341.114338,68.200191,27.241316,0.2861751312081661,68.07682826388918,Main belt
N:31822,31822,1999 SY4,16,7,60995.49607587963,61063.505905405094,number,matched,31822,1999 SY4,2026-03-01,3.41128296,0.04398613,6.38334,12.39,57.267427,317.78078,26.55083,0.15643266948582393,68.00982952546474,Outer belt / Hilda
N:36333,36333,2000 NV4,12,5,60995.49607587963,61029.53287137731,number,matched,36333,2000 NV4,2026-03-01,2.31969434,0.24869874,1.734997,15.38,78.27284,310.883077,9.648165,0.2789702743766468,34.03679549768276,Main belt
N:38581,38581,1999 XQ17,14,4,60995.487563194445,61029.52888586806,number,matched,38581,1999 XQ17,2026-03-01,2.97954127,0.10299808,12.049878,14.31,354.074632,36.619212,26.522967,0.19163726580262574,34.04132267361274,Main belt
N:47241,47241,1999 VS50,16,5,60995.49607587963,61029.53287137731,number,matched,47241,1999 VS50,2026-03-01,2.4107001,0.12964604,2.778857,15.37,331.436916,86.310897,17.01043,0.26332330356182165,34.03679549768276,Main belt
N:52167,52167,1220 T-2,10,3,60995.49607587963,60998.58631150463,number,matched,52167,1220 T-2,2026-03-01,3.19480484,0.17569533,0.324752,14.3,1.272127,167.643228,247.658107,0.1725987210401187,3.090235625000787,Main belt
N:53275,53275,1999 FN31,12,6,60995.49607587963,61044.46762577546,number,matched,53275,1999 FN31,2026-03-01,2.86055508,0.05811197,6.578419,13.99,93.214219,273.05221,40.197929,0.20371762388480463,48.97154989583214,Main belt
N:54884,54884,2001 OW58,10,5,60995.49607587963,61015.5275169213,number,matched,54884,2001 OW58,2026-03-01,2.82850787,0.07759581,2.736138,14.45,20.988746,353.207342,40.10084,0.20718961653963552,20.031441041668586,Main belt
N:68001,68001,2000 XS33,7,4,60995.49607587963,61029.50444434028,number,matched,68001,2000 XS33,2026-03-01,2.36688614,0.14144837,7.146744,14.96,76.10967,301.266794,31.467025,0.2706686918726769,34.00836846065067,Main belt
N:70288,70288,1999 RS118,5,2,60995.49607587963,60998.58631150463,number,matched,70288,1999 RS118,2026-03-01,2.37641253,0.13501025,5.761714,15.48,104.195053,92.665727,209.344656,0.26904276857240417,3.090235625000787,Main belt
N:130858,130858,2000 UJ79,8,4,60995.49607587963,61006.544507465274,number,matched,130858,2000 UJ79,2026-03-01,2.35045701,0.21985073,5.099155,15.69,76.550449,284.213671,40.767992,0.27351150883335845,11.048431585644721,Main belt
S:2007tf491,,2007 TF491,1,1,60995.49607587963,60995.49607587963,normalized_name,matched,,2007 TF491,2026-03-01,2.72679423,0.35341653,15.406908,19.02,58.690103,108.859238,216.041925,0.21888979992558932,0.0,Main belt
N:5400,5400,Anniewalker,21,8,60995.51679297454,61063.56704400463,number,matched,5400,Anniewalker,2026-03-01,3.08597255,0.15207271,0.552176,13.55,3.365528,28.033676,26.156805,0.18180925442076418,68.05025103009393,Main belt
N:44991,44991,1999 VJ174,9,5,60995.51679297454,61029.47159450231,number,matched,44991,1999 VJ174,2026-03-01,2.41441121,0.08633966,6.92877,14.62,147.984917,236.857224,27.408965,0.2627164188701383,33.954801527776,Main belt
N:1073,1073,Gellivara,35,12,60995.496879108796,61067.514782592596,number,matched,1073,Gellivara,2026-03-01,3.18379913,0.18651956,1.597852,11.76,64.505665,289.874739,39.525579,0.17349444909203093,72.01790348380018,Main belt
N:3828,3828,Hoshino,31,13,60995.496879108796,61067.514782592596,number,matched,3828,Hoshino,2026-03-01,3.16713022,0.03910429,6.188019,11.76,281.490046,271.355002,221.967123,0.17486592657879863,72.01790348380018,Main belt
N:7323,7323,Robersomma,30,12,60995.496879108796,61071.52591456019,number,matched,7323,Robersomma,2026-03-01,3.18480353,0.26364369,2.572642,13.05,15.192748,357.402907,42.967148,0.1734123824512168,76.0290354513927,Main belt
N:7773,7773,Kyokuchiken,23,10,60995.496879108796,61063.54327679398,number,matched,7773,Kyokuchiken,2026-03-01,2.72197845,0.14235777,5.697875,13.3,118.719521,245.768764,35.91513,0.21947095325630242,68.04639768518246,Main belt
N:8927,8927,Ryojiro,16,6,60995.496879108796,61044.47344929398,number,matched,8927,Ryojiro,2026-03-01,2.40585891,0.17272384,3.484937,14.37,122.01708,243.48602,37.857209,0.2641185118096638,48.976570185186574,Main belt
N:9596,9596,1991 RC22,23,10,60995.496879108796,61063.54521217592,number,matched,9596,1991 RC22,2026-03-01,2.25109445,0.18709762,3.948414,14.52,110.45352,251.503167,43.248486,0.2918189550217868,68.0483330671268,Main belt
N:9929,9929,McConnell,25,10,60995.496879108796,61067.52036456019,number,matched,9929,McConnell,2026-03-01,2.27644998,0.13730415,6.009646,14.56,334.883152,62.562699,43.611151,0.2869570544074178,72.02348545139102,Main belt
N:10876,10876,1996 UB,28,10,60995.496879108796,61063.56704400463,number,matched,10876,1996 UB,2026-03-01,2.86733383,0.01222929,1.012701,13.28,77.640625,89.574688,246.793919,0.20299562860137235,68.07016489583475,Main belt
N:18779,18779,Hattyhong,21,8,60995.496879108796,61063.551894351855,number,matched,18779,Hattyhong,2026-03-01,2.32177954,0.06222536,7.311885,14.44,289.104088,105.292039,37.431234,0.2785945421993866,68.05501524305873,Main belt
N:23867,23867,Cathsoto,7,4,60995.496879108796,61015.56912165509,number,matched,23867,Cathsoto,2026-03-01,3.06605681,0.15824206,5.702184,14.31,55.074504,309.076297,36.111487,0.1835835558762336,20.072242546295456,Main belt
N:34198,34198,Oliverleitner,11,4,60995.496879108796,61015.583755949076,number,matched,34198,Oliverleitner,2026-03-01,2.55753623,0.10001325,3.341783,14.74,4.197744,208.151084,212.500487,0.2409746631504677,20.08687684027973,Main belt
N:46307,46307,2001 OX104,12,6,60995.496879108796,61044.493912962964,number,matched,46307,2001 OX104,2026-03-01,2.84468195,0.05898411,1.543963,14.12,64.529821,148.114173,196.955843,0.20542509579116014,48.99703385416797,Main belt
N:47375,47375,1999 XT94,22,9,60995.496879108796,61063.54521217592,number,matched,47375,1999 XT94,2026-03-01,2.43014779,0.16739001,1.611421,15.1,352.007018,27.463955,57.730432,0.2601686986420742,68.0483330671268,Main belt
N:87236,87236,2000 OO44,6,3,60995.496879108796,61008.435779548614,number,matched,87236,2000 OO44,2026-03-01,2.57943458,0.27113415,4.181094,15.69,51.507822,125.026393,226.743712,0.23791252007050798,12.938900439818099,Main belt
N:156164,156164,2001 TC116,25,11,60995.496879108796,61063.535661979164,number,matched,156164,2001 TC116,2026-03-01,2.53182257,0.19077403,13.43914,15.07,358.713125,41.713979,34.117663,0.24465504357882925,68.03878287036787,Main belt
N:2060,2060,Chiron,17,10,60995.517588194445,61063.505905405094,number,matched,2060,Chiron,2026-03-01,13.68848366,0.37936111,6.928159,5.54,214.786011,339.266681,209.297255,0.01946126475786626,67.98831721064926,Distant / Centaur-TNO
