night,trk_sub,linkage_id,detection_index,source_tracklet_ids,link_tracklet_ids,image_name,catalog_name,catalog_path,source_objID,review_mjd,review_RA_Win,review_DEC_Win,review_RA_PSF,review_DEC_PSF,groups,exp_pairs,n_obs,n_tracklets,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,objID,FILTER,MJD,DATEOBS,A,AErr,B,BErr,PA,PAErr,AB,E,Radius_Kron,X_Win,XErr_Win,Y_Win,YErr_Win,RA_Win,RAErr_Win,DEC_Win,DECErr_Win,Flag,Flag_ISO,Flag_ISO_Num,FWHM,Flux_Kron,FluxErr_Kron,Mag_Kron,MagErr_Kron,Class_ANN,Flux_Aper1,FluxErr_Aper1,Mag_Aper1,MagErr_Aper1,Flux_Aper2,FluxErr_Aper2,Mag_Aper2,MagErr_Aper2,Flux_Aper3,FluxErr_Aper3,Mag_Aper3,MagErr_Aper3,Flux_Aper4,FluxErr_Aper4,Mag_Aper4,MagErr_Aper4,Flux_Aper5,FluxErr_Aper5,Mag_Aper5,MagErr_Aper5,Flux_Aper6,FluxErr_Aper6,Mag_Aper6,MagErr_Aper6,Flux_Aper7,FluxErr_Aper7,Mag_Aper7,MagErr_Aper7,Flux_Aper8,FluxErr_Aper8,Mag_Aper8,MagErr_Aper8,Flux_Aper9,FluxErr_Aper9,Mag_Aper9,MagErr_Aper9,Flux_Aper10,FluxErr_Aper10,Mag_Aper10,MagErr_Aper10,Flux_Aper11,FluxErr_Aper11,Mag_Aper11,MagErr_Aper11,Flux_Aper12,FluxErr_Aper12,Mag_Aper12,MagErr_Aper12,Flux_Aper13,FluxErr_Aper13,Mag_Aper13,MagErr_Aper13,Flux_Aper14,FluxErr_Aper14,Mag_Aper14,MagErr_Aper14,Flux_Aper15,FluxErr_Aper15,Mag_Aper15,MagErr_Aper15,Flux_Aper16,FluxErr_Aper16,Mag_Aper16,MagErr_Aper16,Flux_Aper17,FluxErr_Aper17,Mag_Aper17,MagErr_Aper17,Flux_Aper18,FluxErr_Aper18,Mag_Aper18,MagErr_Aper18,Flux_Aper19,FluxErr_Aper19,Mag_Aper19,MagErr_Aper19,Flux_Aper20,FluxErr_Aper20,Mag_Aper20,MagErr_Aper20,Type,R20,R50,R90,X_PSF,Y_PSF,RA_PSF,DEC_PSF,Chi2_PSF,Flux_PSF,FluxErr_PSF,Mag_PSF,MagErr_PSF,detection_key,link_member_row_id,final_paper_status
20251121,000004r,598,0,20251121004300010009,20251121004300010009;20251121004301020035,OBJ_MP_1602_0203.fits.gz,OBJ_MP_1602_0203_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0203_cat.fits.gz,4748,61000.51447277778,8.998601639285953,20.120306607589796,8.998767378541713,20.120067638309457,42,0->1,3,2,0.1672305251550027,0.0,0.2896517661448899,-2.3534336924446655,2.7421353305958993,43.95820500167488,355.59958768044703,31.47990197867132,0.0059458662426887,28.455153392902016,0.1316941620779268,215.69215493449843,68.17264328163373,4748,w,61000.51447277778,2025-11-21T12:20:50.448,1.103436,0.1218728,0.8411635,0.0865176,75.05,75.39,1.314,0.239,3.37,8300.54162419745,0.052210611518,2429.9680842448333,0.034286621138,8.998601639285953,2.3800228159842615e-05,20.120306607589796,3.371918490557846e-05,0,32,3,5.725594,59.0869,5.888102,18.071272014324848,0.1081953084031576,0.998,77.78255,4.277148,17.772794723510742,0.0597030371427536,33.65677,2.791192,18.68231964111328,0.0900412574410438,28.57045,2.986903,18.86020851135254,0.1135085150599479,27.65688,3.530951,18.895492553710938,0.1386158466339111,24.69902,4.181227,19.018301010131836,0.1838012188673019,21.66556,4.865205,19.16057586669922,0.2438123226165771,17.66276,5.574554,19.382354736328125,0.3426699340343475,16.13972,6.290436,19.480260848999023,0.4231644570827484,14.01505,7.011545,19.633514404296875,0.5431797504425049,13.17014,7.736046,19.701025009155273,0.6377536654472351,14.87082,8.469778,19.569164276123047,0.6183885931968689,22.51596,9.200753,19.1187744140625,0.4436670541763305,21.9826,9.939098,19.14480209350586,0.4908991754055023,21.81322,10.67224,19.153200149536133,0.5312024354934692,20.75075,11.41066,19.207416534423828,0.5970367193222046,19.71316,12.14758,19.263111114501953,0.6690486669540405,16.17625,12.88946,19.477806091308594,0.8651294112205505,17.61101,13.63118,19.38554000854492,0.840375542640686,18.04415,14.37436,19.35915756225586,0.864920973777771,15.36404,15.12537,19.533737182617188,1.0688700675964355,1,0.458,0.795,2.972,8299.7897,2430.4453,8.9987674,20.1200676,1.966e-09,108.0914,6.044405,17.4155216217041,0.0607137009501457,/processed1/20251121/L2/OBJ_MP_1602_0203_cat.fits.gz::4748,0,retained_after_posthoc_audit
20251121,000004r,598,1,20251121004300010009;20251121004301020035,20251121004300010009;20251121004301020035,OBJ_MP_1602_0229.fits.gz,OBJ_MP_1602_0229_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0229_cat.fits.gz,4778,61000.54039288194,8.99924117706019,20.121674204238477,8.999483779299245,20.12139373548456,42,0->1;1->2,3,2,0.1672305251550027,0.0,0.2896517661448899,-2.3534336924446655,2.7421353305958993,43.95820500167488,355.59958768044703,31.47990197867132,0.0059458662426887,28.455153392902016,0.1316941620779268,215.69215493449843,68.17264328163373,4778,w,61000.54039288194,2025-11-21T12:58:09.945,1.087293,0.1288387,0.7660621,0.07931587,-62.42,-62.98,1.419,0.295,3.2,8300.522738294247,0.051602054765,2430.0008474698234,0.03196388401,8.99924117706019,2.2206674033853343e-05,20.121674204238477,3.330957389025002e-05,0,32,3,5.419749,60.21587,6.207648,18.050722676504655,0.1119284496442996,0.997,83.32267,4.328204,17.69809341430664,0.0563986711204052,33.68098,2.815625,18.681537628173828,0.0907641574740409,25.93635,2.991846,18.965227127075195,0.1252433657646179,20.34642,3.500931,19.22878074645996,0.1868185400962829,19.79686,4.131224,19.25851058959961,0.2265722900629043,23.97318,4.801647,19.05068588256836,0.2174647748470306,23.88436,5.49291,19.054716110229492,0.2496969103813171,24.12431,6.188357,19.04386329650879,0.2785125970840454,25.58879,6.894686,18.979875564575195,0.2925426065921783,26.28671,7.603285,18.950658798217773,0.3140431642532348,27.65119,8.319233,18.895715713500977,0.3266583383083343,27.90385,9.030071,18.885839462280273,0.3513592481613159,22.72651,9.74665,19.10866928100586,0.4656364023685455,19.91575,10.46657,19.25200843811035,0.570600152015686,23.66179,11.18794,19.06488037109375,0.5133653879165649,23.35554,11.91245,19.079025268554688,0.553777813911438,27.91079,12.63772,18.885570526123047,0.4916102588176727,25.83107,13.36078,18.96964454650879,0.5615825653076172,30.15258,14.09533,18.80168914794922,0.5075456500053406,36.28745,14.829,18.600608825683594,0.4436902105808258,1,0.435,0.754,2.703,8299.6385,2430.7019,8.9994838,20.1213937,1.628e-09,138.6549,8.615536,17.145160675048828,0.0674638897180557,/processed1/20251121/L2/OBJ_MP_1602_0229_cat.fits.gz::4778,1,retained_after_posthoc_audit
20251121,000004r,598,2,20251121004301020035,20251121004300010009;20251121004301020035,OBJ_MP_1602_0255.fits.gz,OBJ_MP_1602_0255_cat.fits.gz,/processed1/20251121/L2/OBJ_MP_1602_0255_cat.fits.gz,4874,61000.5662521875,8.99983008398585,20.12318659090872,9.000116371694444,20.122940511580556,42,1->2,3,2,0.1672305251550027,0.0,0.2896517661448899,-2.3534336924446655,2.7421353305958993,43.95820500167488,355.59958768044703,31.47990197867132,0.0059458662426887,28.455153392902016,0.1316941620779268,215.69215493449843,68.17264328163373,4874,w,61000.5662521875,2025-11-21T13:35:24.189,1.114166,0.102588,0.8771824,0.0752907,89.67,-89.52,1.271,0.213,3.46,8300.501340406536,0.044023920533,2429.9981040604334,0.026279348379,8.99983008398585,1.826729776688296e-05,20.12318659090872,2.841084786453507e-05,0,32,3,5.879049,59.72123,5.601905,18.05967820334984,0.1018430359625682,0.995,104.2662,4.453148,17.454641342163086,0.0463711470365524,41.22688,2.775905,18.46204948425293,0.0731052234768867,30.10935,2.896626,18.803245544433594,0.1044516563415527,26.82659,3.3925,18.928586959838867,0.1373026072978973,26.27595,3.99325,18.95110321044922,0.1650032252073288,27.57607,4.637208,18.898670196533203,0.1825780719518661,24.31379,5.293455,19.035369873046875,0.2363801151514053,19.41339,5.964313,19.279747009277344,0.3335672914981842,12.45855,6.642978,19.76133155822754,0.5789212584495544,10.44109,7.328939,19.953134536743164,0.7621132731437683,10.50687,8.01811,19.94631576538086,0.8285577893257141,12.46591,8.709293,19.76068878173828,0.758548378944397,8.760965,9.398114,20.14362144470215,1.164697289466858,3.994447,10.09474,20.99635887145996,2.7438642978668213,0.1520673,10.79033,24.54490852355957,77.04122924804688,9.451779,11.49001,20.061216354370117,1.3198696374893188,8.531051,12.19323,20.17249298095703,1.5518172979354858,5.403162,12.89713,20.668380737304688,2.5916082859039307,2.309829,13.59309,21.59105110168457,6.389438152313232,3.720221,14.29904,21.073577880859375,4.1731343269348145,1,0.413,0.743,1.12,8299.7229,2430.8283,9.0001164,20.1229405,1.113e-09,182.0331,9.963146,16.849624633789062,0.0594251900911331,/processed1/20251121/L2/OBJ_MP_1602_0255_cat.fits.gz::4874,2,retained_after_posthoc_audit
20251124,000006v,0,0,20251124000200010002,20251124000200010002;20251124000201020030,OBJ_MP_0517_0034.fits.gz,OBJ_MP_0517_0034_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0034_cat.fits.gz,403,61003.421151793984,347.99402079672535,-17.280960172544074,347.9939921191017,-17.28097684692179,1,0->1,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.890882434482,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,403,w,61003.421151793984,2025-11-24T10:06:27.515,1.907455,0.2171151,1.189385,0.1339811,35.33,35.25,1.609,0.379,11.34,882.2235461186392,0.34645610456,733.0744257029261,0.34589161037,347.99402079672535,0.0002320542720894,-17.280960172544074,0.0002224628939373,0,0,0,9.002414,144.6279,17.446,17.099369778322096,0.1309688742804111,0.632,84.61378,19.16438,17.681396484375,0.2459110766649246,90.53791,10.71751,17.60792350769043,0.1285250782966613,85.43548,8.734246,17.6709041595459,0.1109970659017562,89.92982,8.411588,17.6152400970459,0.1015543639659881,94.97115,8.787746,17.556020736694336,0.1004639193415641,98.49355,9.567647,17.516481399536133,0.1054682359099388,112.7569,10.55638,17.36964225769043,0.1016473472118377,116.1456,11.66989,17.337491989135742,0.1090908050537109,107.4575,12.84889,17.42190933227539,0.1298235207796096,100.1499,14.08677,17.49837303161621,0.1527161747217178,111.5199,18.95096,17.38161849975586,0.1845029443502426,125.0914,51.65007,17.25693130493164,0.4482989907264709,125.8462,52.78572,17.25040054321289,0.4554078578948974,126.4357,53.05289,17.24532699584961,0.45557901263237,123.1819,53.40621,17.273632049560547,0.470726877450943,115.5996,53.84737,17.342609405517578,0.5057461261749268,108.3828,54.30864,17.412599563598633,0.544042706489563,89.56296,54.79885,17.619678497314453,0.6643047332763672,78.86146,55.35666,17.757837295532227,0.7621305584907532,78.01926,55.95219,17.769495010375977,0.7786452174186707,1,2.185,4.311,7.499,882.1713,732.9888,347.9939921,-17.2809768,1.698e-11,88.7518,7.252296,17.62955665588379,0.0887202322483062,/processed1/20251124/L2/OBJ_MP_0517_0034_cat.fits.gz::403,3,retained_after_posthoc_audit
20251124,000006v,0,1,20251124000200010002;20251124000201020030,20251124000200010002;20251124000201020030,OBJ_MP_0517_0070.fits.gz,OBJ_MP_0517_0070_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0070_cat.fits.gz,496,61003.484596828705,347.9831381132704,-17.27888021957058,347.9831696755877,-17.27895949583629,1,0->1;1->2,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.890882434482,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,496,w,61003.484596828705,2025-11-24T11:37:49.166,2.157578,0.1543056,1.474762,0.1077763,39.48,37.66,1.467,0.318,12.03,882.6426503215763,0.23239544034,719.3405183779571,0.23235850344,347.9831381132704,0.0001558264470418,-17.27888021957058,0.0001492344732767,0,0,0,10.67557,158.6604,14.85944,16.99882873166414,0.1016852850824941,0.888,93.77042,13.79719,17.569835662841797,0.1597530096769333,97.92101,7.91506,17.522809982299805,0.0877612233161926,100.771,6.748419,17.491661071777344,0.0727094113826751,101.9971,6.774426,17.478530883789062,0.0721122473478317,106.6308,7.31839,17.4302921295166,0.0745172873139381,108.3351,8.137035,17.41307830810547,0.0815495178103447,122.7918,9.095545,17.277076721191406,0.0804236158728599,127.6445,10.12375,17.234994888305664,0.0861119627952575,131.6043,11.20374,17.201826095581055,0.0924309343099594,139.1897,12.30653,17.140981674194336,0.0959959030151367,136.7964,13.42445,17.159812927246094,0.1065481901168823,134.3394,14.55454,17.17949104309082,0.1176303178071975,135.7,15.68637,17.168550491333008,0.125506654381752,138.8211,16.82843,17.143861770629883,0.1316171586513519,133.4595,17.9816,17.186626434326172,0.1462861895561218,126.4782,19.13294,17.24496078491211,0.1642443388700485,130.2996,20.29084,17.212642669677734,0.1690757274627685,127.1483,21.45163,17.23922348022461,0.1831782758235931,119.6954,22.61478,17.304805755615234,0.2051346451044082,111.7058,23.78642,17.379810333251953,0.2311945408582687,1,2.095,4.021,8.06,882.3954,719.4346,347.9831697,-17.2789595,1.223e-11,109.4179,6.304456,17.402278900146484,0.0625581219792366,/processed1/20251124/L2/OBJ_MP_0517_0070_cat.fits.gz::496,4,retained_after_posthoc_audit
20251124,000006v,0,2,20251124000201020030,20251124000200010002;20251124000201020030,OBJ_MP_0517_0097.fits.gz,OBJ_MP_0517_0097_cat.fits.gz,/processed1/20251124/L2/OBJ_MP_0517_0097_cat.fits.gz,473,61003.51146223379,347.9777476121381,-17.278667902604752,347.9777828799143,-17.278668759275952,1,1->2,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.890882434482,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,473,w,61003.51146223379,2025-11-24T12:16:30.337,2.593714,0.149617,2.035519,0.1168774,-66.96,-65.43,1.272,0.214,11.37,881.0278717188154,0.18715181989,711.3594555181612,0.1867569506,347.9777476121381,0.0001252014853321,-17.278667902604752,0.0001201661282941,0,0,0,13.77165,197.3736,14.66085,16.761777383242567,0.0806481448732108,0.922,131.9637,15.80099,17.198863983154297,0.1300031989812851,131.7659,8.835953,17.20049285888672,0.0728072524070739,129.8522,7.278582,17.21637535095215,0.0608585514128208,136.469,7.095486,17.16241455078125,0.0564510896801948,147.3143,7.493056,17.079387664794922,0.0552253350615501,153.589,8.186355,17.034099578857422,0.0578701645135879,157.1522,9.049029,17.009199142456055,0.0625181198120117,158.4062,10.00862,17.000568389892578,0.0686003267765045,166.3194,11.02916,16.947643280029297,0.071998581290245,175.8735,12.08071,16.886999130249023,0.0745789408683776,177.0189,13.15823,16.87995147705078,0.080705314874649,178.1768,14.25141,16.87287139892578,0.086842231452465,183.0716,15.35186,16.843448638916016,0.0910467579960823,185.0052,16.46455,16.832040786743164,0.0966252014040947,198.6542,17.58294,16.754756927490234,0.0960988476872444,197.3321,18.7085,16.762004852294922,0.1029355525970459,206.3695,19.83765,16.71338653564453,0.1043683812022209,204.6338,20.96772,16.722557067871094,0.111249566078186,198.2798,22.10079,16.756803512573242,0.1210190132260322,206.4667,23.23231,16.712875366210938,0.122170589864254,1,2.044,4.01,7.475,881.0254,711.4647,347.9777829,-17.2786688,9.683e-12,148.5168,6.793462,17.070560455322266,0.0496637783944606,/processed1/20251124/L2/OBJ_MP_0517_0097_cat.fits.gz::473,5,retained_after_posthoc_audit
20251125,000006K,21,0,20251125000900010015,20251125000900010015;20251125000901020033,OBJ_MP_0782_0038.fits.gz,OBJ_MP_0782_0038_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0038_cat.fits.gz,5146,61004.41511863426,340.5290065728265,-13.26314936935188,340.5288134228042,-13.26320600459739,8,0->1,3,2,0.3115509763174687,0.0030735851265057,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,5146,w,61004.41511863426,2025-11-25T09:57:46.250,2.072299,0.1880606,1.700968,0.1526461,-30.11,-27.64,1.219,0.18,14.92,6465.872110988107,0.31701511569,4820.083987766712,0.3172386449,340.5290065728265,0.0002104188547491,-13.26314936935188,0.0002046472558401,0,0,0,11.24151,182.988,19.813,16.843943346765716,0.1175579170027547,0.54,78.49904,20.40984,17.76283836364746,0.2822926640510559,100.1958,11.54886,17.497875213623047,0.1251450479030609,101.4899,9.313849,17.48394203186035,0.099639281630516,96.91268,8.81679,17.534048080444336,0.0987766236066818,107.708,9.04076,17.41938018798828,0.0911341533064842,123.8615,9.623742,17.26766014099121,0.0843591317534446,131.3029,10.42746,17.204315185546875,0.0862240493297576,136.3992,11.38039,17.1629695892334,0.0905877649784088,146.1755,12.41208,17.087814331054688,0.0921922028064727,150.6909,13.50977,17.05478286743164,0.0973386242985725,155.6841,14.64798,17.019390106201172,0.1021546050906181,157.6003,15.81908,17.006107330322266,0.1089804545044899,153.6275,17.01646,17.03382682800293,0.1202608868479728,155.4416,18.23396,17.021081924438477,0.1273614913225174,165.6514,19.46173,16.95201301574707,0.1275588572025299,178.9475,20.69958,16.868186950683594,0.1255915313959121,180.8095,21.94571,16.85694694519043,0.1317809671163559,198.562,23.20013,16.755260467529297,0.1268582642078399,201.6652,24.44881,16.738422393798828,0.1316288411617279,211.6808,25.71604,16.685794830322266,0.1319006085395813,1,2.605,5.268,8.237,6465.6989,4819.4973,340.5288134,-13.263206,9.239e-12,106.5793,7.719397,17.430818557739258,0.078638419508934,/processed1/20251125/L2/OBJ_MP_0782_0038_cat.fits.gz::5146,6,retained_after_posthoc_audit
20251125,000006K,21,1,20251125000900010015;20251125000901020033,20251125000900010015;20251125000901020033,OBJ_MP_0782_0066.fits.gz,OBJ_MP_0782_0066_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0066_cat.fits.gz,5161,61004.44406861111,340.537327962366,-13.256097316853907,340.53723150383956,-13.256167523014676,8,0->1;1->2,3,2,0.3115509763174687,0.0030735851265057,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,5161,w,61004.44406861111,2025-11-25T10:39:27.528,2.435091,0.2012596,1.88597,0.1528494,77.58,76.58,1.292,0.226,14.95,6486.861876710867,0.3201555707,4848.416219708953,0.31979503511,340.537327962366,0.0002120800828038,-13.256097316853907,0.0002066548245025,0,0,0,12.83895,190.1772,18.62763,16.802103920349758,0.1063465975567309,0.731,76.82436,21.48575,17.786252975463867,0.3036518096923828,90.68857,11.95074,17.60611915588379,0.1430759578943252,95.62675,9.43088,17.548551559448242,0.1070772260427475,109.0154,8.711398,17.406280517578125,0.0867609679698944,116.3522,8.716913,17.33556365966797,0.0813415423035621,119.4913,9.119945,17.306659698486328,0.0828667432069778,129.3648,9.756719,17.220458984375,0.081886425614357,134.4116,10.5353,17.178909301757812,0.0851009413599968,137.9401,11.4085,17.150774002075195,0.0897971466183662,134.9421,12.34867,17.174631118774414,0.0993566513061523,137.191,13.34235,17.156686782836914,0.1055920645594596,143.5074,14.3636,17.10781478881836,0.108670949935913,149.2241,15.41425,17.06540298461914,0.1121521815657615,167.6777,16.49342,16.938812255859375,0.1067971661686897,183.9862,17.57892,16.838037490844727,0.1037364155054092,193.9408,18.68518,16.780826568603516,0.1046049892902374,200.6462,19.79692,16.74392318725586,0.1071250587701797,204.562,20.92784,16.722938537597656,0.1110769361257553,196.2156,22.04399,16.768165588378906,0.1219778284430503,201.5072,23.17953,16.739273071289062,0.1248930543661117,1,3.005,5.265,9.231,6486.6448,4848.1225,340.5372315,-13.2561675,1.154e-11,113.9594,7.790651,17.358123779296875,0.0742245987057685,/processed1/20251125/L2/OBJ_MP_0782_0066_cat.fits.gz::5161,7,retained_after_posthoc_audit
20251125,000006K,21,2,20251125000901020033,20251125000900010015;20251125000901020033,OBJ_MP_0782_0094.fits.gz,OBJ_MP_0782_0094_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0782_0094_cat.fits.gz,7243,61004.47301560185,340.5454513321106,-13.248803098968557,340.54526820006515,-13.248993669074547,8,1->2,3,2,0.3115509763174687,0.0030735851265057,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,7243,w,61004.47301560185,2025-11-25T11:21:08.548,2.352925,0.1783805,1.761003,0.1312011,28.76,29.49,1.335,0.251,13.97,6506.466844945431,0.27270219894,4881.11203697263,0.27306625327,340.5454513321106,0.0001810590808872,-13.248803098968557,0.0001760359217488,0,0,0,10.38284,162.2668,15.07558,16.974425957954665,0.100871561900635,0.047,57.42704,9.152794,18.102209091186523,0.1730459928512573,63.9661,5.716329,17.985126495361328,0.0970267802476883,70.88604,5.35579,17.873598098754883,0.0820327177643776,84.28991,5.831452,17.685562133789062,0.075114794075489,95.66862,6.611117,17.548076629638672,0.0750290900468826,105.2273,7.546403,17.444679260253906,0.0778638422489166,119.8371,8.549144,17.30352210998535,0.0774560943245887,126.5933,9.589054,17.243972778320312,0.0822411552071571,131.4582,10.6538,17.20302963256836,0.0879915803670883,135.4453,11.73163,17.170589447021484,0.0940413326025009,133.7874,12.81956,17.183961868286133,0.104035697877407,139.694,13.91284,17.137054443359375,0.1081340387463569,146.8861,15.01075,17.082548141479492,0.1109547764062881,152.8811,16.11537,17.03911590576172,0.114448644220829,156.2448,17.21736,17.015485763549805,0.1196424588561058,156.6667,18.32761,17.012557983398438,0.1270145624876022,167.9105,19.44637,16.937305450439453,0.1257433593273162,170.7952,20.56604,16.91880989074707,0.1307372748851776,169.3102,21.68543,16.928293228149414,0.1390622556209564,168.5173,22.80526,16.933387756347656,0.1469314843416214,0,2.426,4.816,8.772,6505.8762,4880.5535,340.5452682,-13.2489937,4.011e-11,72.90295,4.79604,17.843135833740234,0.0714269280433654,/processed1/20251125/L2/OBJ_MP_0782_0094_cat.fits.gz::7243,8,retained_after_posthoc_audit
20251125,000006S,132,0,20251125002300010038,20251125002300010038;20251125002301020089,OBJ_MP_0786_0052.fits.gz,OBJ_MP_0786_0052_cat.fits.gz,/processed1/20251125/L2/OBJ_MP_0786_0052_cat.fits.gz,5266,61004.431150833334,350.43123368827025,-8.856049521280324,350.4311830501952,-8.85602634043472,22,0->1,3,2,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,7.953498346687426,179.34485319802366,-179.99779721309636,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,5266,w,61004.431150833334,2025-11-25T10:20:51.432,1.589613,0.1995839,1.21486,0.1536407,-48.21,-46.95,1.308,0.236,10.77,7329.817083854778,0.26180983364,4259.20783450406,0.26164446291,350.43123368827025,0.0001708850500676,-8.856049521280324,0.000168909027753,0,0,0,5.598055,60.416,12.02843,18.047120042460808,0.2161629823076627,0.775,33.63288,10.6451,18.683090209960938,0.3436450362205505,47.68841,6.356821,18.30396842956543,0.1447276175022125,46.3632,5.589015,18.334566116333008,0.1308838725090026,44.78999,5.744191,18.372047424316406,0.1392426341772079,49.19186,6.275189,18.270267486572266,0.1385025680065155,51.59248,7.008217,18.218534469604492,0.1474841833114624,52.51164,7.845864,18.19936180114746,0.1622219085693359,49.6893,8.737248,18.259342193603516,0.1909132599830627,52.38635,9.669063,18.201953887939453,0.2003966867923736,55.93384,10.62503,18.130813598632812,0.2062432914972305,59.51912,11.59107,18.06335830688477,0.2114421129226684,66.08351,12.56747,17.94976806640625,0.2064804434776306,71.67431,13.54738,17.861591339111328,0.2052182704210281,79.32679,14.54223,17.751449584960938,0.1990376859903335,70.33244,15.53554,17.882110595703125,0.2398252189159393,62.92514,16.53208,18.002939224243164,0.2852513790130615,59.62176,17.53534,18.061487197875977,0.3193255066871643,50.32815,18.545,18.245471954345703,0.4000737965106964,43.29551,19.55147,18.40889358520508,0.490298867225647,34.77762,20.55847,18.646751403808594,0.6418231129646301,1,1.666,2.848,4.917,7329.8902,4259.0523,350.4311831,-8.8560263,4.654e-11,47.88968,5.124195,18.299394607543945,0.1161737442016601,/processed1/20251125/L2/OBJ_MP_0786_0052_cat.fits.gz::5266,9,retained_after_posthoc_audit
