night,trk_sub,linkage_id,n_link_member_rows,n_unique_detections,first_mjd,median_mjd,last_mjd,median_ra_deg,median_dec_deg,median_mag_aper4,median_mag_psf,n_obs,n_tracklets,rms_arcsec,med_arcsec,max_arcsec,a_au,ecc,inc_deg,raan_deg,argp_deg,nu_deg,best_v1_kms,lin_rms_arcsec,lin_speed_arcsec_per_day,lin_dir_deg,speed_arcsec_per_hour,final_paper_status,n_detections,median_mjd_utc,median_time_utc,median_time_local,dusk_end_utc,dawn_start_utc,hours_after_dusk_end,hours_before_dawn_start,nearest_twilight,nearest_twilight_abs_hours,nearest_twilight_signed_hours,median_mag_aper4_legacy_twilight,median_mag_psf_legacy_twilight,median_ra_deg_legacy_twilight,median_dec_deg_legacy_twilight,twilight_metrics_status
20251121,000004r,598,3,3,61000.51447277778,61000.54039288194,61000.5662521875,8.99924117706019,20.121674204238477,18.928586959838867,17.145160675048828,3,2,0.1672305251550027,0.0,0.2896517661448899,-2.3534336924446655,2.7421353305958993,43.95820500167488,355.59958768044703,31.47990197867132,0.0059458662426887,28.455153392902016,0.1316941620779268,215.69215493449843,68.17264328163373,8.987173122270768,retained_after_posthoc_audit,3,61000.54039288194,2025-11-21T12:58:09.945,2025-11-21T20:58:09.945000+08:00,2025-11-21T10:23:35.366,2025-11-21T21:28:02.760,2.5762720184297465,8.498004196514987,dusk_end,2.5762720184297465,2.5762720184297465,18.928586959838867,17.145160675048828,8.99924117706019,20.121674204238477,legacy_site_coordinates_do_not_use_for_final_figure
20251124,000006v,0,3,3,61003.421151793984,61003.484596828705,61003.51146223379,347.9831381132704,-17.27888021957058,17.478530883789062,17.402278900146484,3,2,1.5136650034413317,0.0,2.621744691599306,0.8552354476523216,0.9877568309132454,67.38168569208776,198.890882434482,0.6114680570912017,-179.99777829926384,2.5276545288072083,1.163673369159325,621.5416713235846,171.0991429892712,25.897569638482693,retained_after_posthoc_audit,3,61003.484596828705,2025-11-24T11:37:49.166,2025-11-24T19:37:49.166000+08:00,2025-11-24T10:22:22.940,2025-11-24T21:30:54.093,1.2572848738331364,9.884701811031896,dusk_end,1.2572848738331364,1.2572848738331364,17.478530883789062,17.402278900146484,347.9831381132704,-17.27888021957058,legacy_site_coordinates_do_not_use_for_final_figure
20251125,000006K,21,3,3,61004.41511863426,61004.44406861111,61004.47301560185,340.537327962366,-13.256097316853907,17.534048080444336,17.430818557739258,3,2,0.3115509763174687,0.0030735851265057,0.5396133667799324,0.7962863041148304,0.6325786839385538,26.964063653139913,10.348816634579135,196.8741760736114,-179.98833198360066,15.834474206389872,0.2626815124055096,1336.5342631364283,41.8689897028552,55.68892763068451,retained_after_posthoc_audit,3,61004.44406861111,2025-11-25T10:39:27.528,2025-11-25T18:39:27.528000+08:00,2025-11-25T10:22:02.760,2025-11-25T21:31:50.249,0.2902134679242225,10.872978114926664,dusk_end,0.2902134679242225,0.2902134679242225,17.534048080444336,17.430818557739258,340.537327962366,-13.256097316853907,legacy_site_coordinates_do_not_use_for_final_figure
20251125,000006S,132,3,3,61004.431150833334,61004.45999814815,61004.48880881944,350.4287540182994,-8.854001174370154,18.173261642456055,18.238977432250977,3,2,0.8722503903425757,0.0,1.5107819929951267,1.5646742283662995,0.8534209613117614,85.27892941629035,7.953498346687426,179.34485319802366,-179.99779721309636,6.69622536819895,0.7099873402043746,448.39374143331526,142.2006615619101,18.68307255972147,retained_after_posthoc_audit,3,61004.45999814815,2025-11-25T11:02:23.840,2025-11-25T19:02:23.840000+08:00,2025-11-25T10:22:02.760,2025-11-25T21:31:50.249,0.6725223568718137,10.490669225979072,dusk_end,0.6725223568718137,0.6725223568718137,18.173261642456055,18.238977432250977,350.4287540182994,-8.854001174370154,legacy_site_coordinates_do_not_use_for_final_figure
20251203,000008u,343,3,3,61012.724925347226,61012.75381357639,61012.78201756944,117.62875037003016,20.890090630635573,17.774917602539062,17.79090118408203,3,2,0.2655821812194292,0.0,0.4600018314570163,1.2204301524939027,0.0651982024492051,23.43308466181008,0.7185962712870867,263.1020397181396,-179.98164747709478,25.25696768433281,0.280269562532293,221.49257893614688,163.03814621778065,9.228857455672786,retained_after_posthoc_audit,3,61012.75381357639,2025-12-03T18:05:29.493,2025-12-04T02:05:29.493000+08:00,2025-12-03T10:20:32.584,2025-12-03T21:38:57.070,7.749141410948698,3.557660352684879,dawn_start,3.557660352684879,-3.557660352684879,17.774917602539062,17.79090118408203,117.62875037003016,20.890090630635573,legacy_site_coordinates_do_not_use_for_final_figure
20251204,0000098,274,3,3,61013.84428979167,61013.87085726852,61013.89730413195,114.92231621326911,21.427017819861742,17.224042892456055,17.210651397705078,3,2,0.0331985136989447,0.0,0.0575015124623437,5.831336748206895,0.296902206955448,22.753958328705146,9.878698191228642,95.02493682480882,0.0035838120557554,16.751542389748227,0.025767316068528,252.4466137811889,161.9380474042935,10.518608907549536,retained_after_posthoc_audit,3,61013.87085726852,2025-12-04T20:54:02.068,2025-12-05T04:54:02.068000+08:00,2025-12-04T10:20:30.192,2025-12-04T21:39:47.097,10.558854402710365,0.7625081047463427,dawn_start,0.7625081047463427,-0.7625081047463427,17.224042892456055,17.210651397705078,114.92231621326911,21.427017819861742,legacy_site_coordinates_do_not_use_for_final_figure
20251204,000009h,306,3,3,61013.84825501157,61013.87480642361,61013.90126414352,117.55827661534876,20.908959766245587,17.648366928100586,17.666749954223633,3,2,0.3016814222899489,0.0,0.5225275511058335,5.499622340117905,0.2544942643573347,22.8643491983179,4.918541506973808,101.64735227066848,0.0035243844302251,16.47538325353662,0.2454535329392044,226.82736871619005,165.5232165683426,9.451140363174586,retained_after_posthoc_audit,3,61013.87480642361,2025-12-04T20:59:43.275,2025-12-05T04:59:43.275000+08:00,2025-12-04T10:20:30.192,2025-12-04T21:39:47.097,10.6536341249283,0.6677283825284066,dawn_start,0.6677283825284066,-0.6677283825284066,17.648366928100586,17.666749954223633,117.55827661534876,20.908959766245587,legacy_site_coordinates_do_not_use_for_final_figure
20251204,000009l,317,3,3,61013.85040452546,61013.87695957176,61013.90339510416,106.43396364049946,23.99977697907328,17.83401107788086,17.909395217895508,3,2,0.4424147941171867,0.0,0.766284901431092,1.2271145937058452,0.059395764925614,23.669061667767146,357.0397631851546,263.74682069588715,-179.98291318282244,25.335233067425623,0.4387991083233378,936.0764111147316,183.58822137494087,39.00318379644715,retained_after_posthoc_audit,3,61013.87695957176,2025-12-04T21:02:49.307,2025-12-05T05:02:49.307000+08:00,2025-12-04T10:20:30.192,2025-12-04T21:39:47.097,10.705309680457372,0.6160528269993337,dawn_start,0.6160528269993337,-0.6160528269993337,17.83401107788086,17.909395217895508,106.43396364049946,23.99977697907328,legacy_site_coordinates_do_not_use_for_final_figure
20251207,00000aG,298,3,3,61016.43259336805,61016.46225980325,61016.489408368056,35.00076238193964,19.825908614221383,16.027873992919922,16.053089141845703,3,2,0.0285584413220693,0.0,0.0494646713547985,3.665417898460688,0.1185627708545725,23.06083460365217,289.6090856260487,292.27631808924224,-179.99683366396718,13.81010183375071,0.0227143154625013,522.0210291905761,230.4676683684961,21.750876216274005,retained_after_posthoc_audit,3,61016.46225980325,2025-12-07T11:05:39.247,2025-12-07T19:05:39.247001+08:00,2025-12-07T10:20:34.756,2025-12-07T21:42:11.931,0.751247489016154,10.609078953937876,dusk_end,0.751247489016154,0.751247489016154,16.027873992919922,16.053089141845703,35.00076238193964,19.825908614221383,legacy_site_coordinates_do_not_use_for_final_figure
20251207,00000bh,896,3,3,61016.52087881944,61016.5485206713,61016.5778215625,48.84417910724284,3.176017626942899,17.84528350830078,18.14187240600586,3,2,0.675748503023798,0.0030735851265057,1.1704267047069552,1.4157145024535016,0.0817357652645305,19.643606341389265,2.602699885091426,65.80179495863365,0.0196905585339959,27.16952413246923,0.5846614120191747,610.4726702628133,162.797778902172,25.43636126095055,retained_after_posthoc_audit,3,61016.5485206713,2025-12-07T13:09:52.186,2025-12-07T21:09:52.186000+08:00,2025-12-07T10:20:34.756,2025-12-07T21:42:11.931,2.8215083221500987,8.53881812080393,dusk_end,2.8215083221500987,2.8215083221500987,17.84528350830078,18.14187240600586,48.84417910724284,3.176017626942899,legacy_site_coordinates_do_not_use_for_final_figure
