category,exists,hash_status,mtime_utc,path,sha256,size_bytes
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:05:36.234606+00:00,/pipeline/ref/healpix/healpix-00044.fits,,8064000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:40:37.128950+00:00,/pipeline/ref/healpix/healpix-00045.fits,,6946560
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:14:56.492679+00:00,/pipeline/ref/healpix/healpix-00046.fits,,6079680
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:23:32.317881+00:00,/pipeline/ref/healpix/healpix-00047.fits,,5495040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:54:09.669536+00:00,/pipeline/ref/healpix/healpix-00048.fits,,5014080
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:45:46.143412+00:00,/pipeline/ref/healpix/healpix-00049.fits,,4461120
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:51:46.951606+00:00,/pipeline/ref/healpix/healpix-00050.fits,,4322880
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:43:01.712171+00:00,/pipeline/ref/healpix/healpix-00051.fits,,4518720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:01:52.562501+00:00,/pipeline/ref/healpix/healpix-00052.fits,,4772160
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:27:06.690115+00:00,/pipeline/ref/healpix/healpix-00053.fits,,5146560
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:57:11.898499+00:00,/pipeline/ref/healpix/healpix-00054.fits,,5656320
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:48:42.919178+00:00,/pipeline/ref/healpix/healpix-00055.fits,,6854400
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:07:11.120144+00:00,/pipeline/ref/healpix/healpix-00056.fits,,7704000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:32:46.602913+00:00,/pipeline/ref/healpix/healpix-00057.fits,,8674560
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:01:47.539969+00:00,/pipeline/ref/healpix/healpix-00058.fits,,9570240
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:37:21.948779+00:00,/pipeline/ref/healpix/healpix-00059.fits,,10422720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:44:18.529313+00:00,/pipeline/ref/healpix/healpix-00060.fits,,12470400
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:53:12.686422+00:00,/pipeline/ref/healpix/healpix-00061.fits,,12240000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:28:03.030804+00:00,/pipeline/ref/healpix/healpix-00062.fits,,11327040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:02:11.212924+00:00,/pipeline/ref/healpix/healpix-00063.fits,,10177920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:47:55.910834+00:00,/pipeline/ref/healpix/healpix-00064.fits,,9443520
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:56:48.969061+00:00,/pipeline/ref/healpix/healpix-00065.fits,,8231040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:31:01.306131+00:00,/pipeline/ref/healpix/healpix-00066.fits,,7038720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:05:40.190358+00:00,/pipeline/ref/healpix/healpix-00067.fits,,6183360
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:38:41.416828+00:00,/pipeline/ref/healpix/healpix-00068.fits,,5440320
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:03:21.431484+00:00,/pipeline/ref/healpix/healpix-00069.fits,,5123520
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:35:49.768766+00:00,/pipeline/ref/healpix/healpix-00070.fits,,4697280
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:01:11.911578+00:00,/pipeline/ref/healpix/healpix-00071.fits,,4331520
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:20:07.350750+00:00,/pipeline/ref/healpix/healpix-00072.fits,,4032000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:11:35.927440+00:00,/pipeline/ref/healpix/healpix-00073.fits,,4253760
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:39:04.398848+00:00,/pipeline/ref/healpix/healpix-00074.fits,,4553280
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:04:01.393899+00:00,/pipeline/ref/healpix/healpix-00075.fits,,4936320
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:23:12.384101+00:00,/pipeline/ref/healpix/healpix-00076.fits,,5368320
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:14:08.804440+00:00,/pipeline/ref/healpix/healpix-00077.fits,,5731200
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:46:32.619112+00:00,/pipeline/ref/healpix/healpix-00078.fits,,6710400
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:54:38.370647+00:00,/pipeline/ref/healpix/healpix-00079.fits,,7698240
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:02:57.937841+00:00,/pipeline/ref/healpix/healpix-00080.fits,,8550720
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:38:03.498801+00:00,/pipeline/ref/healpix/healpix-00081.fits,,9936000
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:13:03.859143+00:00,/pipeline/ref/healpix/healpix-00082.fits,,10768320
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:22:14.544807+00:00,/pipeline/ref/healpix/healpix-00083.fits,,12029760
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T17:06:04.966238+00:00,/pipeline/ref/healpix/healpix-00084.fits,,14175360
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:41:00.555981+00:00,/pipeline/ref/healpix/healpix-00085.fits,,13582080
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:16:44.184304+00:00,/pipeline/ref/healpix/healpix-00086.fits,,13222080
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:25:13.886917+00:00,/pipeline/ref/healpix/healpix-00087.fits,,12081600
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:52:27.798034+00:00,/pipeline/ref/healpix/healpix-00088.fits,,11424960
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:44:04.164285+00:00,/pipeline/ref/healpix/healpix-00089.fits,,10033920
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:55:33.704041+00:00,/pipeline/ref/healpix/healpix-00090.fits,,8455680
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:46:34.333995+00:00,/pipeline/ref/healpix/healpix-00091.fits,,7220160
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:04:22.254764+00:00,/pipeline/ref/healpix/healpix-00092.fits,,6359040
gaia_healpix_tile,True,manifest_metadata_only,2025-10-29T16:29:48.994353+00:00,/pipeline/ref/healpix/healpix-00093.fits,,5590080
