night,raw_science_n,l2_mp_n,plan_n,plan_matched_raw_n,known_predicted_n,known_match1_n,known_mask15_n,known_ades_n,known_mpc_state,gaia_survivor_n,grouped_gaia_input_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,unknown_mpc_state,quality_code,quality_reason,code_commit,input_manifest_hash,raw_all_mp_n,raw_not_in_plan_n,plan_not_acquired_n,acquired_frame_plan_compliance,planned_frame_realization,summary_known_mask15_n,masked_catalog_detection_n,link_member_n,link_all_non_known_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,known_after_gaia_n,known_ge3_object_n,known_ge3_linked_object_n,summary_exists,mag_flag_prefilter_detection_n,gaia_removed_n,gaia_ok_file_n,gaia_log_file_n,gaia_status_counts,tracklet_stage_state,common_area_survivor_detection_n,tracklet_log_n,tracklet_group_n,tracklet_skip_reason_counts,primary_science_included,unknown_science_included,l2_detection_n,tracklet_count_log_minus_summary
20251126,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251127,224,224,0,0,80006,2849,3032,1652,reply_received,149410,132096,99939,42092,3084,256,256,256,5,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,224,224,0,0.0,,3032,149410,513,5,5,5,2778,499,239,True,4365362,4215952,224,224,"{""ok"": 224}",ok,132096,3084,70,{},True,True,5605687,0.0
20251128,111,110,0,0,51802,1446,1527,295,reply_received,56855,47185,34107,22093,1065,33,33,33,0,0,0,0,0,true_zero_catalog,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,111,111,0,0.0,,1527,56855,66,0,0,0,1391,87,32,True,1461137,1404282,110,110,"{""ok"": 110}",ok,47185,1065,44,"{""no tracklets"": 1}",True,True,1683756,0.0
20251129,140,139,0,0,51977,1643,1682,1057,reply_received,50226,50023,33657,14979,2262,304,304,304,16,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,140,140,0,0.0,,1682,50226,651,16,16,16,1564,319,277,True,1181926,1131700,139,139,"{""ok"": 139}",ok,50023,2262,47,{},True,True,1336817,0.0
20251130,157,157,0,0,59293,524,569,335,reply_received,42759,39845,18829,11826,998,56,48,48,1,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,157,157,0,0.0,,569,42759,155,9,1,1,494,86,47,True,1831481,1788722,157,157,"{""ok"": 157}",ok,39845,998,39,{},True,True,2043152,0.0
20251201,39,39,0,0,10843,443,473,0,matched_without_ades,31116,0,0,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,39,39,0,0.0,,473,31116,0,0,0,0,407,0,0,True,886675,855559,39,39,"{""ok"": 39}",zero_groups,0,0,0,{},True,True,1085845,0.0
20251202,156,156,0,0,35984,682,725,523,reply_received,52694,52694,28418,12435,1502,151,151,151,13,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,156,156,0,0.0,,725,52694,302,13,13,13,670,155,126,True,1122491,1069797,156,156,"{""ok"": 156}",ok,52694,1502,49,{},True,True,1296663,0.0
20251203,424,424,0,0,139830,3339,3526,2345,reply_received,173737,165833,108869,43078,5049,631,631,631,74,1,1,1,1,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,424,424,0,0.0,,3526,173737,1263,74,74,74,3175,735,539,True,6371155,6197418,424,424,"{""ok"": 424}",ok,165833,5049,126,{},True,True,7374633,0.0
20251204,448,448,0,0,138880,2806,3036,1524,reply_received,153757,153757,88603,51178,5681,352,350,350,32,3,3,3,3,reply_received,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,448,448,0,0.0,,3036,153757,706,34,32,32,2572,474,303,True,10921058,10767301,448,448,"{""ok"": 448}",ok,153757,5681,163,{},True,True,13337485,0.0
20251205,462,462,0,0,110931,1077,1171,669,reply_received,107047,106557,54720,35873,2649,195,190,190,19,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,462,462,0,0.0,,1171,107047,391,24,19,19,1012,203,161,True,6815197,6708150,462,462,"{""ok"": 462}",ok,106557,2649,151,"{""no tracklets"": 1}",True,True,7883884,0.0
