field_id,exposure_n,night_n,first_night,last_night,open_shutter_s
1785,52,19,20251231,20260528,1560.0
0045,51,17,20251205,20260310,1530.0
0175,51,18,20251205,20260311,1530.0
0575,51,17,20251205,20260428,1530.0
0704,51,14,20251213,20260310,1530.0
1354,51,17,20251214,20260127,1530.0
1357,51,21,20251115,20260223,1530.0
1772,51,20,20251201,20260310,1530.0
0031,50,12,20251129,20260308,1500.0
0046,50,18,20251205,20260310,1500.0
0047,50,18,20251205,20260311,1500.0
0437,50,17,20251205,20260310,1500.0
0569,50,16,20251205,20260310,1500.0
0944,50,16,20251209,20260222,1500.0
1129,50,18,20260109,20260601,1500.0
1244,50,15,20251203,20260428,1500.0
1381,50,19,20251203,20260407,1500.0
1621,50,20,20251115,20260223,1500.0
1634,50,20,20251121,20260426,1500.0
1658,50,19,20251231,20260512,1500.0
1751,50,19,20251115,20260126,1500.0
1752,50,17,20251115,20260108,1500.0
0559,49,14,20260114,20260306,1470.0
0677,49,17,20251213,20260222,1470.0
0811,49,18,20251210,20260222,1470.0
1081,49,16,20251210,20260222,1470.0
1130,49,18,20260129,20260601,1470.0
1219,49,16,20251214,20260127,1470.0
1337,49,15,20251115,20260126,1470.0
1398,49,19,20260207,20260601,1470.0
1614,49,15,20251119,20260120,1470.0
1646,49,21,20251206,20260312,1470.0
1763,49,19,20251121,20260202,1470.0
1776,49,19,20251206,20260331,1470.0
1779,49,15,20251206,20260429,1470.0
1786,49,17,20251231,20260528,1470.0
0163,48,18,20251213,20260308,1440.0
0169,48,14,20251127,20260213,1440.0
0434,48,15,20251204,20260306,1440.0
0543,48,17,20251210,20260222,1440.0
0557,48,18,20260111,20260330,1440.0
0827,48,17,20251122,20260306,1440.0
0835,48,17,20251204,20260306,1440.0
0968,48,17,20251128,20260426,1440.0
0970,48,18,20251128,20260306,1440.0
0971,48,17,20251128,20260303,1440.0
1097,48,13,20251122,20260218,1440.0
1391,48,16,20251231,20260528,1440.0
1524,48,15,20251231,20260528,1440.0
1766,48,19,20251121,20260426,1440.0
0293,47,16,20260111,20260308,1410.0
0296,47,19,20251127,20260306,1410.0
0310,47,15,20251205,20260311,1410.0
0441,47,16,20251205,20260311,1410.0
0442,47,16,20251205,20260312,1410.0
0943,47,14,20251207,20260123,1410.0
0972,47,17,20251203,20260303,1410.0
1238,47,18,20251124,20260426,1410.0
1394,47,18,20251231,20260529,1410.0
1633,47,20,20251121,20260202,1410.0
1782,47,17,20251208,20260403,1410.0
0172,46,13,20251127,20260303,1380.0
0292,46,15,20260110,20260308,1380.0
