night,plan_archive_available,plan_active_acquired_cohort,acquired_frame_in_plan_active_denominator,acquired_frame_outside_plan_archive,field_id,pair_id,match_status,match_rule,mode,cycle_id,repeat,plan_row,plan_manifest_line,planned_start_utc,actual_start_utc,actual_time_source,time_residual_s,abs_time_residual_s,planned_exptime_s,actual_exptime_s,planned_interval_prev_same_cycle_field_s,planned_baseline_from_first_same_cycle_field_s,actual_interval_prev_matched_same_cycle_field_s,actual_baseline_from_first_matched_same_cycle_field_s,planned_inter_start_prev_global_s,planned_gap_proxy_prev_global_s,actual_inter_start_prev_global_s,actual_gap_proxy_prev_global_s,raw_file_name,raw_path,raw_sequence_id,raw_manifest_line,l2_join_status,l2_file_name,l2_path,l2_manifest_line,sky_adu,sky_rms_adu,sky_mag,limiting_mag,seeing_arcsec,fwhm_header,ccd_zeropoint,ccd_zeropoint_rms,photometric_rms,n_sources,n_wcs,n_stars,n_match_calibration,n_psf,moon_phase_fraction,moon_sep_deg,planned_ra_deg,planned_dec_deg,known_limitation_codes,input_manifest_hash
20260420,True,True,True,False,0980,20260420:0980:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,10,8861,2026-04-20T12:10:55Z,2026-04-20T12:35:00.945000Z,l2_obs_time_utc,1445.945,1445.945,30.0,30.0,,0.0,,0.0,80.0,50.0,83.082,53.081999999999994,OBJ_MP_0980_0070.fits,/raw1/20260420/OBJ/OBJ_MP_0980_0070.fits,0070,36137,matched,OBJ_MP_0980_0070_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0980_0070_cat.fits.gz,35467,1117.9171,29.4441,19.6354,20.38,3.4383,2.9769,26.9436,0.0265,0.0,14754.0,3025.0,3066.0,535.0,1639.0,0.12991891901837616,74.55080255777682,147.99303694396082,13.16542656052672,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1383,20260420:1383:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,11,8862,2026-04-20T12:12:15Z,2026-04-20T12:36:29.903000Z,l2_obs_time_utc,1454.903,1454.903,30.0,30.0,,0.0,,0.0,80.0,50.0,88.958,58.958,OBJ_MP_1383_0071.fits,/raw1/20260420/OBJ/OBJ_MP_1383_0071.fits,0071,36236,matched,OBJ_MP_1383_0071_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1383_0071_cat.fits.gz,35566,1010.5703,27.99,19.7534,20.37,3.6427,3.1541,26.952,0.0264,0.0,14197.0,2917.0,2888.0,543.0,1594.0,0.12999364667633345,71.51872418308135,148.35654258268607,21.571602941651456,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0846,20260420:0846:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,12,8863,2026-04-20T12:13:35Z,2026-04-20T12:38:04.583000Z,l2_obs_time_utc,1469.583,1469.583,30.0,30.0,,0.0,,0.0,80.0,50.0,94.68,64.68,OBJ_MP_0846_0072.fits,/raw1/20260420/OBJ/OBJ_MP_0846_0072.fits,0072,36113,matched,OBJ_MP_0846_0072_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0846_0072_cat.fits.gz,35443,1110.4479,29.2033,19.6403,20.32,3.6568,3.1662,26.9412,0.0302,0.0,14690.0,3028.0,3109.0,592.0,1563.0,0.13006839192667546,76.22919692949507,148.48251080092953,10.150337560456036,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0712,20260420:0712:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,13,8864,2026-04-20T12:14:55Z,2026-04-20T12:39:19.320000Z,l2_obs_time_utc,1464.32,1464.32,30.0,30.0,,0.0,,0.0,80.0,50.0,74.737,44.736999999999995,OBJ_MP_0712_0073.fits,/raw1/20260420/OBJ/OBJ_MP_0712_0073.fits,0073,36089,matched,OBJ_MP_0712_0073_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0712_0073_cat.fits.gz,35419,1158.3036,29.4614,19.5828,20.13,4.2458,3.6761,26.9295,0.0337,0.0,14712.0,3117.0,3112.0,596.0,1837.0,0.13014315475866017,78.2663445760474,149.26554073698324,7.023192290497086,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1116,20260420:1116:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,14,8865,2026-04-20T12:16:15Z,2026-04-20T12:40:47.781000Z,l2_obs_time_utc,1472.781,1472.781,30.0,30.0,,0.0,,0.0,80.0,50.0,88.461,58.461,OBJ_MP_1116_0074.fits,/raw1/20260420/OBJ/OBJ_MP_1116_0074.fits,0074,36161,matched,OBJ_MP_1116_0074_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1116_0074_cat.fits.gz,35491,1126.875,29.3194,19.6308,20.5,3.1002,2.6843,26.9477,0.0306,0.0,13914.0,2883.0,2845.0,522.0,1502.0,0.130217935173856,75.81033896233913,150.41081241054925,15.159443262144867,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1250,20260420:1250:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,15,8866,2026-04-20T12:17:35Z,2026-04-20T12:42:02.802000Z,l2_obs_time_utc,1467.802,1467.802,30.0,30.0,,0.0,,0.0,80.0,50.0,75.021,45.021,OBJ_MP_1250_0075.fits,/raw1/20260420/OBJ/OBJ_MP_1250_0075.fits,0075,36191,matched,OBJ_MP_1250_0075_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1250_0075_cat.fits.gz,35521,1043.8687,28.043,19.7217,20.47,3.2843,2.8437,26.9555,0.029,0.0,13431.0,2751.0,2780.0,517.0,1547.0,0.13029273316367518,74.79384017407723,150.5656562907357,17.957052127832313,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0981,20260420:0981:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,16,8867,2026-04-20T12:18:55Z,2026-04-20T12:43:25.766000Z,l2_obs_time_utc,1470.766,1470.766,30.0,30.0,,0.0,,0.0,80.0,50.0,82.964,52.964,OBJ_MP_0981_0076.fits,/raw1/20260420/OBJ/OBJ_MP_0981_0076.fits,0076,36140,matched,OBJ_MP_0981_0076_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0981_0076_cat.fits.gz,35470,1054.9098,28.2437,19.6955,20.14,4.3755,3.7886,26.9408,0.0315,0.0,14632.0,3006.0,2961.0,549.0,1668.0,0.13036754871762013,77.13784187767078,150.56787942868172,12.251479789283533,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0847,20260420:0847:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,17,8868,2026-04-20T12:20:15Z,2026-04-20T12:44:40.681000Z,l2_obs_time_utc,1465.681,1465.681,30.0,30.0,,0.0,,0.0,80.0,50.0,74.915,44.915000000000006,OBJ_MP_0847_0077.fits,/raw1/20260420/OBJ/OBJ_MP_0847_0077.fits,0077,36116,matched,OBJ_MP_0847_0077_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0847_0077_cat.fits.gz,35446,1162.7688,31.2836,19.5892,20.44,3.2159,2.7843,26.9401,0.0309,0.0,14709.0,2999.0,3016.0,554.0,1611.0,0.13044238184589002,78.8261912184058,151.02866111933164,9.23106583225741,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1384,20260420:1384:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,18,8869,2026-04-20T12:21:35Z,2026-04-20T12:46:15.375000Z,l2_obs_time_utc,1480.375,1480.375,30.0,30.0,,0.0,,0.0,80.0,50.0,94.694,64.694,OBJ_MP_1384_0078.fits,/raw1/20260420/OBJ/OBJ_MP_1384_0078.fits,0078,36239,matched,OBJ_MP_1384_0078_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1384_0078_cat.fits.gz,35569,1045.1669,28.0993,19.7213,20.57,3.01,2.6062,26.9565,0.0296,0.0,14017.0,2792.0,2754.0,502.0,1417.0,0.13051723252883812,74.10231214718343,151.0436671107514,20.64417298280702,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,0713,20260420:0713:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,19,8870,2026-04-20T12:22:55Z,2026-04-20T12:47:55.553000Z,l2_obs_time_utc,1500.553,1500.553,30.0,30.0,,0.0,,0.0,80.0,50.0,100.178,70.178,OBJ_MP_0713_0079.fits,/raw1/20260420/OBJ/OBJ_MP_0713_0079.fits,0079,36092,matched,OBJ_MP_0713_0079_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_0713_0079_cat.fits.gz,35422,1088.7104,28.7614,19.652,20.47,3.1772,2.7508,26.9313,0.0319,0.0,15538.0,3246.0,3224.0,563.0,1608.0,0.1305921007723994,80.84825752199849,151.78817579176726,6.093901534148221,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1517,20260420:1517:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,20,8871,2026-04-20T12:24:15Z,2026-04-20T12:49:40.308000Z,l2_obs_time_utc,1525.308,1525.308,30.0,30.0,,0.0,,0.0,80.0,50.0,104.755,74.755,OBJ_MP_1517_0080.fits,/raw1/20260420/OBJ/OBJ_MP_1517_0080.fits,0080,36287,matched,OBJ_MP_1517_0080_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1517_0080_cat.fits.gz,35617,982.5959,28.4854,19.7913,20.19,4.3647,3.7792,26.9594,0.0288,0.0,12418.0,2594.0,2559.0,511.0,1546.0,0.13066698656374398,73.7733214070906,151.8590199331651,23.218380633817393,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260420,True,True,True,False,1117,20260420:1117:0001,matched,monotonic_minimum_total_absolute_time_residual,normal,1,1,21,8872,2026-04-20T12:25:35Z,2026-04-20T12:51:11.355000Z,l2_obs_time_utc,1536.355,1536.355,30.0,30.0,,0.0,,0.0,80.0,50.0,91.047,61.047,OBJ_MP_1117_0081.fits,/raw1/20260420/OBJ/OBJ_MP_1117_0081.fits,0081,36164,matched,OBJ_MP_1117_0081_cat.fits.gz,/processed1/20260420/L2/OBJ_MP_1117_0081_cat.fits.gz,35494,1050.4287,28.2185,19.7052,20.32,3.7225,3.2231,26.9458,0.0307,0.0,13909.0,2806.0,2790.0,535.0,1525.0,0.13074188989829683,78.38687378370693,152.99857349710916,14.222167845037232,near_sun_solar_separation_sort_overwritten_by_ra_sort;scheduler_history_ingestion_stalled_after_20260330_server_audit,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
