metric,lower,upper,matched_n,median_radial_arcsec,p84_radial_arcsec,median_dra_cosdec_arcsec,median_ddec_arcsec,robust_sigma_dra_arcsec,robust_sigma_ddec_arcsec
predicted_v_mag,8.0,12.0,565,0.4765034112170286,0.7501286721578654,0.02171296050241867,0.05861559333908417,0.3883766738364899,0.377185245877799
predicted_v_mag,12.0,14.0,3325,0.19127005157679391,0.3669723266384786,0.010427040382355021,0.030362102617687015,0.16660226872374845,0.15556914246100817
predicted_v_mag,14.0,15.0,4247,0.15473866383675722,0.30340675078083124,0.0017204649413562314,0.0441006748431505,0.13035206009179043,0.11293622052099407
predicted_v_mag,15.0,16.0,9094,0.14030728585358393,0.28851353491177484,-0.004373336245791674,0.03484972899698846,0.11853510044694116,0.11251735616717794
predicted_v_mag,16.0,17.0,23044,0.15497635674756396,0.3261024877993781,-0.015243871955378996,0.03019451586061539,0.13276839676287489,0.12565476478770995
predicted_v_mag,17.0,18.0,75777,0.18212765594195401,0.36956714578050054,-0.020126667718875984,0.026197540776706774,0.15804973308754136,0.14747789941475015
predicted_v_mag,18.0,19.0,204086,0.24819362920254334,0.48187471048750147,-0.01686096899737436,0.020914982974318264,0.21088892033701304,0.2058946054656028
predicted_v_mag,19.0,20.0,192952,0.3295511650278769,0.5893192330881116,-0.020238638984862282,0.018005240755947227,0.27880995515800155,0.2759895817709975
predicted_v_mag,20.0,21.0,13022,0.4644384008397886,0.7894438205818205,-0.023956703009511932,0.01390529798186435,0.3859228201028846,0.3862818623317872
predicted_v_mag,21.0,22.0,5166,0.695851198167051,0.9143790138843001,0.0004131866144368615,2.2935915566790754e-05,0.5794083580177575,0.5812493777162219
predicted_v_mag,22.0,22.5,3502,0.7044272453005365,0.9120236389640227,-0.027299583770813644,-0.011889864085290469,0.5997796063126677,0.5933702190468588
measured_mag_aper4,10.0,13.0,3111,0.23712341760907352,0.5620418310990055,0.017495779677246973,0.026880736075440836,0.2014711187165129,0.19491047625667826
measured_mag_aper4,13.0,14.0,3819,0.183527013912415,0.3849792094377193,-0.006118854380192663,0.0409170135981185,0.1566251304844282,0.13553307425622163
measured_mag_aper4,14.0,15.0,7092,0.15405713820697656,0.37417404125607095,-0.0008320385290175355,0.03614520707699853,0.1334688814308404,0.12174700061486501
measured_mag_aper4,15.0,16.0,16130,0.16069885903142406,0.40455977289134215,-0.009649050518372518,0.027211255303427606,0.1371234902225691,0.13554797536474392
measured_mag_aper4,16.0,17.0,45860,0.17407211791578941,0.38885231966576134,-0.018984132372609694,0.026704153964907107,0.15412243536853845,0.1394423433739641
measured_mag_aper4,17.0,18.0,137166,0.2155455693752894,0.44714741592431845,-0.01790097891762446,0.022400318003690245,0.1851394170673387,0.17833793249279584
measured_mag_aper4,18.0,19.0,258989,0.3013615715152267,0.5607446065193049,-0.016859175844533104,0.018046783747394102,0.25609440649332343,0.2517901555600773
measured_mag_aper4,19.0,20.0,62307,0.3480940994177193,0.6056620346606757,-0.030134374570493137,0.02806350673125735,0.29152964978464885,0.29291507035895664
measured_mag_aper4,20.0,21.0,100,0.40364222947495493,0.6832881722919186,-0.053021743059776014,0.06697833854900637,0.32917551381739224,0.2831334623214243
measured_mag_aper4,21.0,22.0,7,0.47607833556586293,0.8861084963460201,-0.28160897957786063,0.12300113979506477,0.20203095778872396,0.4817864438823119
measured_mag_aper4,22.0,23.0,0,,,,,,
sky_rate_arcsec_per_hour,0.0,3.0,4163,0.244122699377165,0.5157502043391158,0.015916140528354755,0.0193039495428593,0.20914630122044467,0.20224789942153173
sky_rate_arcsec_per_hour,3.0,5.0,6987,0.25240615042748354,0.5142040602934415,0.007236835147257157,0.022079567627031338,0.20878023223801376,0.20891267114735412
sky_rate_arcsec_per_hour,5.0,10.0,28188,0.25269416537331346,0.5184984712626802,0.009539430224404897,0.021969457932868863,0.20467161377062487,0.20817499848943105
sky_rate_arcsec_per_hour,10.0,20.0,99899,0.25576704692141883,0.5217910621463087,-0.007594677677794089,0.025232928066998284,0.21117832169959755,0.21284643222566826
sky_rate_arcsec_per_hour,20.0,40.0,354214,0.26407725910905344,0.5273170627605835,-0.028134051665353245,0.020379386792512832,0.22338037851141668,0.21469452157652963
sky_rate_arcsec_per_hour,40.0,80.0,23964,0.30898205841869775,0.5862443356944391,0.038244889469735005,0.05279753271061338,0.2660244529074853,0.24154516315128619
sky_rate_arcsec_per_hour,80.0,160.0,756,0.35858948568952226,0.6880074078323352,0.035483896950808294,0.06491328674584906,0.2723940226388779,0.2791475417868656
sky_rate_arcsec_per_hour,160.0,320.0,126,0.4579711958042602,0.7593068141207543,0.018806915833089303,0.1702033445990736,0.34410968724097823,0.38191575730273053
sky_rate_arcsec_per_hour,320.0,640.0,48,0.34183233266015667,0.6979964461306537,0.03342820844845584,-0.02799709705509912,0.23359637353358337,0.4128743160256565
sky_rate_arcsec_per_hour,640.0,inf,24,0.4478106701445516,0.8119559837006621,0.0008970165083124005,0.4038992277337172,0.2162935219765529,0.38117864756398623
detector_edge_distance_px,0.0,100.0,43,0.4236836266681089,0.7529150080511858,0.14600933972080846,-0.06420874927908216,0.3212969562987809,0.2408299448618331
detector_edge_distance_px,100.0,300.0,284,0.4487537129016983,0.7942740722354403,-0.05049107330657982,-0.03432265022276226,0.42390247072360016,0.36863282109030987
detector_edge_distance_px,300.0,500.0,30575,0.3127975584903359,0.6152914391116721,-0.032721841107416695,0.035187459896235396,0.25634048410538274,0.2650010151451649
detector_edge_distance_px,500.0,1000.0,109382,0.2739867054331647,0.5446578578229251,-0.021971590844651574,0.025084962890886686,0.23031280514522434,0.22400301127173317
detector_edge_distance_px,1000.0,2000.0,184014,0.2615266262873175,0.5251223582386484,-0.018617514608248783,0.025010903786437666,0.22002395756536908,0.21330323987077884
detector_edge_distance_px,2000.0,4000.0,198801,0.252767755621302,0.5100830873888689,-0.012342960323050144,0.018202769307862354,0.21439340695564413,0.2061928004774765
detector_edge_distance_px,4000.0,inf,11681,0.2517598739666533,0.5024487688103495,-0.01680717909666204,0.008360306738097734,0.21557191682878454,0.2037613259816472
seeing_arcsec,0.0,1.0,0,,,,,,
seeing_arcsec,1.0,1.5,0,,,,,,
seeing_arcsec,1.5,2.0,0,,,,,,
seeing_arcsec,2.0,2.5,3986,0.20781927792146665,0.4542231480782246,-0.003929149680722664,0.0157219547109122,0.16889419221566565,0.1736375432366225
seeing_arcsec,2.5,3.0,99199,0.23604488162372073,0.47217480026193326,-0.017423507082694845,0.01847834784385327,0.19852239296207205,0.1937389734955958
seeing_arcsec,3.0,4.0,310740,0.2579164251906334,0.5149818106015577,-0.017423411588904723,0.02198809561946291,0.21754619365198766,0.2112068866707829
seeing_arcsec,4.0,6.0,113332,0.3034718979820268,0.5971312809908537,-0.018536417836776772,0.028085865754690076,0.2565460711039148,0.24625572288638217
seeing_arcsec,6.0,inf,7523,0.3758937034123695,0.7059190047217148,-0.010461114357075887,0.035706960626669115,0.31323603350168444,0.3036048495577274
l2_catalog_source_count,0.0,5000.0,318,0.27325988210128627,0.5755867026248902,-0.0011364722040282137,0.018568299894461404,0.21395589398318351,0.22792341285929507
l2_catalog_source_count,5000.0,10000.0,37424,0.28555973447076544,0.5634498982847658,0.007820441152026486,0.024815341022055293,0.23650507618664546,0.23460105927081454
l2_catalog_source_count,10000.0,20000.0,259156,0.2564941790844488,0.5159314228150625,-0.006074325115916681,0.0166611038501685,0.2123748148772924,0.21280571749782062
l2_catalog_source_count,20000.0,40000.0,125028,0.26046306039564293,0.514209679327578,-0.046430567011841145,0.02122371384558619,0.21997961250268375,0.20879215315511862
l2_catalog_source_count,40000.0,80000.0,69676,0.27461655647192795,0.5443028761489338,-0.036475748342994774,0.03432913286758321,0.23643939950185916,0.21748210648009447
