night,source_prediction_row_n,predicted_nominal_n,duplicate_prediction_row_n,matched_1arcsec_n,recovery_fraction,predicted_rate_finite_n
20260407,151761,151761,0,7933,0.052272981859634554,151722
20260410,88515,88515,0,6261,0.0707337739366209,83267
20260411,57085,57085,0,1336,0.023403696242445475,55564
20260412,9517,9517,0,195,0.02048965009982137,5452
20260414,35394,35394,0,499,0.014098434762954174,34445
20260420,138784,138784,0,8194,0.05904138805626009,138297
20260422,30835,30835,0,1278,0.041446408302253934,27777
20260423,32057,32057,0,855,0.02667124185045388,25168
20260425,38743,38743,0,477,0.012311901504787962,35143
20260426,51548,51548,0,626,0.012144021106541477,50870
20260427,82462,82462,0,2739,0.03321529916810167,77706
20260428,120887,120887,0,3827,0.03165766376864344,120686
20260429,109420,109420,0,3008,0.02749040394808993,107365
20260430,19801,19801,0,185,0.009342962476642593,15776
20260503,95824,95824,0,3022,0.03153698447153114,90250
20260504,116127,116127,0,3075,0.02647963006019272,113782
20260506,47941,47941,0,1826,0.03808848376128992,47922
20260507,48207,48207,0,2758,0.0572116082726575,42286
20260508,72938,72938,0,3211,0.04402369135430091,72926
20260509,64280,64280,0,3419,0.05318917237087741,64266
20260512,76447,76447,0,2261,0.02957604614962,73890
20260528,82171,82171,0,2390,0.029085687164571442,81444
20260529,86130,86130,0,1400,0.016254499013119702,85150
20260530,75636,75636,0,763,0.010087788883600401,73662
20260601,75678,75678,0,1389,0.018354079124712597,75360
20260605,304,304,0,0,0.0,0
20260611,75709,75709,0,4655,0.061485424454160005,75656
20260617,7029,7029,0,503,0.07156067719448,4051
20260620,60293,60260,33,2931,0.04863923000331895,59142
20260715,11465,11465,0,442,0.03855211513301352,11200
