metric,lower,upper,denominator_prediction_n,matched_1arcsec_n,denominator_definition,recovery_fraction,ci95_low,ci95_high
seeing_arcsec,3.0,4.0,7049630,310740,V<22.5 and inside nominal WCS detector rectangle,0.04407890910586797,0.043927629912944646,0.04423068517625629
seeing_arcsec,4.0,6.0,3729363,113332,V<22.5 and inside nominal WCS detector rectangle,0.03038910398370982,0.030215370961101107,0.030563804457897026
seeing_arcsec,6.0,inf,446042,7523,V<22.5 and inside nominal WCS detector rectangle,0.016866124714712966,0.016492366650393234,0.017248204519599637
sky_background_adu,0.0,100.0,273,1,V<22.5 and inside nominal WCS detector rectangle,0.003663003663003663,0.0006469030014178041,0.02045347280781945
sky_background_adu,100.0,300.0,0,0,V<22.5 and inside nominal WCS detector rectangle,,,
sky_background_adu,300.0,1000.0,2644874,158962,V<22.5 and inside nominal WCS detector rectangle,0.060101917898546395,0.059816118630318785,0.06038899499544437
sky_background_adu,1000.0,3000.0,6893097,306749,V<22.5 and inside nominal WCS detector rectangle,0.04450089705686718,0.044347214656548485,0.044655087147726626
sky_background_adu,3000.0,10000.0,2974581,61532,V<22.5 and inside nominal WCS detector rectangle,0.020685938624633183,0.020524810449475624,0.020848304797916255
sky_background_adu,10000.0,30000.0,739862,7361,V<22.5 and inside nominal WCS detector rectangle,0.009949152679824075,0.009725534422816633,0.010177859724675307
sky_background_adu,30000.0,inf,57859,175,V<22.5 and inside nominal WCS detector rectangle,0.003024594272282618,0.002608944289607321,0.0035062317007130443
sky_rate_arcsec_per_hour,0.0,3.0,138558,4163,V<22.5 and inside nominal WCS detector rectangle,0.030045179635964724,0.029159259586278196,0.03095715753925667
sky_rate_arcsec_per_hour,3.0,5.0,221793,6987,V<22.5 and inside nominal WCS detector rectangle,0.031502346782811,0.030783488153982613,0.03223743390642396
sky_rate_arcsec_per_hour,5.0,10.0,862490,28188,V<22.5 and inside nominal WCS detector rectangle,0.03268211805354265,0.032308953089917755,0.03305944578868748
sky_rate_arcsec_per_hour,10.0,20.0,2886373,99899,V<22.5 and inside nominal WCS detector rectangle,0.03461056488541155,0.034400307342395055,0.03482206119553905
sky_rate_arcsec_per_hour,20.0,40.0,7948668,354214,V<22.5 and inside nominal WCS detector rectangle,0.044562686477784705,0.044419460696106784,0.04470635246978207
sky_rate_arcsec_per_hour,40.0,80.0,712256,23964,V<22.5 and inside nominal WCS detector rectangle,0.03364520621798904,0.03322896007336209,0.034066482781662154
sky_rate_arcsec_per_hour,80.0,160.0,17658,756,V<22.5 and inside nominal WCS detector rectangle,0.04281345565749235,0.039925728384943446,0.04590005950670649
sky_rate_arcsec_per_hour,160.0,320.0,3261,126,V<22.5 and inside nominal WCS detector rectangle,0.03863845446182153,0.03254800182205233,0.045814596193076894
sky_rate_arcsec_per_hour,320.0,640.0,1284,48,V<22.5 and inside nominal WCS detector rectangle,0.037383177570093455,0.028311085232777623,0.04921511811846501
sky_rate_arcsec_per_hour,640.0,inf,961,24,V<22.5 and inside nominal WCS detector rectangle,0.02497398543184183,0.016838998676398743,0.036891547774267744
