mode,planned_n,matched_n,planned_realization,planned_realization_denominator_n,fraction_of_full_interval_acquired_frames_matching_mode,full_interval_acquired_frame_denominator_n,fraction_of_plan_active_acquired_frames_matching_mode,plan_active_acquired_frame_denominator_n,fraction_of_all_matched_frames_in_mode,all_matched_frame_denominator_n,fraction_of_all_planned_frames_in_mode,all_planned_frame_denominator_n,night_n,field_n,timed_pair_n,abs_time_residual_median_s,abs_time_residual_p16_s,abs_time_residual_p84_s,abs_time_residual_p90_s,planned_revisit_interval_n,planned_revisit_interval_median_s,actual_revisit_interval_n,actual_revisit_interval_median_s,planned_revisit_baseline_n,planned_revisit_baseline_median_s,actual_revisit_baseline_n,actual_revisit_baseline_median_s,actual_gap_proxy_n,actual_gap_proxy_median_s,actual_gap_proxy_p90_s,sky_adu_availability,sky_adu_n,sky_adu_median,sky_adu_p16,sky_adu_p84,sky_rms_adu_availability,sky_rms_adu_n,sky_rms_adu_median,sky_rms_adu_p16,sky_rms_adu_p84,sky_mag_availability,sky_mag_n,sky_mag_median,sky_mag_p16,sky_mag_p84,limiting_mag_availability,limiting_mag_n,limiting_mag_median,limiting_mag_p16,limiting_mag_p84,seeing_arcsec_availability,seeing_arcsec_n,seeing_arcsec_median,seeing_arcsec_p16,seeing_arcsec_p84,fwhm_header_availability,fwhm_header_n,fwhm_header_median,fwhm_header_p16,fwhm_header_p84,ccd_zeropoint_availability,ccd_zeropoint_n,ccd_zeropoint_median,ccd_zeropoint_p16,ccd_zeropoint_p84,ccd_zeropoint_rms_availability,ccd_zeropoint_rms_n,ccd_zeropoint_rms_median,ccd_zeropoint_rms_p16,ccd_zeropoint_rms_p84,photometric_rms_availability,photometric_rms_n,photometric_rms_median,photometric_rms_p16,photometric_rms_p84,n_sources_availability,n_sources_n,n_sources_median,n_sources_p16,n_sources_p84,n_sources_total,n_wcs_availability,n_wcs_n,n_wcs_median,n_wcs_p16,n_wcs_p84,n_stars_availability,n_stars_n,n_stars_median,n_stars_p16,n_stars_p84,n_match_calibration_availability,n_match_calibration_n,n_match_calibration_median,n_match_calibration_p16,n_match_calibration_p84,n_psf_availability,n_psf_n,n_psf_median,n_psf_p16,n_psf_p84,condition_interpretation,near_sun_selection_status,history_feedback_status,attribution_limit,input_manifest_hash
near_sun,1878,338,0.1799787007454739,1878,0.00822905000730389,41074,0.04315077237329248,7833,0.04533869885982562,7455,0.05935712253863902,31639,79,190,338,465.02250000000004,167.12820000000002,1655.4719599999999,1863.6797000000001,1251,800.0,221,939.881,626,1600.0,113,2055.062,338,45.471500000000006,63.7422,available,338,4446.43135,1881.244568,8496.902723999998,available,338,61.7273,36.24244,88.799928,available,338,18.1547,17.096856000000002,18.985035999999997,available,338,19.630000000000003,18.92,20.2408,available,338,3.80875,3.1697960000000003,4.9205119999999996,available,338,3.2962,2.743296,4.2592,available,338,26.8882,26.523576,27.117216,available,338,0.0723,0.042983999999999994,0.151832,available,338,0.0,0.0,0.0,available,338,36300.5,12462.039999999999,137683.88,23415282.0,available,338,4564.5,2308.68,6911.08,available,338,4618.0,2314.52,7305.639999999999,available,338,1505.0,801.84,2874.32,available,338,2209.5,1164.68,4143.44,"matched-exposure L2 metadata only; n_sources is L2 catalog row count, not asteroid yield or survey efficiency",mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
normal,29761,7117,0.2391384698094822,29761,0.1732726298875201,41074,0.908591854972552,7833,0.9546613011401743,7455,0.940642877461361,31639,96,658,6988,1193.2730000000001,437.12260000000003,1953.06208,2198.235,19788,1800.0,4252,1862.822,9973,3600.0,2343,3714.53,6952,53.0085,65.0039,available,6988,2495.6621,1003.976256,6604.6403279999995,available,6988,42.485,26.50778,71.62814399999999,available,6988,18.5075,17.403087999999997,19.588255999999998,available,6988,19.99,19.25,20.51,available,6988,3.3409,2.930084,4.1296800000000005,available,6988,2.89185,2.5363680000000004,3.574516,available,6988,26.845350000000003,26.517952,26.9656,available,6988,0.0397,0.033,0.067508,available,6988,0.0,0.0,0.0,available,6988,13129.0,8609.36,24565.079999999998,182244188.0,available,6988,2658.0,1819.92,4212.16,available,6988,2644.5,1845.0,4339.0,available,6988,666.0,453.0,1252.0,available,6988,1291.0,800.0,2190.08,"matched-exposure L2 metadata only; n_sources is L2 catalog row count, not asteroid yield or survey efficiency",mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
