night,source_prediction_row_n,predicted_nominal_n,duplicate_prediction_row_n,matched_1arcsec_n,recovery_fraction,predicted_rate_finite_n,known_ades_n,quality_code,primary_science_included
20260210,52862,52862,0,3858,0.0729824826907797,52643,2457,quality_ok,True
20260211,140230,140230,0,8751,0.0624046209798188,138447,5973,quality_ok,True
20260212,103689,103689,0,4914,0.0473917194687961,103043,1150,quality_ok,True
20260213,138501,138501,0,7967,0.0575230503750875,133274,5747,quality_ok,True
20260215,150050,150050,0,6753,0.0450049983338887,137354,4275,quality_ok,True
20260216,174240,174240,0,12203,0.0700355831037649,167447,8713,quality_ok,True
20260217,154147,154147,0,9335,0.0605590767254633,147519,6307,quality_ok,True
20260218,161610,161610,0,8367,0.0517727863374791,156300,5487,quality_ok,True
20260219,114937,114937,0,6048,0.0526201310283024,108599,3474,quality_ok,True
20260220,126746,126746,0,3305,0.0260757735944329,117457,0,quality_ok,True
20260222,145211,145211,0,7286,0.0501752622046539,134006,4574,quality_ok,True
20260223,29100,29100,0,1939,0.0666323024054982,19299,996,quality_ok,True
20260224,20538,20538,0,426,0.0207420391469471,17062,37,quality_ok,True
20260303,62213,62213,0,1895,0.0304598717309887,61274,1054,quality_ok,True
20260306,87107,87107,0,2553,0.0293087811542126,79105,1046,quality_ok,True
20260308,52060,52060,0,1619,0.0310987322320399,47864,884,quality_ok,True
20260309,61796,61796,0,1087,0.0175901352838371,61762,819,quality_ok,True
20260310,137732,137732,0,6791,0.0493058984114076,136422,4934,quality_ok,True
20260311,128380,128380,0,6973,0.0543153139118242,128324,5090,quality_ok,True
20260315,54901,54901,0,2244,0.0408735724303746,53071,1308,quality_ok,True
20260316,61342,61342,0,2477,0.0403801636725245,56473,1391,quality_ok,True
20260318,43773,43773,0,3318,0.0758001507778767,38990,2239,quality_ok,True
20260330,107231,107231,0,1175,0.0109576521714802,102264,728,quality_ok,True
20260331,108017,108017,0,1736,0.0160715442939537,107982,1549,quality_ok,True
20260401,118218,118218,0,1188,0.0100492310815611,118192,974,quality_ok,True
20260403,74900,74900,0,1804,0.0240854472630173,68183,1240,quality_ok,True
20260404,32075,32075,0,796,0.0248168355416991,30585,611,quality_ok,True
20260405,50157,50157,0,2553,0.0509001734553502,50147,1660,quality_ok,True
20260406,160663,160663,0,8395,0.0522522298226723,160626,6851,quality_ok,True
20260407,151761,151761,0,7933,0.0522729818596345,151722,6540,quality_ok,True
20260410,88515,88515,0,6261,0.0707337739366209,83267,4496,quality_ok,True
20260411,57085,57085,0,1336,0.0234036962424454,55564,966,quality_ok,True
20260412,9517,9517,0,195,0.0204896500998213,5452,0,quality_ok,True
20260414,35394,35394,0,499,0.0140984347629541,34445,0,quality_ok,True
20260420,138784,138784,0,8194,0.05904138805626,138297,6581,quality_ok,True
20260422,30835,30835,0,1278,0.0414464083022539,27777,948,quality_ok,True
20260423,32057,32057,0,855,0.0266712418504538,25168,501,quality_ok,True
20260425,38743,38743,0,477,0.0123119015047879,35143,301,quality_ok,True
20260426,51548,51548,0,626,0.0121440211065414,50870,355,quality_ok,True
20260427,82462,82462,0,2739,0.0332152991681016,77706,2300,quality_ok,True
20260428,120887,120887,0,3827,0.0316576637686434,120686,3348,quality_ok,True
20260429,109420,109420,0,3008,0.0274904039480899,107365,2657,quality_ok,True
20260430,19801,19801,0,185,0.0093429624766425,15776,36,quality_ok,True
20260503,95824,95824,0,3022,0.0315369844715311,90250,2138,quality_ok,True
20260504,116127,116127,0,3075,0.0264796300601927,113782,2371,quality_ok,True
20260506,47941,47941,0,1826,0.0380884837612899,47922,1354,quality_ok,True
20260507,48207,48207,0,2758,0.0572116082726575,42286,921,quality_ok,True
20260508,72938,72938,0,3211,0.0440236913543009,72926,2449,quality_ok,True
20260509,64280,64280,0,3419,0.0531891723708774,64266,3000,quality_ok,True
20260512,76447,76447,0,2261,0.02957604614962,73890,1814,quality_ok,True
20260528,82171,82171,0,2390,0.0290856871645714,81444,1555,quarantine_unknown,True
20260529,86130,86130,0,1400,0.0162544990131197,85150,1030,quality_ok,True
20260530,75636,75636,0,763,0.0100877888836004,73662,450,quality_ok,True
20260601,75678,75678,0,1389,0.0183540791247125,75360,1096,quality_ok,True
20260605,304,304,0,0,0.0,0,0,quality_ok,True
20260611,75709,75709,0,4655,0.06148542445416,75656,3597,quarantine_unknown,True
20260617,7029,7029,0,503,0.07156067719448,4051,26,quality_ok,True
20260620,60293,60260,33,2931,0.0486392300033189,59142,1917,quality_ok,True
20260715,11465,11465,0,442,0.0385521151330135,11200,123,quality_ok,True
