healpix_nside,healpix_ordering,pixel,ra_deg,dec_deg,matched_detection_n
64,RING,4954,98.1,52.80185378173063,1
64,RING,5569,97.64150943396227,50.48004426244293,1
64,RING,5571,101.0377358490566,50.48004426244293,3
64,RING,5781,95.83333333333334,49.702390326630685,3
64,RING,6219,95.625,48.141207794360284,2
64,RING,6223,102.05357142857143,48.141207794360284,3
64,RING,6231,114.91071428571429,48.141207794360284,1
64,RING,6441,90.78947368421053,47.35757623319898,2
64,RING,6444,95.52631578947368,47.35757623319898,1
64,RING,6446,98.68421052631578,47.35757623319898,1
64,RING,6457,116.05263157894737,47.35757623319898,4
64,RING,6462,123.94736842105262,47.35757623319898,1
64,RING,6674,96.98275862068965,46.57184741344958,3
64,RING,6683,110.94827586206897,46.57184741344958,1
64,RING,6685,114.05172413793105,46.57184741344958,1
64,RING,6687,117.1551724137931,46.57184741344958,2
64,RING,6690,121.81034482758619,46.57184741344958,1
64,RING,6691,123.36206896551724,46.57184741344958,2
64,RING,6692,124.91379310344828,46.57184741344958,1
64,RING,6694,128.01724137931035,46.57184741344958,3
64,RING,6904,92.28813559322035,45.78396716177502,2
64,RING,6905,93.8135593220339,45.78396716177502,1
64,RING,6907,96.86440677966102,45.78396716177502,1
64,RING,6908,98.38983050847457,45.78396716177502,3
64,RING,6910,101.4406779661017,45.78396716177502,2
64,RING,6912,104.49152542372882,45.78396716177502,3
64,RING,6913,106.01694915254237,45.78396716177502,1
64,RING,6918,113.64406779661016,45.78396716177502,2
64,RING,6924,122.79661016949153,45.78396716177502,4
64,RING,6926,125.84745762711862,45.78396716177502,2
64,RING,7140,90.75,44.993880150457116,1
64,RING,7141,92.25,44.993880150457116,3
64,RING,7144,96.75,44.993880150457116,1
64,RING,7145,98.25000000000001,44.993880150457116,1
64,RING,7146,99.75,44.993880150457116,8
64,RING,7147,101.25,44.993880150457116,3
64,RING,7148,102.75000000000001,44.993880150457116,5
64,RING,7149,104.25,44.993880150457116,1
64,RING,7157,116.25,44.993880150457116,5
64,RING,7158,117.75,44.993880150457116,3
64,RING,7162,123.74999999999999,44.993880150457116,2
64,RING,7386,98.11475409836066,44.20152985105137,1
64,RING,7387,99.59016393442623,44.20152985105137,6
64,RING,7397,114.34426229508196,44.20152985105137,1
64,RING,7398,115.81967213114753,44.20152985105137,9
64,RING,7399,117.29508196721311,44.20152985105137,6
64,RING,7410,133.52459016393445,44.20152985105137,3
64,RING,7413,137.95081967213116,44.20152985105137,3
64,RING,7626,90.7258064516129,43.406858485936986,2
64,RING,7627,92.17741935483872,43.406858485936986,4
64,RING,7632,99.43548387096774,43.406858485936986,3
64,RING,7634,102.33870967741935,43.406858485936986,8
64,RING,7636,105.24193548387096,43.406858485936986,3
64,RING,7658,137.17741935483872,43.406858485936986,4
64,RING,7869,82.14285714285715,42.60980697763761,3
64,RING,7874,89.28571428571428,42.60980697763761,1
64,RING,7878,95.0,42.60980697763761,1
64,RING,7880,97.85714285714286,42.60980697763761,1
64,RING,7885,105.00000000000001,42.60980697763761,3
64,RING,7906,135.0,42.60980697763761,2
64,RING,7907,136.42857142857144,42.60980697763761,2
64,RING,7908,137.85714285714283,42.60980697763761,1
64,RING,8121,80.859375,41.81031489577859,3
64,RING,8128,90.703125,41.81031489577859,3
64,RING,8131,94.92187499999999,41.81031489577859,2
64,RING,8134,99.140625,41.81031489577859,2
64,RING,8135,100.546875,41.81031489577859,3
64,RING,8136,101.953125,41.81031489577859,3
64,RING,8137,103.359375,41.81031489577859,3
64,RING,8138,104.76562499999999,41.81031489577859,1
