night,group,metric,label,source_unit,display_unit,value_original,value_hours,class_field,run_class,usable_normal,exclusion_reason,metric_negative,night_has_any_negative_metric,restart_anomaly_night,primary_science_included,quality_code,timing_consistency_flags
20251119,human,human_review_csv_to_submit_csv_hours,Review CSV → submit CSV,hours,hours,0.0,0.0,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251119,mpc,mpc_known_ades_to_reply_hours,Known ADES → MPC reply,hours,hours,0.0014102474999999,0.0014102474999999,known_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251119,mpc,mpc_unknown_ades_to_reply_hours,Unknown ADES → MPC reply,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_l2_latest_to_known_start_hours,L2 latest → known start,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_known_start_to_ades_hours,Known start → ADES file,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_l2_latest_to_known_ades_hours,L2 latest → known ADES,hours,hours,1493.8988379969446,1493.8988379969446,known_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_known_reply_to_unknown_start_hours,Known reply → unknown start,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_known_mask15_to_unknown_start_hours,Known mask → unknown start,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_unknown_start_to_end_minutes,Unknown wrapper runtime,minutes,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_unknown_start_to_catalog_hours,Unknown start → catalog,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,automatic,auto_unknown_start_to_review_package_hours,Unknown start → review package,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251120,human,human_review_package_to_review_csv_hours,Review package → review CSV,hours,hours,6.3894872725,6.3894872725,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251120,human,human_review_package_to_submit_csv_hours,Review package → submit CSV,hours,hours,6.3894872725,6.3894872725,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251120,human,human_review_csv_to_submit_csv_hours,Review CSV → submit CSV,hours,hours,0.0,0.0,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251120,mpc,mpc_known_ades_to_reply_hours,Known ADES → MPC reply,hours,hours,0.0018035722222222,0.0018035722222222,known_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251120,mpc,mpc_unknown_ades_to_reply_hours,Unknown ADES → MPC reply,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_l2_latest_to_known_start_hours,L2 latest → known start,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_known_start_to_ades_hours,Known start → ADES file,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_l2_latest_to_known_ades_hours,L2 latest → known ADES,hours,hours,1488.8035817122222,1488.8035817122222,known_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_known_reply_to_unknown_start_hours,Known reply → unknown start,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_known_mask15_to_unknown_start_hours,Known mask → unknown start,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_unknown_start_to_end_minutes,Unknown wrapper runtime,minutes,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_unknown_start_to_catalog_hours,Unknown start → catalog,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,automatic,auto_unknown_start_to_review_package_hours,Unknown start → review package,hours,hours,,,unknown_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251121,human,human_review_package_to_review_csv_hours,Review package → review CSV,hours,hours,6.055557875833333,6.055557875833333,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251121,human,human_review_package_to_submit_csv_hours,Review package → submit CSV,hours,hours,6.055557875833333,6.055557875833333,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251121,human,human_review_csv_to_submit_csv_hours,Review CSV → submit CSV,hours,hours,0.0,0.0,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251121,mpc,mpc_known_ades_to_reply_hours,Known ADES → MPC reply,hours,hours,0.0017574622222222,0.0017574622222222,known_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251121,mpc,mpc_unknown_ades_to_reply_hours,Unknown ADES → MPC reply,hours,hours,0.0016177466666666,0.0016177466666666,unknown_run_class,latest_mtime_only,False,latest_mtime_only,False,False,False,True,quality_ok,
20251122,automatic,auto_l2_latest_to_known_start_hours,L2 latest → known start,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
20251122,automatic,auto_known_start_to_ades_hours,Known start → ADES file,hours,hours,,,known_run_class,latest_mtime_only,False,missing_value;latest_mtime_only,False,False,False,True,quality_ok,
