night,plan_archive_available,plan_active_acquired_cohort,plan_exposure_n,acquired_strict_frame_n,plan_active_acquired_frame_denominator_n,plan_active_cohort_matched_frame_n,full_interval_acquired_without_plan_archive_n,multiset_matched_frame_n,acquired_frame_plan_compliance,planned_frame_realization,normal_planned_n,normal_matched_n,near_sun_planned_n,near_sun_matched_n,planned_revisit_interval_median_s,actual_revisit_interval_median_s,actual_gap_proxy_median_s,quality_code,input_manifest_hash
20251205,False,False,0,462,0,0,462,0,,,0,0,0,0,,,51.790000000000006,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251206,False,False,0,371,0,0,371,0,,,0,0,0,0,,,53.428,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251207,False,False,0,493,0,0,493,0,,,0,0,0,0,,,56.574,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251208,False,False,0,382,0,0,382,0,,,0,0,0,0,,,56.985,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251209,False,False,0,484,0,0,484,0,,,0,0,0,0,,,53.150999999999996,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251210,False,False,0,418,0,0,418,0,,,0,0,0,0,,,54.6195,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251211,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251212,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251213,False,False,0,441,0,0,441,0,,,0,0,0,0,,,55.599000000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251214,False,False,0,268,0,0,268,0,,,0,0,0,0,,,53.69799999999999,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251215,False,False,0,444,0,0,444,0,,,0,0,0,0,,,55.67,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251216,False,False,0,431,0,0,431,0,,,0,0,0,0,,,56.3805,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251217,False,False,0,443,0,0,443,0,,,0,0,0,0,,,53.646,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251218,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251219,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251220,False,False,0,506,0,0,506,0,,,0,0,0,0,,,52.509,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251221,False,False,0,293,0,0,293,0,,,0,0,0,0,,,51.870000000000005,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251222,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251223,False,False,0,306,0,0,306,0,,,0,0,0,0,,,53.57299999999999,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251224,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
