night,pair_id,field_id,cycle_id,repeat,mode,planned_start_utc,actual_start_utc,time_residual_s,abs_time_residual_s,match_rule,input_manifest_hash
20260420,20260420:0844:0002,0844,1,2,normal,2026-04-20T12:28:55Z,2026-04-20T12:53:56.716000Z,1501.716,1501.716,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0710:0002,0710,1,2,normal,2026-04-20T12:30:15Z,2026-04-20T12:55:11.603000Z,1496.603,1496.603,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1114:0002,1114,1,2,normal,2026-04-20T12:31:35Z,2026-04-20T12:56:41.252000Z,1506.252,1506.252,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1248:0002,1248,1,2,normal,2026-04-20T12:32:55Z,2026-04-20T12:57:55.238000Z,1500.238,1500.238,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0979:0002,0979,1,2,normal,2026-04-20T12:34:15Z,2026-04-20T12:59:17.811000Z,1502.811,1502.811,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0845:0002,0845,1,2,normal,2026-04-20T12:35:35Z,2026-04-20T13:00:32.722000Z,1497.722,1497.722,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0711:0002,0711,1,2,normal,2026-04-20T12:36:55Z,2026-04-20T13:01:48.526000Z,1493.526,1493.526,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1115:0002,1115,1,2,normal,2026-04-20T12:38:15Z,2026-04-20T13:03:16.584000Z,1501.584,1501.584,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1249:0002,1249,1,2,normal,2026-04-20T12:39:35Z,2026-04-20T13:04:30.263000Z,1495.263,1495.263,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0980:0002,0980,1,2,normal,2026-04-20T12:40:55Z,2026-04-20T13:05:52.619000Z,1497.619,1497.619,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1383:0002,1383,1,2,normal,2026-04-20T12:42:15Z,2026-04-20T13:07:21.154000Z,1506.154,1506.154,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0846:0002,0846,1,2,normal,2026-04-20T12:43:35Z,2026-04-20T13:08:56.694000Z,1521.694,1521.694,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0712:0002,0712,1,2,normal,2026-04-20T12:44:55Z,2026-04-20T13:10:12.791000Z,1517.791,1517.791,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1116:0002,1116,1,2,normal,2026-04-20T12:46:15Z,2026-04-20T13:11:41.593000Z,1526.593,1526.593,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
