night,pair_id,field_id,cycle_id,repeat,mode,match_status,match_rule,planned_start_utc,actual_start_utc,actual_time_source,computed_time_residual_s,raw_file_name,raw_sequence_id,l2_file_name,input_manifest_hash
20260420,20260420:0981:0001,0981,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:18:55Z,2026-04-20T12:43:25.766000Z,l2_obs_time_utc,1470.766,OBJ_MP_0981_0076.fits,0076,OBJ_MP_0981_0076_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0847:0001,0847,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:20:15Z,2026-04-20T12:44:40.681000Z,l2_obs_time_utc,1465.681,OBJ_MP_0847_0077.fits,0077,OBJ_MP_0847_0077_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1384:0001,1384,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:21:35Z,2026-04-20T12:46:15.375000Z,l2_obs_time_utc,1480.375,OBJ_MP_1384_0078.fits,0078,OBJ_MP_1384_0078_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0713:0001,0713,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:22:55Z,2026-04-20T12:47:55.553000Z,l2_obs_time_utc,1500.553,OBJ_MP_0713_0079.fits,0079,OBJ_MP_0713_0079_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1517:0001,1517,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:24:15Z,2026-04-20T12:49:40.308000Z,l2_obs_time_utc,1525.308,OBJ_MP_1517_0080.fits,0080,OBJ_MP_1517_0080_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1117:0001,1117,1,1,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:25:35Z,2026-04-20T12:51:11.355000Z,l2_obs_time_utc,1536.355,OBJ_MP_1117_0081.fits,0081,OBJ_MP_1117_0081_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0978:0002,0978,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:27:35Z,2026-04-20T12:52:42.167000Z,l2_obs_time_utc,1507.167,OBJ_MP_0978_0082.fits,0082,OBJ_MP_0978_0082_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0844:0002,0844,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:28:55Z,2026-04-20T12:53:56.716000Z,l2_obs_time_utc,1501.716,OBJ_MP_0844_0083.fits,0083,OBJ_MP_0844_0083_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0710:0002,0710,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:30:15Z,2026-04-20T12:55:11.603000Z,l2_obs_time_utc,1496.603,OBJ_MP_0710_0084.fits,0084,OBJ_MP_0710_0084_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1114:0002,1114,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:31:35Z,2026-04-20T12:56:41.252000Z,l2_obs_time_utc,1506.252,OBJ_MP_1114_0085.fits,0085,OBJ_MP_1114_0085_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1248:0002,1248,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:32:55Z,2026-04-20T12:57:55.238000Z,l2_obs_time_utc,1500.238,OBJ_MP_1248_0086.fits,0086,OBJ_MP_1248_0086_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0979:0002,0979,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:34:15Z,2026-04-20T12:59:17.811000Z,l2_obs_time_utc,1502.811,OBJ_MP_0979_0087.fits,0087,OBJ_MP_0979_0087_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0845:0002,0845,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:35:35Z,2026-04-20T13:00:32.722000Z,l2_obs_time_utc,1497.722,OBJ_MP_0845_0088.fits,0088,OBJ_MP_0845_0088_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0711:0002,0711,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:36:55Z,2026-04-20T13:01:48.526000Z,l2_obs_time_utc,1493.526,OBJ_MP_0711_0089.fits,0089,OBJ_MP_0711_0089_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1115:0002,1115,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:38:15Z,2026-04-20T13:03:16.584000Z,l2_obs_time_utc,1501.584,OBJ_MP_1115_0090.fits,0090,OBJ_MP_1115_0090_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1249:0002,1249,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:39:35Z,2026-04-20T13:04:30.263000Z,l2_obs_time_utc,1495.263,OBJ_MP_1249_0091.fits,0091,OBJ_MP_1249_0091_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0980:0002,0980,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:40:55Z,2026-04-20T13:05:52.619000Z,l2_obs_time_utc,1497.619,OBJ_MP_0980_0092.fits,0092,OBJ_MP_0980_0092_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1383:0002,1383,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:42:15Z,2026-04-20T13:07:21.154000Z,l2_obs_time_utc,1506.154,OBJ_MP_1383_0093.fits,0093,OBJ_MP_1383_0093_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0846:0002,0846,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:43:35Z,2026-04-20T13:08:56.694000Z,l2_obs_time_utc,1521.694,OBJ_MP_0846_0094.fits,0094,OBJ_MP_0846_0094_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0712:0002,0712,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:44:55Z,2026-04-20T13:10:12.791000Z,l2_obs_time_utc,1517.791,OBJ_MP_0712_0095.fits,0095,OBJ_MP_0712_0095_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1116:0002,1116,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:46:15Z,2026-04-20T13:11:41.593000Z,l2_obs_time_utc,1526.593,OBJ_MP_1116_0096.fits,0096,OBJ_MP_1116_0096_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1250:0002,1250,1,2,normal,matched,monotonic_minimum_total_absolute_time_residual,2026-04-20T12:47:35Z,2026-04-20T13:12:55.105000Z,l2_obs_time_utc,1520.105,OBJ_MP_1250_0097.fits,0097,OBJ_MP_1250_0097_cat.fits.gz,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
