test,trial_rows,prediction_trials_n,matches_lt_1arcsec_n,match_fraction,ci95_low,ci95_high
Unshifted,131,44023,1635,0.03713967698702951,0.03541319719120387,0.03894692836726465
Random 30″ shift,1048,352184,257,0.0007297321854485156,0.0006458283983027021,0.0008245274682590413
