radial_residual_arcsec,empirical_cdf
0.00033092448608581636,1.8699278207861177e-06
0.0035979069900718553,0.0002000822768241146
0.004912051740174492,0.0003982946258274431
0.006211897844354579,0.0005965069748307716
0.007166286724788189,0.0007947193238341
0.007997394200508684,0.0009929316728374284
0.008753521659985207,0.001191144021840757
0.009573806172719112,0.0013893563708440855
0.010283602120004162,0.0015875687198474138
0.010994857990715184,0.0017857810688507423
0.011596635828350502,0.0019839934178540707
0.012152019924118698,0.002182205766857399
0.012761002683544223,0.0023804181158607277
0.013238450344164158,0.0025786304648640563
0.013715461276602798,0.002776842813867385
0.014267718311782928,0.0029750551628707133
0.014692287366033535,0.003173267511874042
0.015191263790458895,0.00337147986087737
0.015513294181320126,0.0035696922098806985
0.015935732280369447,0.003767904558884027
0.01631418180423038,0.003966116907887355
0.01668393726557446,0.004164329256890684
0.01704597958606242,0.004362541605894012
0.017420078559146564,0.004560753954897341
0.01780289527714606,0.004758966303900669
0.018217184550569837,0.004957178652903998
0.01863900158578571,0.005155391001907326
0.01892959757280555,0.005353603350910655
0.01932899822414483,0.005551815699913983
0.019636376105395398,0.005750028048917312
0.01995675376493824,0.0059482403979206405
0.020226503174605167,0.006146452746923969
0.020603202651486314,0.0063446650959272976
0.021016269278404137,0.006542877444930626
0.021306256159293952,0.006741089793933954
0.02158187204978424,0.006939302142937282
0.021856752447474967,0.007137514491940611
0.022192188404008894,0.007335726840943939
0.022494470525610613,0.007533939189947268
0.02279800385142735,0.007732151538950596
0.023110214421595585,0.007930363887953925
0.023432680465963317,0.008128576236957253
0.023704766534654014,0.008326788585960582
0.02395176831159716,0.00852500093496391
0.02418711028074869,0.008723213283967239
0.024491042229252524,0.008921425632970567
0.0248050692254127,0.009119637981973896
0.025072373313359465,0.009317850330977224
0.02530188815659596,0.009516062679980553
0.025584042401695966,0.009714275028983881
0.025854506370088595,0.00991248737798721
0.026105394247514208,0.010110699726990538
0.026368417088878115,0.010308912075993867
0.026613464338308877,0.010507124424997195
0.026870799236536264,0.010705336774000523
0.02712954566558564,0.010903549123003852
0.027415915772713594,0.01110176147200718
0.02763426088107982,0.01129997382101051
0.027887988422727116,0.011498186170013837
0.02812228437214985,0.011696398519017166
0.028334558984337576,0.011894610868020494
0.028638387231471888,0.012092823217023823
0.0288460805659436,0.012291035566027151
0.029110235979138203,0.01248924791503048
0.02934016339133761,0.012687460264033808
0.02953120364212242,0.012885672613037137
0.029757065765082108,0.013083884962040465
0.029977636273204367,0.013282097311043795
0.03018427135605176,0.013480309660047122
0.030387986719924348,0.01367852200905045
0.03061514823998615,0.01387673435805378
0.030812387145299932,0.014074946707057107
0.03101786176083181,0.014273159056060436
0.031242426983454214,0.014471371405063764
0.03143557328916821,0.014669583754067093
0.03160143515034122,0.014867796103070421
0.031836912315818165,0.01506600845207375
0.03205561678046567,0.015264220801077078
0.032230056572814754,0.015462433150080408
0.03243686997057971,0.015660645499083737
0.032664852202290276,0.015858857848087063
0.03290454435101729,0.016057070197090392
0.03310397189070926,0.01625528254609372
0.03330897064989392,0.016453494895097048
0.033481042052959695,0.016651707244100377
0.033683084069625266,0.016849919593103706
0.03388570772515187,0.017048131942107036
0.03407094372551536,0.017246344291110362
0.0342822604667748,0.01744455664011369
0.03447727146724272,0.01764276898911702
0.03465642215494094,0.01784098133812035
0.034835782093472295,0.018039193687123676
0.035053690394995556,0.018237406036127005
0.035248688743981106,0.018435618385130335
0.035413776314624126,0.018633830734133664
0.03558829478867911,0.01883204308313699
0.035789943750756496,0.01903025543214032
0.03597515040106287,0.01922846778114365
0.03618477650136649,0.019426680130146975
0.03636559756617648,0.019624892479150304
0.03655891240484491,0.019823104828153634
0.036767177868075165,0.020021317177156963
0.0369240805911923,0.02021952952616029
0.03711606142809145,0.02041774187516362
0.03728850120420298,0.020615954224166948
0.03746659999865487,0.020814166573170277
0.03760528344866988,0.021012378922173603
0.037774020747759866,0.021210591271176932
0.037959970046329776,0.021408803620180262
0.03811960813736715,0.021607015969183588
0.0382854475642699,0.021805228318186917
0.038449505137305384,0.022003440667190247
0.038604791776002706,0.022201653016193576
0.03876651313334286,0.022399865365196902
0.03889783373113313,0.02259807771420023
0.03907044991908073,0.02279629006320356
0.03924315753367048,0.02299450241220689
0.0394192036608917,0.023192714761210216
0.03961365879031831,0.023390927110213545
0.03977434951574859,0.023589139459216875
0.03995514916699404,0.023787351808220204
0.040111447769919345,0.02398556415722353
0.0402776439829479,0.02418377650622686
