night,field_id,cycle_id,repeat,mode,pair_id,match_status,planned_start_utc,actual_start_utc,planned_elapsed_from_repeat1_min,actual_elapsed_from_matched_repeat1_min,planned_interval_from_previous_repeat_min,actual_interval_from_previous_available_repeat_min,actual_repeat1_anchor_available,input_manifest_hash
20260420,1115,1,1,normal,20260420:1115:0001,matched,2026-04-20T12:08:15Z,2026-04-20T12:32:22.723000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1115,1,2,normal,20260420:1115:0002,matched,2026-04-20T12:38:15Z,2026-04-20T13:03:16.584000Z,30.0,30.897683333333337,30.0,30.897683333333337,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1115,1,3,normal,20260420:1115:0003,matched,2026-04-20T13:08:15Z,2026-04-20T13:34:12.173000Z,60.0,61.82416666666666,30.0,30.926483333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1249,1,1,normal,20260420:1249:0001,matched,2026-04-20T12:09:35Z,2026-04-20T12:33:37.863000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1249,1,2,normal,20260420:1249:0002,matched,2026-04-20T12:39:35Z,2026-04-20T13:04:30.263000Z,30.0,30.873333333333335,30.0,30.873333333333335,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1249,1,3,normal,20260420:1249:0003,matched,2026-04-20T13:09:35Z,2026-04-20T13:35:25.800000Z,60.0,61.79895,30.0,30.925616666666667,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0980,1,1,normal,20260420:0980:0001,matched,2026-04-20T12:10:55Z,2026-04-20T12:35:00.945000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0980,1,2,normal,20260420:0980:0002,matched,2026-04-20T12:40:55Z,2026-04-20T13:05:52.619000Z,30.0,30.861233333333335,30.0,30.861233333333335,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0980,1,3,normal,20260420:0980:0003,matched,2026-04-20T13:10:55Z,2026-04-20T13:36:48.542000Z,60.0,61.793283333333335,30.0,30.93205,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1383,1,1,normal,20260420:1383:0001,matched,2026-04-20T12:12:15Z,2026-04-20T12:36:29.903000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1383,1,2,normal,20260420:1383:0002,matched,2026-04-20T12:42:15Z,2026-04-20T13:07:21.154000Z,30.0,30.85418333333333,30.0,30.85418333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1383,1,3,normal,20260420:1383:0003,matched,2026-04-20T13:12:15Z,2026-04-20T13:38:17.350000Z,60.0,61.79078333333334,30.0,30.9366,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0846,1,1,normal,20260420:0846:0001,matched,2026-04-20T12:13:35Z,2026-04-20T12:38:04.583000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0846,1,2,normal,20260420:0846:0002,matched,2026-04-20T12:43:35Z,2026-04-20T13:08:56.694000Z,30.0,30.868516666666668,30.0,30.868516666666668,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0846,1,3,normal,20260420:0846:0003,matched,2026-04-20T13:13:35Z,2026-04-20T13:39:53.471000Z,60.0,61.8148,30.0,30.946283333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0712,1,1,normal,20260420:0712:0001,matched,2026-04-20T12:14:55Z,2026-04-20T12:39:19.320000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0712,1,2,normal,20260420:0712:0002,matched,2026-04-20T12:44:55Z,2026-04-20T13:10:12.791000Z,30.0,30.891183333333334,30.0,30.891183333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0712,1,3,normal,20260420:0712:0003,matched,2026-04-20T13:14:55Z,2026-04-20T13:41:09.443000Z,60.0,61.83538333333333,30.0,30.944200000000002,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1116,1,1,normal,20260420:1116:0001,matched,2026-04-20T12:16:15Z,2026-04-20T12:40:47.781000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1116,1,2,normal,20260420:1116:0002,matched,2026-04-20T12:46:15Z,2026-04-20T13:11:41.593000Z,30.0,30.896866666666664,30.0,30.896866666666664,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1116,1,3,normal,20260420:1116:0003,matched,2026-04-20T13:16:15Z,2026-04-20T13:42:38.298000Z,60.0,61.84195,30.0,30.945083333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1250,1,1,normal,20260420:1250:0001,matched,2026-04-20T12:17:35Z,2026-04-20T12:42:02.802000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1250,1,2,normal,20260420:1250:0002,matched,2026-04-20T12:47:35Z,2026-04-20T13:12:55.105000Z,30.0,30.871716666666668,30.0,30.871716666666668,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1250,1,3,normal,20260420:1250:0003,matched,2026-04-20T13:17:35Z,2026-04-20T13:43:53.368000Z,60.0,61.84276666666666,30.0,30.971049999999998,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0981,1,1,normal,20260420:0981:0001,matched,2026-04-20T12:18:55Z,2026-04-20T12:43:25.766000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0981,1,2,normal,20260420:0981:0002,matched,2026-04-20T12:48:55Z,2026-04-20T13:14:17.855000Z,30.0,30.86815,30.0,30.86815,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
