night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20260329,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260330,quality_ok,True,catalog_nonempty,ok,5742076,5032449,60075,56198,56198,25404,18576,1378,173,173,173,9,9,9,0,0,0,0,normal,included,27,0,27,18,0,0,0
20260331,quality_ok,True,catalog_nonempty,ok,4620882,4076682,73104,73104,73104,34692,19660,2657,250,250,250,28,28,28,0,0,0,0,normal,included,84,0,84,56,0,0,0
20260401,quality_ok,True,catalog_nonempty,ok,4329214,3854787,64324,64324,64324,30173,18695,1789,188,188,188,19,19,19,0,0,0,0,normal,included,53,0,57,38,0,0,0
20260402,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260403,quality_ok,True,catalog_nonempty,ok,7349508,6343801,90443,79980,79980,52495,26527,2068,302,302,302,15,15,15,0,0,0,0,normal,included,45,0,45,30,0,0,0
20260404,quality_ok,True,catalog_nonempty,ok,849532,777468,29628,29009,29009,21627,7096,729,117,117,117,2,2,2,0,0,0,0,normal,included,6,0,6,4,0,0,0
20260405,quality_ok,True,catalog_nonempty,ok,1715710,1546641,136671,136671,136671,124149,36830,2427,303,303,303,7,7,7,0,0,0,0,normal,included,21,0,21,14,0,0,0
20260406,quality_ok,True,catalog_nonempty,ok,5050742,4592701,393293,393293,393293,348686,84835,8815,1491,1491,1491,61,61,61,0,0,0,0,normal,included,182,0,183,122,0,0,0
20260407,quality_ok,True,reply_received,ok,5271162,4766943,381625,381625,381625,336964,78948,9674,1470,1470,1470,98,98,98,2,2,2,2,normal,included,292,6,296,198,4,2,2
20260408,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260409,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260410,quality_ok,True,reply_received,ok,4373816,3953399,285772,259904,259904,237790,58066,6385,1151,1151,1151,27,27,27,3,3,3,3,normal,included,81,10,82,55,7,3,3
20260411,quality_ok,True,catalog_nonempty,ok,1344242,1221502,63120,62521,62521,48338,16323,1496,168,168,168,7,7,7,0,0,0,0,normal,included,21,0,21,14,0,0,0
20260412,quality_ok,True,true_zero_catalog,ok,285902,263711,7466,2563,2563,1671,1641,7,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20260413,raw_without_l2;l2_missing,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260414,quality_ok,True,not_run,missing,978906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260415,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260416,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260417,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260418,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260419,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260420,quality_ok,True,reply_received,ok,5301856,4807851,403928,403599,403599,360536,96693,10746,1750,1750,1750,106,106,106,1,1,1,1,normal,included,315,3,319,213,2,1,1
20260421,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260422,quality_ok,True,reply_received,ok,907458,810974,60940,56825,56825,48045,13510,1315,220,220,220,7,7,7,1,1,1,1,normal,included,20,3,21,14,2,1,1
20260423,quality_ok,True,catalog_nonempty,ok,795442,633230,28082,22825,22825,18389,7363,627,118,118,118,1,1,1,0,0,0,0,normal,included,3,0,3,2,0,0,0
20260424,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260425,quality_ok,True,catalog_nonempty,ok,654126,565395,22802,19881,19881,8760,5814,456,53,53,53,2,2,2,0,0,0,0,normal,included,6,0,6,4,0,0,0
20260426,quality_ok,True,catalog_nonempty,ok,2214168,1949086,38231,38043,38043,21244,12664,884,103,94,94,1,1,1,0,0,0,0,normal,included,3,0,3,2,0,0,0
20260427,quality_ok,True,catalog_nonempty,ok,3079164,2774996,95300,89711,89711,58941,21411,3244,459,459,459,22,22,22,0,0,0,0,normal,included,66,0,66,44,0,0,0
20260428,quality_ok,True,catalog_nonempty,ok,5359247,4820061,131598,131329,131329,85633,31751,4598,623,614,614,31,31,31,0,0,0,0,normal,included,90,0,93,62,0,0,0
20260429,quality_ok,True,catalog_nonempty,ok,6128659,5295523,112282,109391,109391,74668,35964,4282,457,457,457,58,58,58,0,0,0,0,normal,included,167,0,174,116,0,0,0
20260430,quality_ok,True,true_zero_catalog,ok,306575,266952,10387,7156,7156,3879,3140,83,7,7,7,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20260501,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260502,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260503,quality_ok,True,reply_received,ok,29404618,14001360,1025703,1016836,1016836,968366,841513,5213,508,507,507,32,32,32,1,1,1,1,normal,included,95,3,96,64,2,1,1
20260504,quality_ok,True,catalog_nonempty,ok,7050089,5998285,167924,165868,165868,132636,49509,4704,641,638,638,39,39,39,0,0,0,0,normal,included,118,0,119,80,0,0,0
20260505,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260506,quality_ok,True,catalog_nonempty,ok,2233352,2019756,79607,79607,79607,64366,24692,2181,340,340,340,24,24,24,0,0,0,0,normal,included,73,0,73,49,0,0,0
20260507,quality_ok,True,catalog_nonempty,ok,4129842,3693016,114267,92050,92050,76062,26614,2360,216,216,216,16,16,16,1,0,0,0,normal,included,48,0,48,32,0,0,0
20260508,quality_ok,True,reply_received,ok,2811099,2526186,191538,191538,191538,168618,44933,4009,497,497,497,33,33,33,1,1,1,1,normal,included,101,6,102,69,5,1,1
20260509,quality_ok,True,reply_received,ok,5388202,4844230,129494,129494,129494,106347,31288,4605,598,598,598,44,44,44,2,2,2,2,normal,included,130,6,132,88,4,2,2
20260510,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260511,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260512,quality_ok,True,reply_received,ok,2710230,2395526,106562,104421,104421,82929,27771,2981,382,382,382,28,28,28,1,1,1,1,normal,included,83,3,84,56,2,1,1
20260513,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260514,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260515,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260516,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260517,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260518,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260519,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260520,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260521,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260522,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260523,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260524,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260525,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260526,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260527,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260528,quarantine_unknown,False,not_run,ok,23282034,15808312,223228,222095,222095,180439,132209,92792,1170,1170,1170,926,926,0,0,0,0,0,quarantine,unknown_quarantine,0,0,0,0,0,0,0
20260529,quality_ok,True,reply_received,ok,21393694,13423598,266645,264629,264629,226205,119873,4545,183,183,183,29,29,29,7,7,7,0,normal,included,87,0,87,58,0,7,0
20260530,quality_ok,True,reply_received,ok,17807717,9716673,331442,329192,329192,299915,163712,7098,115,115,115,21,21,21,4,4,4,2,normal,included,63,6,63,42,4,4,2
20260531,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260601,quality_ok,True,reply_received,ok,5289813,4661881,72657,72334,72334,47455,25189,2352,236,236,236,19,19,19,2,2,2,2,normal,included,57,6,57,38,4,2,2
20260602,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260603,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260604,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260605,quality_ok,True,not_run,missing,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260606,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260607,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260608,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260609,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260610,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260611,quarantine_unknown,False,not_run,ok,28998489,13663763,1087221,1087221,1087221,1080653,843497,267450,1319,1319,1319,653,653,0,0,0,0,0,quarantine,unknown_quarantine,0,0,0,0,0,0,0
20260612,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260613,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260614,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260615,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260616,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260617,quality_ok,True,true_zero_catalog,ok,583203,494812,30012,10959,10959,10207,3313,173,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20260618,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260619,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260620,quality_ok,True,catalog_nonempty,ok,18961346,11736575,261649,258437,258437,221233,90094,4158,405,405,405,19,19,19,0,0,0,0,normal,included,56,0,57,38,0,0,0
20260621,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260622,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260623,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260624,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260625,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260626,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260627,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260628,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260629,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260630,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260701,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260702,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260703,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260704,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260705,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260706,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260707,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260708,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260709,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260710,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260711,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260712,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260713,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260714,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260715,quality_ok,True,true_zero_catalog,ok,1115635,1015867,40163,39532,39532,34049,16506,635,17,17,17,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
