night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20251218,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251219,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251220,quality_ok,True,catalog_nonempty,ok,19569073,15047337,448723,385239,385239,336709,105361,8130,1252,1252,1252,20,20,20,0,0,0,0,normal,included,57,0,60,40,0,0,0
20251221,quality_ok,True,catalog_nonempty,ok,2988451,2650373,187004,177835,177835,151645,47724,3567,316,316,316,38,38,38,0,0,0,0,normal,included,113,0,114,76,0,0,0
20251222,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251223,quality_ok,True,catalog_nonempty,ok,11584908,9287876,305166,254799,254799,224111,68190,7239,1470,1470,1470,53,53,53,0,0,0,0,normal,included,159,0,159,106,0,0,0
20251224,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20251225,quality_ok,True,catalog_nonempty,ok,11138005,8836770,345379,313281,313281,281758,79494,7314,841,841,841,67,67,67,0,0,0,0,normal,included,201,0,201,134,0,0,0
20251226,quarantine_unknown,False,not_run,ok,20801100,16577719,556160,554412,554412,481608,132490,111933,1807,1774,1663,366,276,0,0,0,0,0,quarantine,unknown_quarantine,0,0,0,0,0,0,0
20251227,quality_ok,True,catalog_nonempty,ok,10698408,9132437,387627,377177,377177,320640,94139,8409,1184,1183,1183,38,38,38,0,0,0,0,normal,included,113,0,114,76,0,0,0
20251228,quality_ok,True,catalog_nonempty,ok,11140498,9664567,499068,499068,499068,439639,114814,14391,1977,1977,1977,181,181,181,0,0,0,0,normal,included,533,0,544,363,0,0,0
20251229,quality_ok,True,catalog_nonempty,ok,10478372,9004484,456607,456607,456607,391519,103280,12279,1929,1905,1905,75,75,75,0,0,0,0,normal,included,223,0,225,150,0,0,0
20251230,quality_ok,True,catalog_nonempty,ok,7374585,6268872,209375,197515,197515,147252,58273,7945,634,634,634,84,84,84,0,0,0,0,normal,included,248,0,252,168,0,0,0
20251231,quality_ok,True,catalog_nonempty,ok,5321468,4680622,196518,182120,182120,135428,53815,6130,517,516,516,41,41,41,0,0,0,0,normal,included,122,0,123,82,0,0,0
20260101,quality_ok,True,catalog_nonempty,ok,3765124,3337556,138792,124306,124306,83526,33674,3768,431,429,429,30,30,30,0,0,0,0,normal,included,90,0,90,60,0,0,0
20260102,quality_ok,True,catalog_nonempty,ok,5620289,4873271,147349,134543,134543,77584,43097,5967,448,441,441,43,43,43,0,0,0,0,normal,included,128,0,129,86,0,0,0
20260103,quality_ok,True,reply_received,ok,1058992,936585,31948,26044,26044,16871,9038,718,79,74,74,1,1,1,1,1,1,1,normal,included,3,3,3,2,2,1,1
20260104,quality_ok,True,catalog_nonempty,ok,9138950,7915128,208870,208870,208870,149931,60339,9325,800,800,800,64,64,64,0,0,0,0,normal,included,188,0,192,128,0,0,0
20260105,quality_ok,True,catalog_nonempty,ok,7901691,6768905,209516,199599,199599,156836,63219,10777,499,480,480,42,42,42,0,0,0,0,normal,included,126,0,126,84,0,0,0
20260106,quality_ok,True,catalog_nonempty,ok,10102058,7948666,217315,206144,206144,168057,100530,10270,496,496,496,60,60,60,0,0,0,0,normal,included,176,0,180,120,0,0,0
20260107,quality_ok,True,catalog_nonempty,ok,17049861,13654541,253970,248547,248547,179805,70567,8587,1287,1287,1287,79,79,79,0,0,0,0,normal,included,232,0,237,158,0,0,0
20260108,quality_ok,True,catalog_nonempty,ok,14012972,10456250,119399,118858,118858,89037,51054,3581,468,468,468,27,27,27,0,0,0,0,normal,included,80,0,81,54,0,0,0
20260109,quality_ok,True,catalog_nonempty,ok,6644058,5195164,166894,151591,151591,123285,55259,3796,353,353,353,17,17,17,0,0,0,0,normal,included,50,0,51,34,0,0,0
20260110,quality_ok,True,catalog_nonempty,ok,17637535,13001993,194053,188117,188117,152310,79150,6219,547,547,547,29,29,29,0,0,0,0,normal,included,84,0,87,58,0,0,0
20260111,excluded_primary,False,not_run,ok,18373862,12707278,251018,238382,238382,205126,105722,7671,378,378,378,378,378,0,0,0,0,0,excluded,primary_excluded,0,0,0,0,0,0,0
20260112,quality_ok,True,reply_received,ok,25198482,17318321,152433,143082,143082,107016,56572,5048,441,440,440,17,17,17,1,1,1,1,normal,included,50,3,51,34,2,1,1
20260113,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260114,quality_ok,True,catalog_nonempty,ok,27151322,19567928,386663,358506,358506,307372,103087,10163,1160,1160,1160,62,62,62,0,0,0,0,normal,included,185,0,186,124,0,0,0
20260115,quality_ok,True,catalog_nonempty,ok,24343560,18549808,228104,203907,203907,149318,80985,4889,591,591,591,47,47,47,0,0,0,0,normal,included,140,0,141,94,0,0,0
20260116,quality_ok,True,catalog_nonempty,ok,13374587,9981136,290699,274643,274643,232354,83376,6484,666,645,645,41,41,41,0,0,0,0,normal,included,121,0,123,82,0,0,0
20260117,quality_ok,True,catalog_nonempty,ok,4162844,3737869,81796,81796,81796,55282,23218,2496,286,278,278,22,22,22,0,0,0,0,normal,included,66,0,66,44,0,0,0
20260118,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260119,quality_ok,True,catalog_nonempty,ok,11195025,8596056,271248,165904,165904,135624,63710,3019,76,75,75,4,4,4,0,0,0,0,normal,included,12,0,12,8,0,0,0
