field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1543,81,22,20260215,20260620,2430.0,217.6506059270272,-3.328855105387527,756
1276,80,20,20260310,20260620,2400.0,215.70725519534972,-8.322811925131921,769
1397,80,25,20260114,20260601,2400.0,184.15078297067285,7.181281485352419,755
1530,80,24,20260126,20260601,2400.0,185.30165511857953,9.603149687605804,755
1262,78,22,20260106,20260601,2340.0,180.9107452492774,5.6682693107282835,755
1263,76,21,20260129,20260601,2280.0,183.37117210925774,4.600853678804383,755
1791,76,24,20260126,20260601,2280.0,186.2301688490207,15.057227134018689,758
0976,75,26,20251203,20260428,2250.0,137.4970522732529,16.54690211481934,759
0710,74,20,20251220,20260504,2220.0,144.17778726496854,8.807602669794868,755
1245,73,26,20251203,20260428,2190.0,137.0845823028307,22.26134535531833,759
0844,72,22,20251203,20260504,2160.0,143.34036158190568,11.912519469221307,775
0978,72,23,20251203,20260504,2160.0,142.78592991708962,14.915048494514265,777
1248,72,27,20251203,20260504,2160.0,145.24964610341365,19.766497290549736,758
1246,71,25,20251203,20260428,2130.0,139.83269950057687,21.461890328684937,778
1275,71,21,20260217,20260620,2130.0,213.15964355154716,-7.441794470313718,755
1277,71,18,20260215,20260620,2130.0,218.27015054001185,-9.176026094429773,756
1380,71,25,20251203,20260428,2130.0,140.12676977071175,24.185233132121766,760
1774,70,24,20251206,20260428,2100.0,140.04181037709898,32.65813670166677,756
